"","pays_expat","nb_assure","autres_protheses.csv","auxiliaires_medicaux.csv","bilan_de_sante.csv","chambre_particuliere.csv","consultation.csv","cures_thermales.csv","divers.csv","fiv.csv","hospitalisation_sauf_chambre_particuliere.csv","implants_dentaires.csv","keratotomie.csv","lentilles.csv","maternite_sauf_fiv.csv","medecine_alternative.csv","montures.csv","orthodontie.csv","paradontologie.csv","petit_risque.csv","pharmacie.csv","prothese_dentaire.csv","psychiatrie.csv","soins_dentaires.csv","vaccination.csv","verres.csv","X","autres_protheses","auxiliaires_medicaux","bilan_de_sante","chambre_particuliere","consultation","cures_thermales","divers","fiv","hospitalisation_sauf_chambre_particuliere","implants_dentaires","keratotomie","lentilles","maternite_sauf_fiv","medecine_alternative","montures","orthodontie","paradontologie","petit_risque","pharmacie","prothese_dentaire","psychiatrie","soins_dentaires","vaccination","verres","sum"
"1","AFGHANISTAN",306,4,65,9,8,217,0,1,0,50,0,0,28,0,1,42,0,0,126,207,35,3,73,29,21,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,7
"2","ALBANIA",146,2,11,2,8,113,0,0,0,55,0,0,0,0,0,10,0,0,501,86,0,0,28,2,15,2,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,12
"3","ALGERIA",13872,541,5899,541,514,18646,5,77,34,5578,123,37,793,1933,910,1688,376,9,14660,25406,1314,1111,6014,1322,952,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","AMERICAN SAMOA",18,1,6,9,4,101,0,0,0,12,0,0,0,23,0,3,0,0,56,82,2,0,33,14,0,4,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,11
"5","ANDORRA",121,15,22,2,5,245,0,0,0,174,0,0,14,0,10,7,0,0,566,868,0,11,53,7,14,5,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,9
"6","ANGOLA",19607,912,6009,1585,947,20191,5,174,0,7953,54,44,1084,3304,955,1833,390,2,14678,22901,1381,674,7603,2257,765,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7","ANTIGUA AND BARBUDA",19,7,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,20,58,0,0,0,0,4,7,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,18
"8","ARGENTINA",5643,288,3638,170,34,8613,0,9,5,1200,54,21,355,1010,172,488,282,1,4985,9689,456,863,2471,658,177,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9","ARMENIA",45,1,0,0,0,28,0,0,0,1,0,0,0,0,11,5,4,0,27,21,6,0,30,0,8,9,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,13
"10","ARUBA",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,22
