"","pays_expat","group_pays_cout"
"111","ARUBA","G1"
"210","BELARUS","G1"
"311","BELIZE","G1"
"44","BHUTAN","G1"
"51","BOTSWANA","G1"
"6","CAPE VERDE","G1"
"7","CUBA","G1"
"81","DOMINICA","G1"
"91","EL SALVADOR","G1"
"10","ERITREA","G1"
"11","FIJI","G1"
"121","FR. SOUTHERN TERRIT.","G1"
"13","GREENLAND","G1"
"14","GUINEA-BISSAU","G1"
"15","ISLE OF MAN","G1"
"161","KOSOVO","G1"
"17","KYRGYZSTAN","G1"
"182","MALAWI","G1"
"19","MALDIVES","G1"
"201","MAYOTTE","G1"
"211","MOLDOVA","G1"
"22","NORTH KOREA","G1"
"231","PALESTINIAN TERRIT.","G1"
"24","PARAGUAY","G1"
"25","PITCAIRN ISLANDS","G1"
"26","PUERTO RICO","G1"
"271","SAINT LUCIA","G1"
"28","SAMOA","G1"
"29","SAO TOME & PRINC.","G1"
"301","SERBIA MONTENEGRO","G1"
"31","SEYCHELLES","G1"
"32","SLOVENIA","G1"
"331","SOLOMON ISLANDS","G1"
"341","SOMALIA","G1"
"351","SOUTH SUDAN","G1"
"36","ST VINCENT & GREN.","G1"
"37","SURINAME","G1"
"38","SWAZILAND","G1"
"39","TAJIKISTAN","G1"
"40","TIMOR-LESTE","G1"
"41","TONGA","G1"
"422","US MINOR OUT. ISL.","G1"
"43","US VIRGIN ISLANDS","G1"
"4","COLOMBIA","G2"
"8","ECUADOR","G2"
"66","URUGUAY","G2"
"488","BOLIVIA","G2"
"557","GHANA","G2"
"733","BR. VIRGIN ISLAND","G2"
"1141","REUNION","G2"
"1336","MALI","G2"
"1370","MARTINIQUE","G2"
"1485","TURKMENISTAN","G2"
"2208","JORDAN","G2"
"2331","JERSEY","G2"
"2361","TOGO","G2"
"2389","BENIN","G2"
"2456","DOMINICAN REPUBLIC","G2"
"2506","NICARAGUA","G2"
"2703","FRENCH GUIANA","G2"
"2953","MYANMAR","G2"
"3062","THE GAMBIA","G2"
"3102","CAMBODIA","G2"
"3124","KENYA","G2"
"3568","ZIMBABWE","G2"
"4369","BERMUDA","G2"
