"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level5"
"2","ALBANIA","level5"
"3","ALGERIA","level2"
"4","AMERICAN SAMOA","level3"
"5","ANDORRA","level8"
"6","ANGOLA","level11"
"7","ANTIGUA AND BARBUDA","level1"
"8","ARGENTINA","level2"
"9","ARMENIA","level2"
"10","ARUBA","level8"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level1"
"13","AZERBAIJAN","level2"
"14","BAHRAIN","level12"
"15","BANGLADESH","level15"
"16","BARBADOS","level2"
"17","BELARUS","level8"
"18","BELGIUM","level11"
"19","BELIZE","level5"
"20","BENIN","level9"
"21","BERMUDA","level8"
"22","BHUTAN","level5"
"23","BOLIVIA","level9"
"24","BOSNIA HERZEGOVINA","level5"
"25","BOTSWANA","level2"
"26","BR. VIRGIN ISLAND","level15"
"27","BRAZIL","level5"
"28","BRUNEI","level5"
"29","BULGARIA","level5"
"30","BURKINA FASO","level14"
"31","BURUNDI","level14"
"32","CAMBODIA","level10"
"33","CAMEROON","level14"
"34","CANADA","level2"
"35","CAPE VERDE","level5"
"36","CAYMAN ISLANDS","level8"
"37","CENTRAL AFRICAN REP","level5"
"38","CHAD","level3"
"39","CHILE","level12"
"40","CHINA","level3"
"41","COLOMBIA","level5"
"42","COMOROS","level3"
"43","CONGO","level5"
"44","COSTA RICA","level8"
"45","CROATIA","level8"
"46","CUBA","level1"
"47","CYPRUS","level6"
"48","CZECH REPUBLIC","level3"
"49","DEM. REP. CONGO","level14"
"50","DENMARK","level5"
"51","DJIBOUTI","level2"
"52","DOMINICA","level5"
"53","DOMINICAN REPUBLIC","level1"
"54","ECUADOR","level8"
"55","EGYPT","level8"
"56","EL SALVADOR","level5"
"57","EQUATORIAL GUINEA","level8"
"58","ERITREA","level14"
"59","ESTONIA","level5"
"60","ETHIOPIA","level8"
"61","FAEROE ISLANDS","level5"
"62","FIJI","level2"
"63","FINLAND","level8"
"64","FR. SOUTHERN TERRIT.","level2"
"65","FRENCH GUIANA","level3"
"66","FRENCH POLYNESIA","level2"
"67","GABON","level6"
"68","GEORGIA","level5"
"69","GERMANY","level3"
"70","GHANA","level5"
"71","GIBRALTAR","level14"
"72","GREECE","level14"
"73","GREENLAND","level5"
"74","GUADELOUPE","level12"
"75","GUATEMALA","level5"
"76","GUERNSEY","level2"
"77","GUINEA","level8"
"78","GUINEA-BISSAU","level2"
"79","GUYANA","level5"
"80","HAITI","level8"
"81","HONDURAS","level5"
"82","HONG KONG","level8"
"83","HUNGARY","level5"
"84","ICELAND","level5"
"85","INCONNU","level2"
"86","INDIA","level5"
"87","INDONESIA","level5"
"88","IRAN","level7"
"89","IRAQ","level8"
"90","IRELAND","level5"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level2"
"93","ITALY","level2"
"94","IVORY COAST","level6"
"95","JAMAICA","level10"
"96","JAPAN","level8"
"97","JERSEY","level12"
"98","JORDAN","level2"
"99","KAZAKHSTAN","level3"
"100","KENYA","level8"
"101","KOSOVO","level9"
"102","KUWAIT","level10"
"103","KYRGYZSTAN","level5"
"104","LAOS","level5"
"105","LATVIA","level6"
"106","LEBANON","level8"
"107","LESOTHO","level8"
"108","LIBERIA","level5"
"109","LIBYA","level11"
"110","LITHUANIA","level2"
"111","LUXEMBOURG","level1"
"112","MACAU","level14"
"113","MACEDONIA (FYROM)","level8"
"114","MADAGASCAR","level1"
"115","MALAWI","level5"
"116","MALAYSIA","level8"
"117","MALDIVES","level8"
"118","MALI","level14"
"119","MALTA","level8"
"120","MARTINIQUE","level6"
"121","MAURITANIA","level5"
"122","MAURITIUS","level5"
"123","MAYOTTE","level10"
"124","MEXICO","level7"
"125","MOLDOVA","level19"
"126","MONACO","level2"
"127","MONGOLIA","level8"
"128","MONTENEGRO","level18"
"129","MOROCCO","level8"
"130","MOZAMBIQUE","level1"
