"","pays_expat","group_pays_cout"
"110","ANTIGUA AND BARBUDA","G1"
"210","ARMENIA","G1"
"34","ARUBA","G1"
"41","BHUTAN","G1"
"51","CAPE VERDE","G1"
"61","DOMINICA","G1"
"71","ERITREA","G1"
"81","ESTONIA","G1"
"91","FIJI","G1"
"102","FR. SOUTHERN TERRIT.","G1"
"11","GREENLAND","G1"
"121","ICELAND","G1"
"13","ISLE OF MAN","G1"
"141","KOSOVO","G1"
"151","KYRGYZSTAN","G1"
"16","MALDIVES","G1"
"17","PITCAIRN ISLANDS","G1"
"18","SAINT LUCIA","G1"
"19","SAMOA","G1"
"20","SAO TOME & PRINC.","G1"
"211","SERBIA MONTENEGRO","G1"
"22","SLOVENIA","G1"
"23","SOLOMON ISLANDS","G1"
"241","SOMALIA","G1"
"25","SOUTH SUDAN","G1"
"26","ST VINCENT & GREN.","G1"
"271","SWAZILAND","G1"
"28","TAJIKISTAN","G1"
"29","THE GAMBIA","G1"
"301","TIMOR-LESTE","G1"
"311","TONGA","G1"
"32","US MINOR OUT. ISL.","G1"
"33","US VIRGIN ISLANDS","G1"
"12","THAILAND","G2"
"651","MYANMAR","G2"
"1138","MOZAMBIQUE","G2"
"2372","NIGER","G2"
"2379","MONGOLIA","G2"
"2655","BANGLADESH","G2"
"3542","GEORGIA","G2"
"4595","DJIBOUTI","G2"
"5261","CUBA","G2"
"6782","LESOTHO","G2"
"6923","PARAGUAY","G2"
"7044","GIBRALTAR","G2"
"7308","LAOS","G2"
"13498","NEPAL","G2"
"17631","NORTH KOREA","G2"
"17777","BOTSWANA","G2"
"23581","SURINAME","G2"
"27803","MACEDONIA","G2"
"29201","BELIZE","G2"
"29392","JERSEY","G2"
"31829","ALBANIA","G2"
"49046","SIERRA LEONE","G2"
"57247","PAPUA NEW GUINEA","G2"
"57628","GUINEA-BISSAU","G2"
"4","CAMEROON","G3"
"99","MALI","G3"
"158","PHILIPPINES","G3"
"725","SRI LANKA","G3"
"1449","IVORY COAST","G3"
"1577","TAIWAN","G3"
"2064","EQUATORIAL GUINEA","G3"
"2222","AFGHANISTAN","G3"
"2225","DEMOCRATIC REPUBLIC OF THE CONGO","G3"
"2241","SENEGAL","G3"
"2408","REUNION","G3"
"2520","MADAGASCAR","G3"
"2745","BURKINA FASO","G3"
"3396","GUINEA","G3"
"4123","BURUNDI","G3"
"5268","MAURITANIA","G3"
"6819","RWANDA","G3"
"6831","CAMBODIA","G3"
"6840","DOMINICAN REPUBLIC","G3"
"6972","COMOROS","G3"
"7181","BENIN","G3"
"10206","Central African Republic","G3"
"11351","MALAWI","G3"
"12116","GUYANA","G3"
"12392","NAMIBIA","G3"
"13105","MOLDOVA","G3"
"15361","HAITI","G3"
"16001","WALLIS AND FUTUNA","G3"
"27086","LIBERIA","G3"
"57211","UZBEKISTAN","G3"
"10","ECUADOR","G4"
"36","CONGO","G4"
"85","ALGERIA","G4"
"189","BRUNEI","G4"
"250","GABON","G4"
"476","SUDAN","G4"
"912","TUNISIA","G4"
"1602","BULGARIA","G4"
"2242","BAHRAIN","G4"
"2349","KENYA","G4"
"2862","MARTINIQUE","G4"
"3505","ETHIOPIA","G4"
"3975","CYPRUS","G4"
"4345","ANDORRA","G4"
"4795","SERBIA","G4"
"5169","SEYCHELLES","G4"
"5933","FRENCH GUIANA","G4"
"6096","NETHERLANDS ANTILLES","G4"
"10165","TOGO","G4"
"17943","JAMAICA","G4"
"20953","LITHUANIA","G4"
"51440","PALESTINIAN TERRIT.","G4"
"58101","EL SALVADOR","G4"
"1","YEMEN","G5"
"14","COLOMBIA","G5"
"15","INDONESIA","G5"
"24","NIGERIA","G5"
"27","MALAYSIA","G5"
"30","VENEZUELA","G5"
"38","FRANCE","G5"
"40","VIETNAM","G5"
"92","LIBYA","G5"
"117","INCONNU","G5"
"171","INDIA","G5"
"184","MOROCCO","G5"
"193","OMAN","G5"
"226","MALTA","G5"
"264","TRINIDAD AND TOBAGO","G5"
"369","ARGENTINA","G5"
"486","BOLIVIA","G5"
"915","NEW ZEALAND","G5"
"1173","PERU","G5"
"1332","CHAD","G5"
"1378","FAEROE ISLANDS","G5"
"2404","MAURITIUS","G5"
"2641","JORDAN","G5"
"2700","NEW CALEDONIA","G5"
"2985","LEBANON","G5"
"5141","FRENCH POLYNESIA","G5"
"6814","LATVIA","G5"
"12357","ZAMBIA","G5"
"13534","HONDURAS","G5"
"14237","UGANDA","G5"
"18435","GUADELOUPE","G5"
"20193","PUERTO RICO","G5"
"32614","GUATEMALA","G5"
"2","EGYPT","G6"
"3","MEXICO","G6"
"8","ANGOLA","G6"
"9","QATAR","G6"
"31","TURKMENISTAN","G6"
"101","ROMANIA","G6"
"116","SAUDI ARABIA","G6"
"154","SOUTH AFRICA","G6"
"163","URUGUAY","G6"
"188","POLAND","G6"
"204","BELGIUM","G6"
"297","GHANA","G6"
"461","PAKISTAN","G6"
"650","IRAN","G6"
"1304","UKRAINE","G6"
"1498","CZECH REPUBLIC","G6"
"1549","GREECE","G6"
"1582","SLOVAKIA","G6"
"2247","VANUATU","G6"
"2271","LUXEMBOURG","G6"
"2311","SOUTH KOREA","G6"
"2386","SYRIA","G6"
"5453","NICARAGUA","G6"
"7112","MONTENEGRO","G6"
"25580","MAYOTTE","G6"
"29781","GUERNSEY","G6"
"53282","BELARUS","G6"
"5","CHINA","G7"
"77","UNITED ARAB EMIRATES","G7"
"96","CANADA","G7"
"157","HUNGARY","G7"
"174","CHILE","G7"
"208","PORTUGAL","G7"
"298","KAZAKHSTAN","G7"
"441","IRAQ","G7"
"562","JAPAN","G7"
"1401","ISRAEL","G7"
"2361","TANZANIA","G7"
"9715","CROATIA","G7"
"13048","AMERICAN SAMOA","G7"
"7","AUSTRALIA","G8"
"35","BRAZIL","G8"
"131","GERMANY","G8"
"336","SINGAPORE","G8"
"1800","SWEDEN","G8"
"1921","PANAMA","G8"
"3701","COSTA RICA","G8"
"39","NORWAY","G9"
"62","RUSSIA","G9"
"73","KUWAIT","G9"
"106","SPAIN","G9"
"185","ITALY","G9"
"199","NETHERLANDS","G9"
"432","DENMARK","G9"
"501","TURKEY","G9"
"709","IRELAND","G9"
"1386","AZERBAIJAN","G9"
"1516","SWITZERLAND","G9"
"2748","BARBADOS","G9"
"2915","MONACO","G9"
"9948","BERMUDA","G9"
"17957","TURKS & CAICOS","G9"
"21","UNITED KINGDOM","G10"
"1529","HONG KONG","G10"
"2857","CAYMAN ISLANDS","G10"
"3378","FINLAND","G10"
"14915","THE BAHAMAS","G10"
"34326","Bosnia and Herzegovina","G10"
"6","USA","G11"
"274","AUSTRIA","G11"
"2948","MACAU","G11"
"14700","ZIMBABWE","G11"
"661","BR. VIRGIN ISLAND","G12"
