"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level2"
"2","ALBANIA","level7"
"3","ALGERIA","level6"
"4","AMERICAN SAMOA","level3"
"5","ANDORRA","level6"
"6","ANGOLA","level7"
"7","ANTIGUA AND BARBUDA","level1"
"8","ARGENTINA","level2"
"9","ARMENIA","level6"
"10","ARUBA","level1"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level1"
"13","AZERBAIJAN","level6"
"14","BAHRAIN","level13"
"15","BANGLADESH","level16"
"16","BARBADOS","level2"
"17","BELARUS","level6"
"18","BELGIUM","level7"
"19","BELIZE","level11"
"20","BENIN","level10"
"21","BERMUDA","level1"
"22","BHUTAN","level2"
"23","BOLIVIA","level10"
"24","BOSNIA HERZEGOVINA","level2"
"25","BOTSWANA","level6"
"26","BR. VIRGIN ISLAND","level16"
"27","BRAZIL","level7"
"28","BRUNEI","level2"
"29","BULGARIA","level2"
"30","BURKINA FASO","level3"
"31","BURUNDI","level14"
"32","CAMBODIA","level12"
"33","CAMEROON","level3"
"34","CANADA","level2"
"35","CAPE VERDE","level2"
"36","CAYMAN ISLANDS","level1"
"37","CENTRAL AFRICAN REP","level11"
"38","CHAD","level3"
"39","CHILE","level13"
"40","CHINA","level3"
"41","COLOMBIA","level2"
"42","COMOROS","level14"
"43","CONGO","level2"
"44","COSTA RICA","level6"
"45","CROATIA","level1"
"46","CUBA","level1"
"47","CYPRUS","level8"
"48","CZECH REPUBLIC","level3"
"49","DEM. REP. CONGO","level14"
"50","DENMARK","level14"
"51","DJIBOUTI","level6"
"52","DOMINICA","level2"
"53","DOMINICAN REPUBLIC","level1"
"54","ECUADOR","level1"
"55","EGYPT","level6"
"56","EL SALVADOR","level2"
"57","EQUATORIAL GUINEA","level1"
"58","ERITREA","level3"
"59","ESTONIA","level2"
"60","ETHIOPIA","level6"
"61","FAEROE ISLANDS","level2"
"62","FIJI","level6"
"63","FINLAND","level1"
"64","FR. SOUTHERN TERRIT.","level2"
"65","FRENCH GUIANA","level3"
"66","FRENCH POLYNESIA","level6"
"67","GABON","level8"
"68","GEORGIA","level6"
"69","GERMANY","level11"
"70","GHANA","level2"
"71","GIBRALTAR","level14"
"72","GREECE","level14"
"73","GREENLAND","level6"
"74","GUADELOUPE","level13"
"75","GUATEMALA","level2"
"76","GUERNSEY","level6"
"77","GUINEA","level6"
"78","GUINEA-BISSAU","level6"
"79","GUYANA","level2"
"80","HAITI","level6"
"81","HONDURAS","level11"
"82","HONG KONG","level6"
"83","HUNGARY","level14"
"84","ICELAND","level2"
"85","INCONNU","level6"
"86","INDIA","level11"
"87","INDONESIA","level2"
"88","IRAN","level9"
"89","IRAQ","level6"
"90","IRELAND","level2"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level6"
"93","ITALY","level6"
"94","IVORY COAST","level5"
"95","JAMAICA","level12"
"96","JAPAN","level1"
"97","JERSEY","level13"
"98","JORDAN","level6"
"99","KAZAKHSTAN","level3"
"100","KENYA","level6"
"101","KOSOVO","level10"
"102","KUWAIT","level12"
"103","KYRGYZSTAN","level11"
"104","LAOS","level11"
"105","LATVIA","level8"
"106","LEBANON","level4"
"107","LESOTHO","level1"
"108","LIBERIA","level2"
"109","LIBYA","level7"
"110","LITHUANIA","level2"
"111","LUXEMBOURG","level1"
"112","MACAU","level14"
"113","MACEDONIA (FYROM)","level6"
"114","MADAGASCAR","level1"
"115","MALAWI","level14"
"116","MALAYSIA","level1"
"117","MALDIVES","level6"
"118","MALI","level3"
"119","MALTA","level6"
"120","MARTINIQUE","level8"
"121","MAURITANIA","level2"
"122","MAURITIUS","level2"
"123","MAYOTTE","level12"
"124","MEXICO","level9"
"125","MOLDOVA","level19"
"126","MONACO","level2"
"127","MONGOLIA","level1"
"128","MONTENEGRO","level15"
"129","MOROCCO","level6"
"130","MOZAMBIQUE","level1"
"131","MYANMAR","level13"
"132","NAMIBIA","level13"
"133","NEPAL","level6"
"134","NETHERLANDS","level10"
"135","NETHERLANDS ANTILLES","level2"
"136","NEW CALEDONIA","level7"
"137","NEW ZEALAND","level2"
"138","NICARAGUA","level1"
"139","NIGER","level11"
"140","NIGERIA","level2"
"141","NORTH KOREA","level7"
"142","NORWAY","level7"
"143","OMAN","level1"
"144","PAKISTAN","level12"
"145","PALESTINIAN TERRIT.","level4"
"146","PANAMA","level11"
"147","PAPUA NEW GUINEA","level6"
"148","PARAGUAY","level1"
"149","PERU","level1"
"150","PHILIPPINES","level2"
"151","PITCAIRN ISLANDS","level6"
"152","POLAND","level17"
"153","PORTUGAL","level6"
"154","PUERTO RICO","level7"
"155","QATAR","level3"
"156","REUNION","level6"
"157","ROMANIA","level14"
"158","RUSSIA","level1"
"159","RWANDA","level3"
"160","SAINT LUCIA","level14"
"161","SAMOA","level2"
"162","SAO TOME & PRINC.","level7"
"163","SAUDI ARABIA","level4"
"164","SENEGAL","level11"
"165","SERBIA","level6"
"166","SERBIA MONTENEGRO","level10"
"167","SEYCHELLES","level6"
"168","SIERRA LEONE","level1"
"169","SINGAPORE","level11"
"170","SLOVAKIA","level3"
"171","SLOVENIA","level3"
"172","SOLOMON ISLANDS","level2"
"173","SOMALIA","level6"
"174","SOUTH AFRICA","level15"
"175","SOUTH KOREA","level10"
"176","SOUTH SUDAN","level11"
"177","SPAIN","level1"
"178","SRI LANKA","level11"
"179","ST VINCENT & GREN.","level15"
"180","SUDAN","level3"
"181","SURINAME","level15"
"182","SWAZILAND","level11"
"183","SWEDEN","level2"
"184","SWITZERLAND","level7"
"185","SYRIA","level2"
"186","TAIWAN","level3"
"187","TAJIKISTAN","level2"
"188","TANZANIA","level2"
"189","THAILAND","level4"
"190","THE BAHAMAS","level2"
"191","THE GAMBIA","level6"
"192","TIMOR-LESTE","level3"
"193","TOGO","level7"
"194","TONGA","level15"
"195","TRINIDAD AND TOBAGO","level6"
"196","TUNISIA","level2"
"197","TURKEY","level6"
"198","TURKMENISTAN","level6"
"199","TURKS & CAICOS","level2"
"200","UGANDA","level15"
"201","UKRAINE","level5"
"202","UNITED ARAB EMIRATES","level6"
"203","UNITED KINGDOM","level5"
"204","URUGUAY","level1"
"205","US MINOR OUT. ISL.","level2"
"206","US VIRGIN ISLANDS","level5"
"207","USA","level5"
"208","UZBEKISTAN","level1"
"209","VANUATU","level18"
"210","VENEZUELA","level2"
"211","VIETNAM","level1"
"212","WALLIS AND FUTUNA","level16"
"213","YEMEN","level13"
"214","ZAMBIA","level7"
"215","ZIMBABWE","level1"
"216","ZZ_FRANCE","level6"
