"","pays_expat","group_pays_cout"
"110","ANTIGUA AND BARBUDA","G1"
"210","ARMENIA","G1"
"310","ARUBA","G1"
"410","BELIZE","G1"
"510","BHUTAN","G1"
"62","Bosnia and Herzegovina","G1"
"72","BOTSWANA","G1"
"81","BURUNDI","G1"
"91","CAPE VERDE","G1"
"101","COMOROS","G1"
"111","DJIBOUTI","G1"
"121","DOMINICA","G1"
"13","EL SALVADOR","G1"
"14","ERITREA","G1"
"151","FIJI","G1"
"16","FR. SOUTHERN TERRIT.","G1"
"17","FRENCH GUIANA","G1"
"181","FRENCH POLYNESIA","G1"
"19","GEORGIA","G1"
"201","GIBRALTAR","G1"
"21","GREENLAND","G1"
"22","GUADELOUPE","G1"
"231","GUERNSEY","G1"
"24","GUYANA","G1"
"252","HONDURAS","G1"
"262","ISLE OF MAN","G1"
"27","JAMAICA","G1"
"28","JERSEY","G1"
"29","KOSOVO","G1"
"301","KYRGYZSTAN","G1"
"31","LESOTHO","G1"
"32","LUXEMBOURG","G1"
"33","MACEDONIA","G1"
"34","MALDIVES","G1"
"351","MARTINIQUE","G1"
"36","MOLDOVA","G1"
"371","MONGOLIA","G1"
"38","MONTENEGRO","G1"
"39","NORTH KOREA","G1"
"40","PALESTINIAN TERRIT.","G1"
"41","PARAGUAY","G1"
"421","PITCAIRN ISLANDS","G1"
"431","REUNION","G1"
"44","SAINT LUCIA","G1"
"45","SAMOA","G1"
"46","SAO TOME & PRINC.","G1"
"47","SEYCHELLES","G1"
"48","SLOVENIA","G1"
"49","SOLOMON ISLANDS","G1"
"50","SOMALIA","G1"
"51","ST VINCENT & GREN.","G1"
"52","SWAZILAND","G1"
"531","TAJIKISTAN","G1"
"54","TIMOR-LESTE","G1"
"55","TOGO","G1"
"56","TONGA","G1"
"57","TURKS & CAICOS","G1"
"58","US VIRGIN ISLANDS","G1"
"59","WALLIS AND FUTUNA","G1"
"411","SRI LANKA","G2"
"1366","NAMIBIA","G2"
"4444","NEPAL","G2"
"4467","SERBIA MONTENEGRO","G2"
"6158","ZIMBABWE","G2"
"8160","AMERICAN SAMOA","G2"
"9088","DOMINICAN REPUBLIC","G2"
"9167","MACAU","G2"
"10636","ZAMBIA","G2"
"10929","MAURITIUS","G2"
"16389","US MINOR OUT. ISL.","G2"
"21658","ESTONIA","G2"
"24793","CAYMAN ISLANDS","G2"
"26933","SIERRA LEONE","G2"
"31251","THE GAMBIA","G2"
"32656","SOUTH SUDAN","G2"
"61","INDIA","G3"
"78","SUDAN","G3"
"311","SWITZERLAND","G3"
"429","SYRIA","G3"
"467","PAKISTAN","G3"
"5556","UGANDA","G3"
"6193","BANGLADESH","G3"
"8024","CAMBODIA","G3"
"8041","BENIN","G3"
"10683","NETHERLANDS ANTILLES","G3"
"10851","TANZANIA","G3"
"28639","UZBEKISTAN","G3"
"1","EGYPT","G4"
"18","NIGERIA","G4"
"93","YEMEN","G4"
"247","BRUNEI","G4"
"269","OMAN","G4"
"347","PHILIPPINES","G4"
"385","FAEROE ISLANDS","G4"
"424","SOUTH AFRICA","G4"
"434","BR. VIRGIN ISLAND","G4"
"549","JORDAN","G4"
"754","BELARUS","G4"
"960","SLOVAKIA","G4"
"1317","MYANMAR","G4"
"3791","COSTA RICA","G4"
"16137","HAITI","G4"
"2","GHANA","G5"
"9","MALAYSIA","G5"
"20","VIETNAM","G5"
"25","THAILAND","G5"
"71","TURKMENISTAN","G5"
"74","CONGO","G5"
"140","GABON","G5"
"339","URUGUAY","G5"
"345","TRINIDAD AND TOBAGO","G5"
"364","IRAQ","G5"
"407","POLAND","G5"
"425","AZERBAIJAN","G5"
"499","CAMEROON","G5"
"829","EQUATORIAL GUINEA","G5"
"839","CHAD","G5"
"964","BAHRAIN","G5"
"1021","HUNGARY","G5"
"1484","MOZAMBIQUE","G5"
"3491","LITHUANIA","G5"
"8437","CUBA","G5"
"14154","PAPUA NEW GUINEA","G5"
"3","INDONESIA","G6"
"5","SAUDI ARABIA","G6"
"12","QATAR","G6"
"63","IRAN","G6"
"333","SWEDEN","G6"
"336","NEW ZEALAND","G6"
"507","MOROCCO","G6"
"512","LEBANON","G6"
"1180","BULGARIA","G6"
"5335","LAOS","G6"
"5740","MAURITANIA","G6"
"7017","VANUATU","G6"
"19245","THE BAHAMAS","G6"
"29214","ANDORRA","G6"
"35","ANGOLA","G7"
"53","NORWAY","G7"
"66","AUSTRALIA","G7"
"86","CANADA","G7"
"160","KUWAIT","G7"
"170","KAZAKHSTAN","G7"
"261","INCONNU","G7"
"361","GERMANY","G7"
"524","TUNISIA","G7"
"774","PORTUGAL","G7"
"1194","IVORY COAST","G7"
"3327","CZECH REPUBLIC","G7"
"3407","ICELAND","G7"
"3446","MADAGASCAR","G7"
"3725","BARBADOS","G7"
"4390","NICARAGUA","G7"
"8045","FINLAND","G7"
"8569","Central African Republic","G7"
"25968","LATVIA","G7"
"26034","ALBANIA","G7"
"29344","LIBERIA","G7"
"6","USA","G8"
"11","RUSSIA","G8"
"37","LIBYA","G8"
"43","ARGENTINA","G8"
"293","PERU","G8"
"463","ALGERIA","G8"
"1113","UKRAINE","G8"
"1835","ISRAEL","G8"
"3350","AFGHANISTAN","G8"
"5502","NIGER","G8"
"6913","KENYA","G8"
"15","UNITED ARAB EMIRATES","G9"
"23","ECUADOR","G9"
"251","ROMANIA","G9"
"353","SINGAPORE","G9"
"1402","CHILE","G9"
"3420","GUINEA","G9"
"3702","NEW CALEDONIA","G9"
"4018","MONACO","G9"
"5299","MALI","G9"
"5354","MALAWI","G9"
"5912","GREECE","G9"
"9295","ETHIOPIA","G9"
"13289","SURINAME","G9"
"4","CHINA","G10"
"7","VENEZUELA","G10"
"10","FRANCE","G10"
"30","UNITED KINGDOM","G10"
"265","JAPAN","G10"
"592","NETHERLANDS","G10"
"753","TURKEY","G10"
"3087","CROATIA","G10"
"4398","SENEGAL","G10"
"8","MEXICO","G11"
"26","COLOMBIA","G11"
"290","AUSTRIA","G11"
"446","DENMARK","G11"
"529","BELGIUM","G11"
"605","MALTA","G11"
"3367","SOUTH KOREA","G11"
"4755","GUATEMALA","G11"
"7607","CYPRUS","G11"
"11200","MAYOTTE","G11"
"11570","BURKINA FASO","G11"
"15120","PUERTO RICO","G11"
"131","ITALY","G12"
"419","BOLIVIA","G12"
"575","IRELAND","G12"
"2981","TAIWAN","G12"
"3011","HONG KONG","G12"
"33429","GUINEA-BISSAU","G12"
"42","BRAZIL","G13"
"264","SPAIN","G13"
"5597","SERBIA","G13"
"5790","DEMOCRATIC REPUBLIC OF THE CONGO","G13"
"9107","PANAMA","G13"
"20700","RWANDA","G13"
"4274","BERMUDA","G14"
