"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level3"
"2","ALBANIA","level8"
"3","ALGERIA","level6"
"4","AMERICAN SAMOA","level4"
"5","ANDORRA","level6"
"6","ANGOLA","level8"
"7","ANTIGUA AND BARBUDA","level1"
"8","ARGENTINA","level6"
"9","ARMENIA","level6"
"10","ARUBA","level1"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level1"
"13","AZERBAIJAN","level6"
"14","BAHRAIN","level2"
"15","BANGLADESH","level5"
"16","BARBADOS","level3"
"17","BELARUS","level6"
"18","BELGIUM","level11"
"19","BELIZE","level3"
"20","BENIN","level15"
"21","BERMUDA","level1"
"22","BHUTAN","level3"
"23","BOLIVIA","level11"
"24","BOSNIA HERZEGOVINA","level3"
"25","BOTSWANA","level6"
"26","BR. VIRGIN ISLAND","level5"
"27","BRAZIL","level8"
"28","BRUNEI","level3"
"29","BULGARIA","level6"
"30","BURKINA FASO","level4"
"31","BURUNDI","level3"
"32","CAMBODIA","level12"
"33","CAMEROON","level4"
"34","CANADA","level6"
"35","CAPE VERDE","level3"
"36","CAYMAN ISLANDS","level1"
"37","CENTRAL AFRICAN REP","level3"
"38","CHAD","level4"
"39","CHILE","level14"
"40","CHINA","level4"
"41","COLOMBIA","level3"
"42","COMOROS","level3"
"43","CONGO","level3"
"44","COSTA RICA","level1"
"45","CROATIA","level1"
"46","CUBA","level1"
"47","CYPRUS","level9"
"48","CZECH REPUBLIC","level4"
"49","DEM. REP. CONGO","level3"
"50","DENMARK","level3"
"51","DJIBOUTI","level6"
"52","DOMINICA","level3"
"53","DOMINICAN REPUBLIC","level2"
"54","ECUADOR","level1"
"55","EGYPT","level6"
"56","EL SALVADOR","level3"
"57","EQUATORIAL GUINEA","level1"
"58","ERITREA","level4"
"59","ESTONIA","level3"
"60","ETHIOPIA","level6"
"61","FAEROE ISLANDS","level6"
"62","FIJI","level6"
"63","FINLAND","level1"
"64","FR. SOUTHERN TERRIT.","level6"
"65","FRENCH GUIANA","level4"
