"","pays_expat","group_pays_cout"
"110","ARUBA","G1"
"21","DOMINICA","G1"
"3","FIJI","G1"
"4","FR. SOUTHERN TERRIT.","G1"
"5","GREENLAND","G1"
"6","ISLE OF MAN","G1"
"72","KYRGYZSTAN","G1"
"81","MALDIVES","G1"
"9","PITCAIRN ISLANDS","G1"
"101","SAINT LUCIA","G1"
"111","SAMOA","G1"
"12","SOLOMON ISLANDS","G1"
"13","SOMALIA","G1"
"14","ST VINCENT & GREN.","G1"
"15","SWAZILAND","G1"
"16","TAJIKISTAN","G1"
"17","TIMOR-LESTE","G1"
"181","TONGA","G1"
"191","US VIRGIN ISLANDS","G1"
"1057","PAKISTAN","G2"
"1407","PHILIPPINES","G2"
"1581","SRI LANKA","G2"
"382364","SOUTH SUDAN","G2"
"41","INDIA","G3"
"167","BRUNEI","G3"
"180","SUDAN","G3"
"1264","TUNISIA","G3"
"15152","SYRIA","G3"
"16126","MADAGASCAR","G3"
"17438","MAURITIUS","G3"
"18857","ICELAND","G3"
"19060","BANGLADESH","G3"
"28681","BURUNDI","G3"
"35403","SEYCHELLES","G3"
"40808","MACEDONIA","G3"
"40953","GUATEMALA","G3"
"41433","MAYOTTE","G3"
"41627","COMOROS","G3"
"41880","NETHERLANDS ANTILLES","G3"
"77140","ERITREA","G3"
"130023","ESTONIA","G3"
"149155","BELIZE","G3"
"1","SAUDI ARABIA","G4"
"2","YEMEN","G4"
"18","EGYPT","G4"
"24","CAMEROON","G4"
"29","INDONESIA","G4"
"40","OMAN","G4"
"55","IRAN","G4"
"59","THAILAND","G4"
"62","MALAYSIA","G4"
"124","MOROCCO","G4"
"1001","MALI","G4"
"1244","JORDAN","G4"
"1274","BOLIVIA","G4"
"1432","MYANMAR","G4"
"16303","AFGHANISTAN","G4"
"16315","DEMOCRATIC REPUBLIC OF THE CONGO","G4"
"16460","MAURITANIA","G4"
"16907","NIGER","G4"
"18385","BURKINA FASO","G4"
"19070","GUINEA","G4"
"21028","NAMIBIA","G4"
"23688","DJIBOUTI","G4"
"23796","WALLIS AND FUTUNA","G4"
"24500","LAOS","G4"
"24826","GEORGIA","G4"
"25595","MONTENEGRO","G4"
"32440","CUBA","G4"
"35879","Central African Republic","G4"
"35918","BENIN","G4"
"37094","NICARAGUA","G4"
"48308","UGANDA","G4"
"49530","CAMBODIA","G4"
"50081","PARAGUAY","G4"
"84214","GUYANA","G4"
"84340","BOTSWANA","G4"
"96555","GUERNSEY","G4"
"138134","EL SALVADOR","G4"
"362478","GUINEA-BISSAU","G4"
"53","ALGERIA","G5"
"60","ECUADOR","G5"
"97","CONGO","G5"
"156","KUWAIT","G5"
"441","GABON","G5"
"1395","URUGUAY","G5"
"1399","MALTA","G5"
"1440","IRAQ","G5"
"1455","BR. VIRGIN ISLAND","G5"
"1470","POLAND","G5"
"1555","SOUTH AFRICA","G5"
"2928","MOZAMBIQUE","G5"
"3047","IVORY COAST","G5"
"11956","TAIWAN","G5"
"12212","SOUTH KOREA","G5"
"14402","SENEGAL","G5"
"16451","REUNION","G5"
"17108","KENYA","G5"
"17142","TANZANIA","G5"
"17274","MONGOLIA","G5"
"17505","NEW CALEDONIA","G5"
"19168","LATVIA","G5"
"19940","FRENCH POLYNESIA","G5"
"20266","MARTINIQUE","G5"
"20741","MACAU","G5"
"22412","SLOVENIA","G5"
"31066","MALAWI","G5"
"31513","GUADELOUPE","G5"
"34285","ZAMBIA","G5"
"35650","LIBERIA","G5"
"39373","NEPAL","G5"
"45152","NORTH KOREA","G5"
"49375","LESOTHO","G5"
"50841","MOLDOVA","G5"
"80734","PAPUA NEW GUINEA","G5"
"95783","SIERRA LEONE","G5"
"99974","SAO TOME & PRINC.","G5"
"145114","BHUTAN","G5"
"191494","KOSOVO","G5"
"11","QATAR","G6"
"28","GHANA","G6"
"43","VIETNAM","G6"
"85","TURKMENISTAN","G6"
"210","ARGENTINA","G6"
"1018","ROMANIA","G6"
"1047","INCONNU","G6"
"1169","PERU","G6"
"1405","TRINIDAD AND TOBAGO","G6"
"1459","NEW ZEALAND","G6"
"1696","BAHRAIN","G6"
"1711","SLOVAKIA","G6"
"3013","CHAD","G6"
"12079","BULGARIA","G6"
"17523","DOMINICAN REPUBLIC","G6"
"18119","HAITI","G6"
"35281","ARMENIA","G6"
"38420","PALESTINIAN TERRIT.","G6"
"39790","HONDURAS","G6"
"48422","THE GAMBIA","G6"
"59872","LITHUANIA","G6"
"113937","SURINAME","G6"
"143414","CAPE VERDE","G6"
"10","NIGERIA","G7"
"71","FRANCE","G7"
"82","ANGOLA","G7"
"157","LIBYA","G7"
"587","SINGAPORE","G7"
"1699","EQUATORIAL GUINEA","G7"
"1846","LEBANON","G7"
"2008","BELGIUM","G7"
"11902","LUXEMBOURG","G7"
"12326","CYPRUS","G7"
"14005","SERBIA","G7"
"16420","VANUATU","G7"
"19610","BARBADOS","G7"
"8","KAZAKHSTAN","G8"
"19","MEXICO","G8"
"39","COLOMBIA","G8"
"50","VENEZUELA","G8"
"70","AUSTRALIA","G8"
"1051","JAPAN","G8"
"1590","HUNGARY","G8"
"11592","CZECH REPUBLIC","G8"
"13392","SWEDEN","G8"
"14091","PANAMA","G8"
"49555","RWANDA","G8"
"50034","ALBANIA","G8"
"89287","AMERICAN SAMOA","G8"
"135238","PUERTO RICO","G8"
"148632","US MINOR OUT. ISL.","G8"
"7","UNITED ARAB EMIRATES","G9"
"178","CANADA","G9"
"359","NETHERLANDS","G9"
"1048","AZERBAIJAN","G9"
"1265","GERMANY","G9"
"1767","CHILE","G9"
"2510","UKRAINE","G9"
"11782","GREECE","G9"
"19880","UZBEKISTAN","G9"
"40547","FRENCH GUIANA","G9"
"32","CHINA","G10"
"42","NORWAY","G10"
"1209","AUSTRIA","G10"
"2979","COSTA RICA","G10"
"3287","PORTUGAL","G10"
"7470","FAEROE ISLANDS","G10"
"11835","HONG KONG","G10"
"13178","CROATIA","G10"
"16068","FINLAND","G10"
"20234","CAYMAN ISLANDS","G10"
"24572","ETHIOPIA","G10"
"32276","TOGO","G10"
"35176","JERSEY","G10"
"271529","BELARUS","G10"
