"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level3"
"2","ALBANIA","level10"
"3","ALGERIA","level2"
"4","AMERICAN SAMOA","level4"
"5","ANDORRA","level3"
"6","ANGOLA","level10"
"7","ANTIGUA AND BARBUDA","level2"
"8","ARGENTINA","level2"
"9","ARMENIA","level3"
"10","ARUBA","level2"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level2"
"13","AZERBAIJAN","level2"
"14","BAHRAIN","level13"
"15","BANGLADESH","level15"
"16","BARBADOS","level3"
"17","BELARUS","level3"
"18","BELGIUM","level15"
"19","BELIZE","level7"
"20","BENIN","level14"
"21","BERMUDA","level2"
"22","BHUTAN","level3"
"23","BOLIVIA","level11"
"24","BOSNIA HERZEGOVINA","level3"
"25","BOTSWANA","level3"
"26","BR. VIRGIN ISLAND","level15"
"27","BRAZIL","level7"
"28","BRUNEI","level3"
"29","BULGARIA","level3"
"30","BURKINA FASO","level4"
"31","BURUNDI","level7"
"32","CAMBODIA","level12"
"33","CAMEROON","level4"
"34","CANADA","level3"
"35","CAPE VERDE","level3"
"36","CAYMAN ISLANDS","level2"
"37","CENTRAL AFRICAN REP","level7"
"38","CHAD","level4"
"39","CHILE","level13"
"40","CHINA","level4"
"41","COLOMBIA","level3"
"42","COMOROS","level7"
"43","CONGO","level3"
"44","COSTA RICA","level2"
"45","CROATIA","level2"
"46","CUBA","level2"
"47","CYPRUS","level8"
"48","CZECH REPUBLIC","level4"
"49","DEM. REP. CONGO","level7"
"50","DENMARK","level3"
"51","DJIBOUTI","level2"
"52","DOMINICA","level3"
"53","DOMINICAN REPUBLIC","level2"
"54","ECUADOR","level10"
"55","EGYPT","level2"
"56","EL SALVADOR","level3"
"57","EQUATORIAL GUINEA","level2"
"58","ERITREA","level4"
"59","ESTONIA","level3"
"60","ETHIOPIA","level3"
"61","FAEROE ISLANDS","level3"
"62","FIJI","level2"
"63","FINLAND","level10"
"64","FR. SOUTHERN TERRIT.","level3"
"65","FRENCH GUIANA","level4"
"66","FRENCH POLYNESIA","level3"
"67","GABON","level8"
"68","GEORGIA","level3"
"69","GERMANY","level4"
"70","GHANA","level3"
"71","GIBRALTAR","level7"
"72","GREECE","level7"
"73","GREENLAND","level3"
"74","GUADELOUPE","level13"
"75","GUATEMALA","level3"
"76","GUERNSEY","level3"
"77","GUINEA","level3"
"78","GUINEA-BISSAU","level2"
"79","GUYANA","level3"
"80","HAITI","level2"
"81","HONDURAS","level7"
"82","HONG KONG","level3"
"83","HUNGARY","level3"
"84","ICELAND","level3"
"85","INCONNU","level3"
"86","INDIA","level7"
"87","INDONESIA","level3"
"88","IRAN","level9"
"89","IRAQ","level2"
"90","IRELAND","level3"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level3"
"93","ITALY","level3"
"94","IVORY COAST","level6"
"95","JAMAICA","level12"
"96","JAPAN","level2"
"97","JERSEY","level13"
"98","JORDAN","level3"
"99","KAZAKHSTAN","level4"
"100","KENYA","level2"
"101","KOSOVO","level11"
"102","KUWAIT","level12"
"103","KYRGYZSTAN","level10"
"104","LAOS","level10"
"105","LATVIA","level8"
"106","LEBANON","level2"
"107","LESOTHO","level2"
"108","LIBERIA","level3"
"109","LIBYA","level10"
"110","LITHUANIA","level3"
"111","LUXEMBOURG","level2"
"112","MACAU","level3"
"113","MACEDONIA (FYROM)","level3"
"114","MADAGASCAR","level1"
"115","MALAWI","level3"
"116","MALAYSIA","level10"
"117","MALDIVES","level3"
"118","MALI","level4"
"119","MALTA","level3"
"120","MARTINIQUE","level8"
"121","MAURITANIA","level3"
"122","MAURITIUS","level7"
"123","MAYOTTE","level12"
"124","MEXICO","level9"
"125","MOLDOVA","level19"
"126","MONACO","level3"
"127","MONGOLIA","level2"
"128","MONTENEGRO","level16"
"129","MOROCCO","level3"
"130","MOZAMBIQUE","level1"
"131","MYANMAR","level13"
"132","NAMIBIA","level1"
"133","NEPAL","level2"
"134","NETHERLANDS","level14"
"135","NETHERLANDS ANTILLES","level3"
"136","NEW CALEDONIA","level10"
"137","NEW ZEALAND","level3"
"138","NICARAGUA","level10"
"139","NIGER","level7"
"140","NIGERIA","level3"
"141","NORTH KOREA","level10"
"142","NORWAY","level10"
"143","OMAN","level2"
"144","PAKISTAN","level12"
"145","PALESTINIAN TERRIT.","level2"
"146","PANAMA","level10"
"147","PAPUA NEW GUINEA","level3"
"148","PARAGUAY","level2"
"149","PERU","level10"
"150","PHILIPPINES","level3"
"151","PITCAIRN ISLANDS","level2"
"152","POLAND","level17"
"153","PORTUGAL","level10"
"154","PUERTO RICO","level10"
"155","QATAR","level4"
"156","REUNION","level10"
"157","ROMANIA","level7"
"158","RUSSIA","level2"
"159","RWANDA","level4"
"160","SAINT LUCIA","level7"
"161","SAMOA","level3"
"162","SAO TOME & PRINC.","level10"
"163","SAUDI ARABIA","level5"
"164","SENEGAL","level7"
"165","SERBIA","level2"
"166","SERBIA MONTENEGRO","level14"
"167","SEYCHELLES","level3"
"168","SIERRA LEONE","level1"
"169","SINGAPORE","level7"
"170","SLOVAKIA","level4"
"171","SLOVENIA","level4"
"172","SOLOMON ISLANDS","level3"
"173","SOMALIA","level3"
"174","SOUTH AFRICA","level16"
"175","SOUTH KOREA","level14"
"176","SOUTH SUDAN","level4"
"177","SPAIN","level1"
"178","SRI LANKA","level7"
"179","ST VINCENT & GREN.","level16"
"180","SUDAN","level4"
"181","SURINAME","level16"
"182","SWAZILAND","level7"
"183","SWEDEN","level3"
"184","SWITZERLAND","level11"
"185","SYRIA","level3"
"186","TAIWAN","level4"
"187","TAJIKISTAN","level3"
"188","TANZANIA","level3"
"189","THAILAND","level5"
"190","THE BAHAMAS","level7"
"191","THE GAMBIA","level3"
"192","TIMOR-LESTE","level4"
"193","TOGO","level11"
"194","TONGA","level16"
"195","TRINIDAD AND TOBAGO","level3"
"196","TUNISIA","level3"
"197","TURKEY","level2"
"198","TURKMENISTAN","level3"
"199","TURKS & CAICOS","level3"
"200","UGANDA","level16"
"201","UKRAINE","level6"
"202","UNITED ARAB EMIRATES","level3"
"203","UNITED KINGDOM","level6"
"204","URUGUAY","level10"
"205","US MINOR OUT. ISL.","level3"
"206","US VIRGIN ISLANDS","level6"
"207","USA","level6"
"208","UZBEKISTAN","level2"
"209","VANUATU","level18"
"210","VENEZUELA","level3"
"211","VIETNAM","level2"
"212","WALLIS AND FUTUNA","level15"
"213","YEMEN","level1"
"214","ZAMBIA","level3"
"215","ZIMBABWE","level1"
"216","ZZ_FRANCE","level3"
