"","age","group_age_freq"
"231700",-2,"group_14"
"344072",-1,"group_14"
"40612",0,"group_14"
"9974",1,"group_15"
"9896",2,"group_13"
"795",3,"group_12"
"4739",4,"group_12"
"25",5,"group_6"
"17",6,"group_6"
"70",7,"group_5"
"2",8,"group_5"
"6",9,"group_5"
"170",10,"group_5"
"266",11,"group_3"
"10",12,"group_3"
"4",13,"group_3"
"15",14,"group_3"
"81",15,"group_3"
"12",16,"group_3"
"80",17,"group_3"
"181",18,"group_3"
"124",19,"group_1"
"276",20,"group_1"
"132",21,"group_1"
"277",22,"group_1"
"837",23,"group_1"
"548",24,"group_1"
"139",25,"group_1"
"1074",26,"group_1"
"26",27,"group_1"
"57",28,"group_2"
"56",29,"group_2"
"16",30,"group_2"
"72",31,"group_4"
"19",32,"group_4"
"20",33,"group_4"
"9",34,"group_4"
"38",35,"group_4"
"11",36,"group_4"
"1",37,"group_4"
"7",38,"group_4"
"3",39,"group_4"
"13",40,"group_4"
"5",41,"group_7"
"14",42,"group_7"
"29",43,"group_7"
"32",44,"group_7"
"113",45,"group_7"
"22",46,"group_7"
"42",47,"group_7"
"30",48,"group_7"
"39",49,"group_7"
"101",50,"group_7"
"28",51,"group_7"
"126",52,"group_8"
"154",53,"group_8"
"217",54,"group_8"
"140",55,"group_8"
"67",56,"group_8"
"858",57,"group_8"
"66",58,"group_8"
"2157",59,"group_8"
"856",60,"group_8"
"1366",61,"group_8"
"1545",62,"group_8"
"1012",63,"group_8"
"2095",64,"group_8"
"2514",65,"group_8"
"2887",66,"group_8"
"3200",67,"group_8"
"3364",68,"group_8"
"3490",69,"group_10"
"18597",70,"group_10"
"22285",71,"group_10"
"24965",72,"group_10"
"27175",73,"group_10"
"28934",74,"group_10"
"30422",75,"group_10"
"47131",76,"group_10"
"53350",77,"group_10"
"64638",78,"group_11"
"64674",79,"group_11"
"64648",80,"group_11"
"64728",81,"group_11"
"39752",82,"group_11"
"64692",83,"group_11"
"75683",84,"group_11"
"75823",85,"group_11"
"53263",86,"group_11"
"39750",87,"group_11"
"75920",88,"group_11"
"75912",89,"group_9"
"157308",90,"group_9"
"252325",91,"group_9"
"358948",92,"group_9"
"75913",93,"group_9"
"157309",94,"group_9"
"40357",95,"group_9"
"134531",96,"group_9"
"88297",98,"group_9"
"125538",99,"group_9"
"88656",100,"group_9"
"69311",101,"group_9"
"71811",102,"group_9"
"63809",103,"group_9"
"150737",104,"group_9"
"66220",105,"group_9"
"66145",106,"group_9"
"161133",107,"group_9"
"278956",108,"group_9"
"379697",109,"group_9"
