"","pays_expat","group_pays_cout"
"110","ARUBA","group_1"
"2","DOMINICA","group_1"
"3","FIJI","group_1"
"4","FR. SOUTHERN TERRIT.","group_1"
"5","GREENLAND","group_1"
"6","ISLE OF MAN","group_1"
"7","KYRGYZSTAN","group_1"
"8","MALDIVES","group_1"
"9","PITCAIRN ISLANDS","group_1"
"10","SAINT LUCIA","group_1"
"11","SAMOA","group_1"
"12","SOLOMON ISLANDS","group_1"
"13","SOMALIA","group_1"
"14","ST VINCENT & GREN.","group_1"
"15","SWAZILAND","group_1"
"16","TAJIKISTAN","group_1"
"17","TIMOR-LESTE","group_1"
"18","TONGA","group_1"
"19","US VIRGIN ISLANDS","group_1"
"196643","PAKISTAN","group_2"
"199042","PHILIPPINES","group_2"
"251461","SOUTH SUDAN","group_2"
"257340","SRI LANKA","group_2"
"25743","BANGLADESH","group_3"
"29730","BELIZE","group_3"
"41387","BRUNEI","group_3"
"42646","BURUNDI","group_3"
"76115","COMOROS","group_3"
"88517","ERITREA","group_3"
"88518","ESTONIA","group_3"
"101497","GUATEMALA","group_3"
"107618","ICELAND","group_3"
"110971","INDIA","group_3"
"147852","MACEDONIA (FYROM)","group_3"
"147871","MADAGASCAR","group_3"
"162875","MAURITIUS","group_3"
"163549","MAYOTTE","group_3"
"183867","NETHERLANDS ANTILLES","group_3"
"234343","SEYCHELLES","group_3"
"257426","SUDAN","group_3"
"273195","SYRIA","group_3"
"282092","TUNISIA","group_3"
"1","AFGHANISTAN","group_4"
"29748","BENIN","group_4"
"30109","BOLIVIA","group_4"
"30473","BOTSWANA","group_4"
"42354","BURKINA FASO","group_4"
"42731","CAMBODIA","group_4"
"43121","CAMEROON","group_4"
"48337","CENTRAL AFRICAN REP","group_4"
"79632","CUBA","group_4"
"81234","DEM. REP. CONGO","group_4"
"81967","DJIBOUTI","group_4"
"83811","EGYPT","group_4"
"88035","EL SALVADOR","group_4"
"94524","GEORGIA","group_4"
"101539","GUERNSEY","group_4"
"101551","GUINEA","group_4"
"101942","GUINEA-BISSAU","group_4"
"101943","GUYANA","group_4"
"116858","INDONESIA","group_4"
"124270","IRAN","group_4"
"138393","JORDAN","group_4"
"143999","LAOS","group_4"
"149340","MALAYSIA","group_4"
"161978","MALI","group_4"
"162564","MAURITANIA","group_4"
"175587","MONTENEGRO","group_4"
"175616","MOROCCO","group_4"
"181048","MYANMAR","group_4"
"181312","NAMIBIA","group_4"
"185401","NICARAGUA","group_4"
"185432","NIGER","group_4"
"193232","OMAN","group_4"
