"","pays_expat","group_pays_cout"
"168","AFGHANISTAN","G1"
"210","ALBANIA","G1"
"310","AMERICAN SAMOA","G1"
"4","ANDORRA","G1"
"510","ANTIGUA AND BARBUDA","G1"
"610","ARGENTINA","G1"
"7","ARMENIA","G1"
"8","ARUBA","G1"
"910","AZERBAIJAN","G1"
"1010","BANGLADESH","G1"
"11","BARBADOS","G1"
"1210","BELARUS","G1"
"13","BELIZE","G1"
"1410","BENIN","G1"
"1510","BERMUDA","G1"
"16","BHUTAN","G1"
"17","BOLIVIA","G1"
"18","Bosnia and Herzegovina","G1"
"191","BOTSWANA","G1"
"201","BR. VIRGIN ISLAND","G1"
"211","BRUNEI","G1"
"221","BULGARIA","G1"
"23","BURKINA FASO","G1"
"24","BURUNDI","G1"
"25","CAMBODIA","G1"
"261","CAMEROON","G1"
"27","CAPE VERDE","G1"
"28","CAYMAN ISLANDS","G1"
"29","Central African Republic","G1"
"30","CHILE","G1"
"311","COLOMBIA","G1"
"321","COSTA RICA","G1"
"331","CROATIA","G1"
"341","CYPRUS","G1"
"35","DENMARK","G1"
"36","DJIBOUTI","G1"
"37","DOMINICA","G1"
"38","DOMINICAN REPUBLIC","G1"
"391","ECUADOR","G1"
"40","EGYPT","G1"
"41","EL SALVADOR","G1"
"42","EQUATORIAL GUINEA","G1"
"43","ERITREA","G1"
"44","ESTONIA","G1"
"45","ETHIOPIA","G1"
"46","FAEROE ISLANDS","G1"
"47","FIJI","G1"
"48","FR. SOUTHERN TERRIT.","G1"
"49","FRENCH GUIANA","G1"
"50","FRENCH POLYNESIA","G1"
"51","GEORGIA","G1"
"52","GHANA","G1"
"531","GIBRALTAR","G1"
"541","GREENLAND","G1"
"551","GUADELOUPE","G1"
"561","GUATEMALA","G1"
"57","GUERNSEY","G1"
"581","GUINEA","G1"
"591","GUINEA-BISSAU","G1"
"60","GUYANA","G1"
"61","HAITI","G1"
"62","HONDURAS","G1"
"63","HONG KONG","G1"
"64","ICELAND","G1"
"65","INCONNU","G1"
"66","INDIA","G1"
"67","IRELAND","G1"
"68","ISLE OF MAN","G1"
"69","ISRAEL","G1"
"70","IVORY COAST","G1"
"71","JAMAICA","G1"
"72","JAPAN","G1"
"73","JERSEY","G1"
"74","JORDAN","G1"
"75","KAZAKHSTAN","G1"
"76","KENYA","G1"
"77","KOSOVO","G1"
"78","KUWAIT","G1"
"79","KYRGYZSTAN","G1"
"801","LAOS","G1"
"81","LATVIA","G1"
"82","LESOTHO","G1"
"831","LIBERIA","G1"
"84","LIBYA","G1"
"85","LITHUANIA","G1"
"86","LUXEMBOURG","G1"
"871","MACAU","G1"
"88","MACEDONIA","G1"
"891","MALAWI","G1"
"90","MALDIVES","G1"
"91","MALI","G1"
"92","MALTA","G1"
"931","MARTINIQUE","G1"
"94","MAURITANIA","G1"
"95","MAURITIUS","G1"
"96","MAYOTTE","G1"
"97","MEXICO","G1"
"98","MOLDOVA","G1"
"99","MONACO","G1"
"1001","MONGOLIA","G1"
"101","MONTENEGRO","G1"
"102","MOZAMBIQUE","G1"
"1031","MYANMAR","G1"
"104","NAMIBIA","G1"
"1051","NEPAL","G1"
"106","NETHERLANDS ANTILLES","G1"
"107","NEW CALEDONIA","G1"
"108","NEW ZEALAND","G1"
"109","NIGER","G1"
"110","NIGERIA","G1"
"111","NORTH KOREA","G1"
"1121","NORWAY","G1"
"113","OMAN","G1"
"114","PAKISTAN","G1"
"115","PALESTINIAN TERRIT.","G1"
"1161","PANAMA","G1"
"117","PAPUA NEW GUINEA","G1"
"118","PARAGUAY","G1"
"119","PERU","G1"
"120","PHILIPPINES","G1"
"121","PITCAIRN ISLANDS","G1"
"122","POLAND","G1"
"123","PUERTO RICO","G1"
"124","REUNION","G1"
