"","pays_expat","group_pays_cout"
"110","ALBANIA","G1"
"210","AMERICAN SAMOA","G1"
"310","ANDORRA","G1"
"410","ANTIGUA AND BARBUDA","G1"
"510","ARMENIA","G1"
"610","ARUBA","G1"
"710","BARBADOS","G1"
"810","BELARUS","G1"
"96","BELIZE","G1"
"101","BERMUDA","G1"
"112","BHUTAN","G1"
"12","Bosnia and Herzegovina","G1"
"13","BOTSWANA","G1"
"141","BR. VIRGIN ISLAND","G1"
"151","BURKINA FASO","G1"
"161","BURUNDI","G1"
"171","CAPE VERDE","G1"
"181","CAYMAN ISLANDS","G1"
"19","COMOROS","G1"
"201","COSTA RICA","G1"
"21","CROATIA","G1"
"22","CUBA","G1"
"23","DOMINICA","G1"
"24","DOMINICAN REPUBLIC","G1"
"251","EL SALVADOR","G1"
"262","ERITREA","G1"
"271","ESTONIA","G1"
"281","ETHIOPIA","G1"
"29","FAEROE ISLANDS","G1"
"30","FIJI","G1"
"311","FR. SOUTHERN TERRIT.","G1"
"32","FRENCH GUIANA","G1"
"33","FRENCH POLYNESIA","G1"
"34","GEORGIA","G1"
"351","GIBRALTAR","G1"
"36","GREENLAND","G1"
"37","GUADELOUPE","G1"
"38","GUATEMALA","G1"
"39","GUERNSEY","G1"
"401","GUINEA","G1"
"41","GUINEA-BISSAU","G1"
"42","GUYANA","G1"
"43","HONDURAS","G1"
"44","ICELAND","G1"
"45","ISLE OF MAN","G1"
"461","JAMAICA","G1"
"471","JERSEY","G1"
"481","KOSOVO","G1"
"49","KYRGYZSTAN","G1"
"50","LAOS","G1"
"51","LESOTHO","G1"
"521","LITHUANIA","G1"
"53","MACAU","G1"
"54","MACEDONIA","G1"
"55","MALTA","G1"
"56","MARTINIQUE","G1"
"571","MAURITANIA","G1"
"58","MAYOTTE","G1"
"591","MOLDOVA","G1"
"601","MONGOLIA","G1"
"611","MONTENEGRO","G1"
"62","NETHERLANDS ANTILLES","G1"
"631","NICARAGUA","G1"
"64","PALESTINIAN TERRIT.","G1"
"65","PAPUA NEW GUINEA","G1"
"661","PARAGUAY","G1"
"67","PERU","G1"
"681","PITCAIRN ISLANDS","G1"
"69","PUERTO RICO","G1"
"70","REUNION","G1"
"71","RWANDA","G1"
"72","SAINT LUCIA","G1"
"73","SAMOA","G1"
"74","SAO TOME & PRINC.","G1"
"75","SERBIA","G1"
"76","SERBIA MONTENEGRO","G1"
"77","SEYCHELLES","G1"
"78","SLOVENIA","G1"
"79","SOLOMON ISLANDS","G1"
"80","SOMALIA","G1"
"81","SOUTH SUDAN","G1"
"821","SRI LANKA","G1"
"83","ST VINCENT & GREN.","G1"
"84","SURINAME","G1"
"85","SWAZILAND","G1"
"86","TAJIKISTAN","G1"
"87","THE BAHAMAS","G1"
"88","THE GAMBIA","G1"
"89","TIMOR-LESTE","G1"
"901","TONGA","G1"
"91","TURKS & CAICOS","G1"
"92","US MINOR OUT. ISL.","G1"
