"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level2"
"2","ALBANIA","level13"
"3","ALGERIA","level6"
"4","AMERICAN SAMOA","level3"
"5","ANDORRA","level6"
"6","ANGOLA","level10"
"7","ANTIGUA AND BARBUDA","level10"
"8","ARGENTINA","level6"
"9","ARMENIA","level6"
"10","ARUBA","level6"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level10"
"13","AZERBAIJAN","level6"
"14","BAHRAIN","level14"
"15","BANGLADESH","level1"
"16","BARBADOS","level2"
"17","BELARUS","level6"
"18","BELGIUM","level15"
"19","BELIZE","level7"
"20","BENIN","level11"
"21","BERMUDA","level10"
"22","BHUTAN","level2"
"23","BOLIVIA","level11"
"24","BOSNIA HERZEGOVINA","level2"
"25","BOTSWANA","level6"
"26","BR. VIRGIN ISLAND","level5"
"27","BRAZIL","level7"
"28","BRUNEI","level2"
"29","BULGARIA","level2"
"30","BURKINA FASO","level7"
"31","BURUNDI","level7"
"32","CAMBODIA","level12"
"33","CAMEROON","level7"
"34","CANADA","level2"
"35","CAPE VERDE","level2"
"36","CAYMAN ISLANDS","level6"
"37","CENTRAL AFRICAN REP","level2"
"38","CHAD","level3"
"39","CHILE","level14"
"40","CHINA","level3"
"41","COLOMBIA","level2"
"42","COMOROS","level7"
"43","CONGO","level2"
"44","COSTA RICA","level10"
"45","CROATIA","level10"
"46","CUBA","level1"
"47","CYPRUS","level8"
"48","CZECH REPUBLIC","level3"
"49","DEM. REP. CONGO","level7"
"50","DENMARK","level2"
"51","DJIBOUTI","level6"
"52","DOMINICA","level2"
"53","DOMINICAN REPUBLIC","level1"
"54","ECUADOR","level10"
"55","EGYPT","level6"
"56","EL SALVADOR","level2"
"57","EQUATORIAL GUINEA","level10"
"58","ERITREA","level7"
"59","ESTONIA","level2"
"60","ETHIOPIA","level6"
"61","FAEROE ISLANDS","level2"
"62","FIJI","level6"
"63","FINLAND","level10"
"64","FR. SOUTHERN TERRIT.","level6"
"65","FRENCH GUIANA","level3"
"66","FRENCH POLYNESIA","level6"
"67","GABON","level8"
"68","GEORGIA","level6"
"69","GERMANY","level3"
"70","GHANA","level2"
"71","GIBRALTAR","level7"
"72","GREECE","level7"
"73","GREENLAND","level2"
"74","GUADELOUPE","level14"
"75","GUATEMALA","level2"
"76","GUERNSEY","level6"
"77","GUINEA","level6"
"78","GUINEA-BISSAU","level6"
"79","GUYANA","level2"
"80","HAITI","level6"
"81","HONDURAS","level7"
"82","HONG KONG","level6"
"83","HUNGARY","level2"
"84","ICELAND","level2"
"85","INCONNU","level6"
"86","INDIA","level2"
"87","INDONESIA","level2"
"88","IRAN","level9"
"89","IRAQ","level6"
"90","IRELAND","level2"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level6"
"93","ITALY","level6"
"94","IVORY COAST","level5"
"95","JAMAICA","level12"
"96","JAPAN","level6"
"97","JERSEY","level14"
"98","JORDAN","level6"
"99","KAZAKHSTAN","level3"
"100","KENYA","level6"
"101","KOSOVO","level11"
"102","KUWAIT","level12"
"103","KYRGYZSTAN","level13"
"104","LAOS","level13"
"105","LATVIA","level8"
"106","LEBANON","level6"
"107","LESOTHO","level10"
"108","LIBERIA","level2"
"109","LIBYA","level13"
"110","LITHUANIA","level6"
"111","LUXEMBOURG","level1"
"112","MACAU","level2"
"113","MACEDONIA (FYROM)","level6"
"114","MADAGASCAR","level10"
"115","MALAWI","level2"
"116","MALAYSIA","level10"
"117","MALDIVES","level6"
"118","MALI","level7"
"119","MALTA","level6"
"120","MARTINIQUE","level8"
"121","MAURITANIA","level2"
"122","MAURITIUS","level7"
"123","MAYOTTE","level12"
"124","MEXICO","level9"
"125","MOLDOVA","level19"
"126","MONACO","level6"
"127","MONGOLIA","level10"
"128","MONTENEGRO","level16"
"129","MOROCCO","level6"
"130","MOZAMBIQUE","level1"
"131","MYANMAR","level14"
"132","NAMIBIA","level1"
"133","NEPAL","level6"
"134","NETHERLANDS","level15"
"135","NETHERLANDS ANTILLES","level2"
"136","NEW CALEDONIA","level13"
"137","NEW ZEALAND","level2"
"138","NICARAGUA","level10"
"139","NIGER","level2"
"140","NIGERIA","level2"
"141","NORTH KOREA","level13"
"142","NORWAY","level13"
"143","OMAN","level1"
"144","PAKISTAN","level12"
"145","PALESTINIAN TERRIT.","level6"
"146","PANAMA","level7"
"147","PAPUA NEW GUINEA","level6"
"148","PARAGUAY","level1"
"149","PERU","level10"
"150","PHILIPPINES","level2"
"151","PITCAIRN ISLANDS","level6"
"152","POLAND","level17"
"153","PORTUGAL","level6"
"154","PUERTO RICO","level13"
"155","QATAR","level3"
"156","REUNION","level6"
"157","ROMANIA","level7"
"158","RUSSIA","level6"
"159","RWANDA","level3"
"160","SAINT LUCIA","level7"
"161","SAMOA","level2"
"162","SAO TOME & PRINC.","level13"
"163","SAUDI ARABIA","level4"
"164","SENEGAL","level7"
"165","SERBIA","level6"
"166","SERBIA MONTENEGRO","level11"
"167","SEYCHELLES","level6"
"168","SIERRA LEONE","level10"
"169","SINGAPORE","level7"
"170","SLOVAKIA","level3"
"171","SLOVENIA","level3"
"172","SOLOMON ISLANDS","level6"
"173","SOMALIA","level6"
"174","SOUTH AFRICA","level16"
"175","SOUTH KOREA","level15"
"176","SOUTH SUDAN","level3"
"177","SPAIN","level1"
"178","SRI LANKA","level7"
"179","ST VINCENT & GREN.","level16"
"180","SUDAN","level3"
"181","SURINAME","level16"
"182","SWAZILAND","level2"
"183","SWEDEN","level6"
"184","SWITZERLAND","level15"
"185","SYRIA","level2"
"186","TAIWAN","level3"
"187","TAJIKISTAN","level6"
"188","TANZANIA","level2"
"189","THAILAND","level4"
"190","THE BAHAMAS","level2"
"191","THE GAMBIA","level6"
"192","TIMOR-LESTE","level7"
"193","TOGO","level15"
"194","TONGA","level16"
"195","TRINIDAD AND TOBAGO","level6"
"196","TUNISIA","level2"
"197","TURKEY","level6"
"198","TURKMENISTAN","level2"
"199","TURKS & CAICOS","level6"
"200","UGANDA","level16"
"201","UKRAINE","level5"
"202","UNITED ARAB EMIRATES","level6"
"203","UNITED KINGDOM","level5"
"204","URUGUAY","level10"
"205","US MINOR OUT. ISL.","level2"
"206","US VIRGIN ISLANDS","level5"
"207","USA","level5"
"208","UZBEKISTAN","level1"
"209","VANUATU","level18"
"210","VENEZUELA","level2"
"211","VIETNAM","level10"
"212","WALLIS AND FUTUNA","level5"
"213","YEMEN","level1"
"214","ZAMBIA","level6"
"215","ZIMBABWE","level1"
"216","ZZ_FRANCE","level6"
