"","pays_expat","group_pays_cout"
"149","AFGHANISTAN","G1"
"210","ALBANIA","G1"
"3","AMERICAN SAMOA","G1"
"410","ANDORRA","G1"
"5","ANGOLA","G1"
"610","ANTIGUA AND BARBUDA","G1"
"710","ARMENIA","G1"
"8","ARUBA","G1"
"910","AZERBAIJAN","G1"
"10","BANGLADESH","G1"
"1110","BARBADOS","G1"
"12","BELARUS","G1"
"1310","BELIZE","G1"
"1410","BENIN","G1"
"151","BERMUDA","G1"
"161","BHUTAN","G1"
"17","BOLIVIA","G1"
"18","Bosnia and Herzegovina","G1"
"19","BOTSWANA","G1"
"20","BR. VIRGIN ISLAND","G1"
"211","BRUNEI","G1"
"22","BURKINA FASO","G1"
"231","BURUNDI","G1"
"24","CAMBODIA","G1"
"25","CAPE VERDE","G1"
"26","CAYMAN ISLANDS","G1"
"27","Central African Republic","G1"
"281","CHAD","G1"
"291","COMOROS","G1"
"30","COSTA RICA","G1"
"31","CROATIA","G1"
"32","CUBA","G1"
"33","CYPRUS","G1"
"341","DEMOCRATIC REPUBLIC OF THE CONGO","G1"
"35","DENMARK","G1"
"36","DJIBOUTI","G1"
"37","DOMINICA","G1"
"381","DOMINICAN REPUBLIC","G1"
"391","ECUADOR","G1"
"40","EL SALVADOR","G1"
"41","EQUATORIAL GUINEA","G1"
"42","ERITREA","G1"
"431","ESTONIA","G1"
"441","ETHIOPIA","G1"
"451","FAEROE ISLANDS","G1"
"461","FIJI","G1"
"47","FR. SOUTHERN TERRIT.","G1"
"48","FRENCH GUIANA","G1"
"49","FRENCH POLYNESIA","G1"
"50","GEORGIA","G1"
"51","GHANA","G1"
"52","GIBRALTAR","G1"
"53","GREENLAND","G1"
"541","GUADELOUPE","G1"
"55","GUATEMALA","G1"
"56","GUERNSEY","G1"
"57","GUINEA","G1"
"58","GUINEA-BISSAU","G1"
"59","GUYANA","G1"
"60","HONDURAS","G1"
"61","ICELAND","G1"
"621","IRAN","G1"
"631","IRELAND","G1"
"64","ISLE OF MAN","G1"
"65","JAMAICA","G1"
"661","JERSEY","G1"
"67","KOSOVO","G1"
"68","KUWAIT","G1"
"69","KYRGYZSTAN","G1"
"701","LAOS","G1"
"71","LATVIA","G1"
"72","LESOTHO","G1"
"731","LIBERIA","G1"
"741","LIBYA","G1"
"75","LITHUANIA","G1"
"76","MACAU","G1"
"77","MACEDONIA","G1"
"78","MADAGASCAR","G1"
"79","MALAWI","G1"
"80","MALDIVES","G1"
"81","MALI","G1"
"82","MALTA","G1"
"83","MARTINIQUE","G1"
"84","MAURITIUS","G1"
"85","MAYOTTE","G1"
"86","MOLDOVA","G1"
"87","MONACO","G1"
"88","MONGOLIA","G1"
"89","MONTENEGRO","G1"
"90","MOZAMBIQUE","G1"
"91","NAMIBIA","G1"
"92","NEPAL","G1"
"93","NETHERLANDS ANTILLES","G1"
"941","NEW CALEDONIA","G1"
"951","NICARAGUA","G1"
"96","NIGER","G1"
"971","NORTH KOREA","G1"
"98","NORWAY","G1"
"99","OMAN","G1"
"100","PAKISTAN","G1"
"101","PALESTINIAN TERRIT.","G1"
"1021","PANAMA","G1"
"103","PAPUA NEW GUINEA","G1"
"104","PARAGUAY","G1"
"105","PERU","G1"
"106","PITCAIRN ISLANDS","G1"
"107","PUERTO RICO","G1"
"1081","REUNION","G1"
"109","RWANDA","G1"
"110","SAINT LUCIA","G1"
"111","SAMOA","G1"
"112","SAO TOME & PRINC.","G1"
"113","SENEGAL","G1"
"114","SERBIA","G1"
"115","SERBIA MONTENEGRO","G1"
"116","SEYCHELLES","G1"
"117","SIERRA LEONE","G1"
"118","SLOVENIA","G1"
"119","SOLOMON ISLANDS","G1"
"120","SOMALIA","G1"
"121","SOUTH SUDAN","G1"
"122","SRI LANKA","G1"
"123","ST VINCENT & GREN.","G1"
"124","SUDAN","G1"
"125","SURINAME","G1"
"126","SWAZILAND","G1"
"127","SYRIA","G1"
"128","TAJIKISTAN","G1"
"129","TANZANIA","G1"
"130","THE BAHAMAS","G1"
"1311","THE GAMBIA","G1"
"132","TIMOR-LESTE","G1"
"1331","TOGO","G1"
"134","TONGA","G1"
"135","TRINIDAD AND TOBAGO","G1"
"136","TURKMENISTAN","G1"
"137","TURKS & CAICOS","G1"
"138","UGANDA","G1"
"139","URUGUAY","G1"
"140","US MINOR OUT. ISL.","G1"
"141","US VIRGIN ISLANDS","G1"
"142","UZBEKISTAN","G1"
"143","VANUATU","G1"
"144","WALLIS AND FUTUNA","G1"
"145","YEMEN","G1"
"146","ZAMBIA","G1"
"147","ZIMBABWE","G1"
"156","CHILE","G2"
"326","BULGARIA","G2"
"350","HAITI","G2"
"388","TUNISIA","G2"
"393","CAMEROON","G2"
"562","KAZAKHSTAN","G2"
"635","NETHERLANDS","G2"
"704","NEW ZEALAND","G2"
"713","MAURITANIA","G2"
"771","LUXEMBOURG","G2"
"774","PHILIPPINES","G2"
"14","SAUDI ARABIA","G3"
"63","VENEZUELA","G3"
"73","CANADA","G3"
"94","QATAR","G3"
"102","VIETNAM","G3"
"153","SLOVAKIA","G3"
"258","FINLAND","G3"
"437","IRAQ","G3"
"1","CONGO","G4"
"2","INCONNU","G4"
"44","SOUTH KOREA","G4"
"54","IVORY COAST","G4"
"131","BAHRAIN","G4"
"148","JORDAN","G4"
"199","ISRAEL","G4"
"252","INDIA","G4"
"473","GABON","G4"
"4","USA","G5"
"11","CZECH REPUBLIC","G5"
"29","JAPAN","G5"
"43","ARGENTINA","G5"
"62","MOROCCO","G5"
"97","THAILAND","G5"
"300","ROMANIA","G5"
"330","TURKEY","G5"
"13","FRANCE","G6"
"28","SINGAPORE","G6"
"316","GERMANY","G6"
"373","AUSTRIA","G6"
"7","BRAZIL","G7"
"15","MEXICO","G7"
"16","MALAYSIA","G7"
"21","POLAND","G7"
"38","LEBANON","G7"
"74","EGYPT","G7"
"95","HONG KONG","G7"
"34","CHINA","G8"
"133","HUNGARY","G8"
"192","ALGERIA","G8"
"310","UKRAINE","G8"
"479","KENYA","G8"
"725","SWEDEN","G8"
"45","PORTUGAL","G9"
"66","UNITED ARAB EMIRATES","G9"
"70","AUSTRALIA","G9"
"108","SWITZERLAND","G9"
"9","BELGIUM","G10"
"6","INDONESIA","G11"
"39","UNITED KINGDOM","G12"
"225","TAIWAN","G12"
"163","RUSSIA","G13"
"442","SOUTH AFRICA","G13"
"23","COLOMBIA","G14"
"419","GREECE","G14"
"579","MYANMAR","G14"
"46","SPAIN","G15"
"194","NIGERIA","G15"
"798","ITALY","G15"
