"","pays_expat","group_pays_cout"
"110","ANTIGUA AND BARBUDA","G1"
"29","ARUBA","G1"
"31","BHUTAN","G1"
"4","BOTSWANA","G1"
"51","CAPE VERDE","G1"
"6","DOMINICA","G1"
"71","ERITREA","G1"
"82","FIJI","G1"
"9","FR. SOUTHERN TERRIT.","G1"
"102","GREENLAND","G1"
"11","GUERNSEY","G1"
"12","GUINEA-BISSAU","G1"
"131","ISLE OF MAN","G1"
"14","KOSOVO","G1"
"151","KYRGYZSTAN","G1"
"16","MOLDOVA","G1"
"171","PITCAIRN ISLANDS","G1"
"181","SAINT LUCIA","G1"
"191","SAMOA","G1"
"201","SERBIA MONTENEGRO","G1"
"21","SOLOMON ISLANDS","G1"
"221","SOMALIA","G1"
"231","SOUTH SUDAN","G1"
"24","SWAZILAND","G1"
"25","TAJIKISTAN","G1"
"26","TIMOR-LESTE","G1"
"27","TONGA","G1"
"281","US VIRGIN ISLANDS","G1"
"17","SAUDI ARABIA","G2"
"32","COLOMBIA","G2"
"63","INDIA","G2"
"233","LIBYA","G2"
"244","PAKISTAN","G2"
"268","PERU","G2"
"300","PHILIPPINES","G2"
"302","OMAN","G2"
"309","BR. VIRGIN ISLAND","G2"
"373","MOROCCO","G2"
"390","TRINIDAD AND TOBAGO","G2"
"432","SUDAN","G2"
"445","JORDAN","G2"
"654","SLOVAKIA","G2"
"734","MYANMAR","G2"
"864","BOLIVIA","G2"
"1231","MOZAMBIQUE","G2"
"1303","SRI LANKA","G2"
"2393","TAIWAN","G2"
"2793","SENEGAL","G2"
"3110","AFGHANISTAN","G2"
"3113","DEMOCRATIC REPUBLIC OF THE CONGO","G2"
"3155","MAURITANIA","G2"
"3188","MALI","G2"
"3227","NIGER","G2"
"3335","REUNION","G2"
"3342","DOMINICAN REPUBLIC","G2"
"3382","IVORY COAST","G2"
"3447","MADAGASCAR","G2"
"3691","SERBIA","G2"
"3730","BARBADOS","G2"
"3993","NAMIBIA","G2"
"4197","LATVIA","G2"
"4407","THE BAHAMAS","G2"
"4432","DJIBOUTI","G2"
"4622","GEORGIA","G2"
"5075","ANDORRA","G2"
"5346","GUINEA","G2"
"5352","BURUNDI","G2"
"6202","WALLIS AND FUTUNA","G2"
"6370","UGANDA","G2"
"7486","GUATEMALA","G2"
"7489","MARTINIQUE","G2"
"7616","COMOROS","G2"
"8880","ZAMBIA","G2"
"8944","LUXEMBOURG","G2"
"9185","NEPAL","G2"
"9274","ESTONIA","G2"
"10552","UZBEKISTAN","G2"
"10687","LITHUANIA","G2"
"11026","BENIN","G2"
"15400","PARAGUAY","G2"
"15930","LIBERIA","G2"
"16281","AMERICAN SAMOA","G2"
"17547","ICELAND","G2"
"19464","MONTENEGRO","G2"
"22340","RWANDA","G2"
"23563","MAYOTTE","G2"
"24934","PALESTINIAN TERRIT.","G2"
"25787","EL SALVADOR","G2"
"34583","MACEDONIA","G2"
"34760","ALBANIA","G2"
"35311","GUADELOUPE","G2"
"36139","US MINOR OUT. ISL.","G2"
"44673","SLOVENIA","G2"
"46526","SIERRA LEONE","G2"
"47947","SURINAME","G2"
"52100","BELARUS","G2"
"52285","BELIZE","G2"
"60490","MALDIVES","G2"
"66034","ARMENIA","G2"
"68327","PAPUA NEW GUINEA","G2"
"69327","SAO TOME & PRINC.","G2"
"73767","JAMAICA","G2"
"1","YEMEN","G3"
"15","ECUADOR","G3"
"19","TURKMENISTAN","G3"
"22","QATAR","G3"
"41","MALAYSIA","G3"
"65","IRAN","G3"
"115","AUSTRALIA","G3"
"140","CONGO","G3"
"187","ALGERIA","G3"
"220","KUWAIT","G3"
"239","BRUNEI","G3"
"279","EGYPT","G3"
"344","BAHRAIN","G3"
"364","CAMEROON","G3"
"378","SOUTH AFRICA","G3"
"450","GABON","G3"
"567","COSTA RICA","G3"
"2270","CZECH REPUBLIC","G3"
"2778","PANAMA","G3"
"3072","FINLAND","G3"
"3325","MAURITIUS","G3"
"3727","BURKINA FASO","G3"
"4783","HAITI","G3"
"7611","Central African Republic","G3"
"8787","THE GAMBIA","G3"
"8981","CAMBODIA","G3"
"25260","PUERTO RICO","G3"
"5","MEXICO","G4"
"7","INDONESIA","G4"
"23","VENEZUELA","G4"
"28","FRANCE","G4"
"39","THAILAND","G4"
"48","ARGENTINA","G4"
"274","INCONNU","G4"
"491","UKRAINE","G4"
"576","TUNISIA","G4"
"725","ROMANIA","G4"
"782","EQUATORIAL GUINEA","G4"
"1112","IRAQ","G4"
"1335","PORTUGAL","G4"
"2589","CROATIA","G4"
"2747","SWEDEN","G4"
"3255","KENYA","G4"
"6569","CUBA","G4"
"6596","FRENCH POLYNESIA","G4"
"6814","NICARAGUA","G4"
"8933","TOGO","G4"
"10246","TANZANIA","G4"
"15620","GIBRALTAR","G4"
"2","UNITED ARAB EMIRATES","G5"
"3","KAZAKHSTAN","G5"
"10","BRAZIL","G5"
"13","VIETNAM","G5"
"18","ANGOLA","G5"
"101","GHANA","G5"
"243","SPAIN","G5"
"305","POLAND","G5"
"307","CANADA","G5"
"327","HUNGARY","G5"
"354","CHILE","G5"
"408","GERMANY","G5"
"503","AZERBAIJAN","G5"
"506","DENMARK","G5"
"1188","BELGIUM","G5"
"2511","SOUTH KOREA","G5"
"3289","MONGOLIA","G5"
"3300","SYRIA","G5"
"3312","BULGARIA","G5"
"7386","LAOS","G5"
"8275","ETHIOPIA","G5"
"12342","HONDURAS","G5"
"14277","MALAWI","G5"
"25547","BANGLADESH","G5"
"8","CHINA","G6"
"64","NORWAY","G6"
"73","NIGERIA","G6"
"81","NETHERLANDS","G6"
"316","USA","G6"
"369","LEBANON","G6"
"375","ITALY","G6"
"496","RUSSIA","G6"
"533","JAPAN","G6"
"834","ISRAEL","G6"
"1079","CHAD","G6"
"1888","AUSTRIA","G6"
"2094","FAEROE ISLANDS","G6"
"2358","GREECE","G6"
"3145","VANUATU","G6"
"3826","CAYMAN ISLANDS","G6"
"4079","NEW CALEDONIA","G6"
"9004","GUYANA","G6"
"9379","CYPRUS","G6"
"12420","BERMUDA","G6"
"15149","NORTH KOREA","G6"
"15526","NETHERLANDS ANTILLES","G6"
"34651","Bosnia and Herzegovina","G6"
"36062","ST VINCENT & GREN.","G6"
"348","MALTA","G7"
"541","IRELAND","G7"
"704","SWITZERLAND","G7"
"884","TURKEY","G7"
"3199","ZIMBABWE","G7"
"20","UNITED KINGDOM","G8"
"406","NEW ZEALAND","G8"
"457","SINGAPORE","G8"
"472","URUGUAY","G8"
"2324","HONG KONG","G8"
"3090","MONACO","G8"
"6540","SEYCHELLES","G8"
"8202","FRENCH GUIANA","G8"
"12575","JERSEY","G8"
"19820","TURKS & CAICOS","G8"
"19976","MACAU","G8"
"23362","LESOTHO","G8"
