"","pays_expat","group_pays_cout"
"113","AFGHANISTAN","G1"
"210","ALBANIA","G1"
"310","AMERICAN SAMOA","G1"
"4","ANDORRA","G1"
"510","ANTIGUA AND BARBUDA","G1"
"610","ARMENIA","G1"
"710","ARUBA","G1"
"810","BANGLADESH","G1"
"9","BARBADOS","G1"
"101","BELARUS","G1"
"114","BELIZE","G1"
"121","BENIN","G1"
"131","BERMUDA","G1"
"141","BHUTAN","G1"
"152","Bosnia and Herzegovina","G1"
"16","BOTSWANA","G1"
"171","BRUNEI","G1"
"181","BURUNDI","G1"
"191","CAPE VERDE","G1"
"20","CAYMAN ISLANDS","G1"
"21","COMOROS","G1"
"22","CUBA","G1"
"23","DEMOCRATIC REPUBLIC OF THE CONGO","G1"
"24","DOMINICA","G1"
"25","DOMINICAN REPUBLIC","G1"
"261","EL SALVADOR","G1"
"27","ERITREA","G1"
"28","ESTONIA","G1"
"29","FAEROE ISLANDS","G1"
"30","FIJI","G1"
"31","FR. SOUTHERN TERRIT.","G1"
"321","FRENCH GUIANA","G1"
"33","FRENCH POLYNESIA","G1"
"341","GEORGIA","G1"
"351","GIBRALTAR","G1"
"361","GREENLAND","G1"
"371","GUADELOUPE","G1"
"381","GUINEA","G1"
"391","GUINEA-BISSAU","G1"
"40","GUYANA","G1"
"41","ICELAND","G1"
"42","ISLE OF MAN","G1"
"431","JAMAICA","G1"
"44","KOSOVO","G1"
"451","KYRGYZSTAN","G1"
"46","LAOS","G1"
"471","LESOTHO","G1"
"481","LIBERIA","G1"
"49","LITHUANIA","G1"
"50","MACAU","G1"
"51","MACEDONIA","G1"
"52","MALAWI","G1"
"531","MALDIVES","G1"
"541","MALI","G1"
"55","MAYOTTE","G1"
"56","MOLDOVA","G1"
"57","MONGOLIA","G1"
"581","MONTENEGRO","G1"
"591","NETHERLANDS ANTILLES","G1"
"60","NICARAGUA","G1"
"61","NORTH KOREA","G1"
"62","PALESTINIAN TERRIT.","G1"
"631","PAPUA NEW GUINEA","G1"
"64","PARAGUAY","G1"
"65","PITCAIRN ISLANDS","G1"
"661","PUERTO RICO","G1"
"67","REUNION","G1"
"681","RWANDA","G1"
"69","SAINT LUCIA","G1"
"70","SAMOA","G1"
"71","SAO TOME & PRINC.","G1"
"72","SERBIA","G1"
"73","SERBIA MONTENEGRO","G1"
"74","SEYCHELLES","G1"
"75","SLOVENIA","G1"
"76","SOLOMON ISLANDS","G1"
"77","SOMALIA","G1"
"78","SOUTH SUDAN","G1"
"791","SRI LANKA","G1"
"80","ST VINCENT & GREN.","G1"
"81","SURINAME","G1"
"82","SWAZILAND","G1"
"831","TAJIKISTAN","G1"
"84","THE BAHAMAS","G1"
"85","THE GAMBIA","G1"
"86","TIMOR-LESTE","G1"
"87","TOGO","G1"
"88","TONGA","G1"
"89","TURKMENISTAN","G1"
"902","TURKS & CAICOS","G1"
"912","UGANDA","G1"
"921","US MINOR OUT. ISL.","G1"
"93","US VIRGIN ISLANDS","G1"
"94","UZBEKISTAN","G1"
"95","ZIMBABWE","G1"
"107","SOUTH AFRICA","G2"
"256","SLOVAKIA","G2"
"269","ARGENTINA","G2"
"305","COSTA RICA","G2"
"365","JORDAN","G2"
"498","BOLIVIA","G2"
"595","GUERNSEY","G2"
"911","JERSEY","G2"
"983","BULGARIA","G2"
"1380","GUATEMALA","G2"
"1621","PERU","G2"
"1697","IRAQ","G2"
"1778","MADAGASCAR","G2"
"1952","LATVIA","G2"
"2","INDONESIA","G3"
"5","MEXICO","G3"
"11","ROMANIA","G3"
"37","VANUATU","G3"
"43","GREECE","G3"
"45","INDIA","G3"
"47","ALGERIA","G3"
"79","MALTA","G3"
"92","TUNISIA","G3"
"111","LEBANON","G3"
"201","HUNGARY","G3"
"280","FINLAND","G3"
"284","NETHERLANDS","G3"
"415","NEW CALEDONIA","G3"
"468","CHILE","G3"
"470","AZERBAIJAN","G3"
"613","CROATIA","G3"
"814","ZAMBIA","G3"
"901","URUGUAY","G3"
"1020","NIGER","G3"
"1218","NEPAL","G3"
"1601","KENYA","G3"
"1750","KUWAIT","G3"
"2411","TANZANIA","G3"
"6","BRAZIL","G4"
"15","POLAND","G4"
"34","THAILAND","G4"
"53","MALAYSIA","G4"
"58","SYRIA","G4"
"66","PORTUGAL","G4"
"68","BELGIUM","G4"
"162","IRAN","G4"
"505","HONDURAS","G4"
"528","EGYPT","G4"
"604","CHAD","G4"
"873","NEW ZEALAND","G4"
"1253","ECUADOR","G4"
"13","TURKEY","G5"
"123","CAMEROON","G5"
"153","MAURITIUS","G5"
"163","IVORY COAST","G5"
"170","MOROCCO","G5"
"243","BAHRAIN","G5"
"566","NAMIBIA","G5"
"763","IRELAND","G5"
"1300","CYPRUS","G5"
"14","COLOMBIA","G6"
"17","SPAIN","G6"
"19","FRANCE","G6"
"32","UNITED ARAB EMIRATES","G6"
"39","NIGERIA","G6"
"59","GERMANY","G6"
"151","GABON","G6"
"532","QATAR","G6"
"718","LIBYA","G6"
"734","MAURITANIA","G6"
"906","EQUATORIAL GUINEA","G6"
"969","NORWAY","G6"
"1226","KAZAKHSTAN","G6"
"1","RUSSIA","G7"
"26","SWITZERLAND","G7"
"35","CHINA","G7"
"38","YEMEN","G7"
"54","MOZAMBIQUE","G7"
"110","PAKISTAN","G7"
"112","CONGO","G7"
"134","CZECH REPUBLIC","G7"
"3","OMAN","G8"
"7","SAUDI ARABIA","G8"
"10","USA","G8"
"12","BR. VIRGIN ISLAND","G8"
"48","INCONNU","G8"
"63","HONG KONG","G8"
"100","ITALY","G8"
"105","PHILIPPINES","G8"
"129","AUSTRIA","G8"
"148","VENEZUELA","G8"
"197","SINGAPORE","G8"
"347","AUSTRALIA","G8"
"396","LUXEMBOURG","G8"
"639","VIETNAM","G8"
"924","SUDAN","G8"
"1639","MYANMAR","G8"
"1980","HAITI","G8"
"18","UNITED KINGDOM","G9"
