"","pays_expat","group_pays_cout"
"117","AFGHANISTAN","G1"
"210","ALBANIA","G1"
"3","AMERICAN SAMOA","G1"
"410","ANDORRA","G1"
"5","ANTIGUA AND BARBUDA","G1"
"610","ARMENIA","G1"
"710","ARUBA","G1"
"8","BANGLADESH","G1"
"910","BARBADOS","G1"
"10","BELARUS","G1"
"118","BELIZE","G1"
"122","BENIN","G1"
"131","BERMUDA","G1"
"14","BHUTAN","G1"
"151","BOLIVIA","G1"
"161","Bosnia and Herzegovina","G1"
"171","BOTSWANA","G1"
"181","BULGARIA","G1"
"191","BURKINA FASO","G1"
"20","BURUNDI","G1"
"21","CAMBODIA","G1"
"22","CAPE VERDE","G1"
"23","CAYMAN ISLANDS","G1"
"24","Central African Republic","G1"
"251","COMOROS","G1"
"261","COSTA RICA","G1"
"271","CUBA","G1"
"281","CYPRUS","G1"
"291","DEMOCRATIC REPUBLIC OF THE CONGO","G1"
"30","DENMARK","G1"
"311","DJIBOUTI","G1"
"321","DOMINICA","G1"
"33","EL SALVADOR","G1"
"34","ERITREA","G1"
"351","ESTONIA","G1"
"36","ETHIOPIA","G1"
"37","FAEROE ISLANDS","G1"
"381","FIJI","G1"
"39","FINLAND","G1"
"40","FR. SOUTHERN TERRIT.","G1"
"411","FRENCH POLYNESIA","G1"
"42","GEORGIA","G1"
"431","GIBRALTAR","G1"
"441","GREENLAND","G1"
"45","GUADELOUPE","G1"
"46","GUATEMALA","G1"
"47","GUERNSEY","G1"
"48","GUINEA","G1"
"49","GUINEA-BISSAU","G1"
"50","GUYANA","G1"
"511","HONDURAS","G1"
"521","ICELAND","G1"
"531","IRELAND","G1"
"54","ISLE OF MAN","G1"
"55","JAMAICA","G1"
"561","JERSEY","G1"
"571","KOSOVO","G1"
"58","KYRGYZSTAN","G1"
"59","LAOS","G1"
"601","LESOTHO","G1"
"61","LIBERIA","G1"
"62","MACAU","G1"
"63","MACEDONIA","G1"
"64","MALAWI","G1"
"65","MALDIVES","G1"
"66","MALI","G1"
"67","MALTA","G1"
"68","MARTINIQUE","G1"
"69","MAYOTTE","G1"
"70","MOLDOVA","G1"
"71","MONACO","G1"
"72","MONGOLIA","G1"
"731","MONTENEGRO","G1"
"741","MOZAMBIQUE","G1"
"751","NEPAL","G1"
"76","NETHERLANDS ANTILLES","G1"
"771","NICARAGUA","G1"
"78","NIGER","G1"
"79","NORTH KOREA","G1"
"801","PALESTINIAN TERRIT.","G1"
"81","PANAMA","G1"
"82","PAPUA NEW GUINEA","G1"
"83","PARAGUAY","G1"
"84","PITCAIRN ISLANDS","G1"
"851","PUERTO RICO","G1"
"86","REUNION","G1"
"871","RWANDA","G1"
"88","SAINT LUCIA","G1"
"89","SAMOA","G1"
"901","SAO TOME & PRINC.","G1"
"911","SERBIA MONTENEGRO","G1"
"92","SEYCHELLES","G1"
"93","SIERRA LEONE","G1"
"94","SLOVAKIA","G1"
"95","SLOVENIA","G1"
"96","SOLOMON ISLANDS","G1"
"97","SOMALIA","G1"
"981","SOUTH SUDAN","G1"
"99","SRI LANKA","G1"
"100","ST VINCENT & GREN.","G1"
"101","SURINAME","G1"
"102","SWAZILAND","G1"
"103","TAJIKISTAN","G1"
"104","THE BAHAMAS","G1"
"105","THE GAMBIA","G1"
"1061","TIMOR-LESTE","G1"
"107","TOGO","G1"
"108","TONGA","G1"
"1091","TURKS & CAICOS","G1"
"110","UGANDA","G1"
"111","US MINOR OUT. ISL.","G1"
"112","US VIRGIN ISLANDS","G1"
"113","UZBEKISTAN","G1"
"114","VANUATU","G1"
"115","WALLIS AND FUTUNA","G1"
"116","ZIMBABWE","G1"
"214","PHILIPPINES","G2"
"286","DOMINICAN REPUBLIC","G2"
"433","LUXEMBOURG","G2"
"706","SYRIA","G2"
"945","CAMEROON","G2"
"1240","HAITI","G2"
"1274","BRUNEI","G2"
"15","LIBYA","G3"
"35","TURKEY","G3"
"51","MYANMAR","G3"
"127","IRAN","G3"
"152","KUWAIT","G3"
"343","SUDAN","G3"
"693","IRAQ","G3"
"18","ECUADOR","G4"
"32","COLOMBIA","G4"
"56","VIETNAM","G4"
"205","MADAGASCAR","G4"
"230","PERU","G4"
"240","YEMEN","G4"
"1","VENEZUELA","G5"
"85","EQUATORIAL GUINEA","G5"
"91","PAKISTAN","G5"
"98","SOUTH AFRICA","G5"
"106","SERBIA","G5"
"135","HUNGARY","G5"
"395","BR. VIRGIN ISLAND","G5"
"566","TAIWAN","G5"
"655","SOUTH KOREA","G5"
"947","TURKMENISTAN","G5"
"7","MEXICO","G6"
"12","LEBANON","G6"
"25","SAUDI ARABIA","G6"
"26","JORDAN","G6"
"120","ARGENTINA","G6"
"125","OMAN","G6"
"144","AZERBAIJAN","G6"
"192","INDIA","G6"
"287","CZECH REPUBLIC","G6"
"889","BAHRAIN","G6"
"1275","LITHUANIA","G6"
"11","UNITED ARAB EMIRATES","G7"
"19","INDONESIA","G7"
"38","THAILAND","G7"
"44","EGYPT","G7"
"156","CHAD","G7"
"243","SENEGAL","G7"
"4","KAZAKHSTAN","G8"
"17","MALAYSIA","G8"
"28","ALGERIA","G8"
"41","BRAZIL","G8"
"137","ITALY","G8"
"209","LATVIA","G8"
"419","ROMANIA","G8"
"77","CHINA","G9"
"782","IVORY COAST","G9"
"1258","ISRAEL","G9"
"27","QATAR","G10"
"73","SINGAPORE","G10"
"183","MOROCCO","G10"
"417","INCONNU","G10"
"31","POLAND","G11"
"52","ANGOLA","G11"
"53","NORWAY","G11"
"109","CHILE","G11"
"121","GHANA","G11"
"195","NEW CALEDONIA","G11"
"480","TANZANIA","G11"
"647","TRINIDAD AND TOBAGO","G11"
"6","RUSSIA","G12"
"16","FRANCE","G12"
"185","CONGO","G12"
"254","HONG KONG","G12"
"306","GREECE","G12"
"1219","MAURITANIA","G12"
"43","CANADA","G13"
"74","SPAIN","G13"
"698","FRENCH GUIANA","G13"
"1222","TUNISIA","G13"
"9","UNITED KINGDOM","G14"
"57","NEW ZEALAND","G14"
"60","AUSTRIA","G14"
"75","GABON","G14"
"80","NIGERIA","G14"
"246","ZAMBIA","G14"
"407","PORTUGAL","G14"
"542","JAPAN","G14"
"765","NAMIBIA","G14"
"946","CROATIA","G14"
"29","USA","G15"
"651","UKRAINE","G15"
"2","AUSTRALIA","G16"
"13","NETHERLANDS","G17"
"242","BELGIUM","G18"
"329","GERMANY","G18"
"615","URUGUAY","G18"
"805","KENYA","G18"
"87","SWEDEN","G19"
"90","SWITZERLAND","G19"
"605","MAURITIUS","G19"
