"","pays_expat","group_pays_cout"
"110","ALBANIA","G1"
"210","AMERICAN SAMOA","G1"
"310","ANTIGUA AND BARBUDA","G1"
"410","ARMENIA","G1"
"53","ARUBA","G1"
"61","BELARUS","G1"
"7","BERMUDA","G1"
"81","BHUTAN","G1"
"91","Bosnia and Herzegovina","G1"
"101","CAYMAN ISLANDS","G1"
"112","COMOROS","G1"
"12","DOMINICA","G1"
"131","EL SALVADOR","G1"
"14","ERITREA","G1"
"15","FIJI","G1"
"161","FR. SOUTHERN TERRIT.","G1"
"17","GIBRALTAR","G1"
"18","GREENLAND","G1"
"19","GUATEMALA","G1"
"20","GUERNSEY","G1"
"21","GUINEA-BISSAU","G1"
"22","GUYANA","G1"
"231","ICELAND","G1"
"24","ISLE OF MAN","G1"
"25","KOSOVO","G1"
"261","KYRGYZSTAN","G1"
"271","LESOTHO","G1"
"28","MALDIVES","G1"
"291","MAYOTTE","G1"
"301","MONTENEGRO","G1"
"31","NEPAL","G1"
"32","NETHERLANDS ANTILLES","G1"
"33","NICARAGUA","G1"
"341","PARAGUAY","G1"
"35","PITCAIRN ISLANDS","G1"
"36","PUERTO RICO","G1"
"37","RWANDA","G1"
"381","SAINT LUCIA","G1"
"39","SAMOA","G1"
"40","SAO TOME & PRINC.","G1"
"41","SERBIA MONTENEGRO","G1"
"42","SIERRA LEONE","G1"
"43","SOLOMON ISLANDS","G1"
"44","SOMALIA","G1"
"45","ST VINCENT & GREN.","G1"
"46","SWAZILAND","G1"
"47","TAJIKISTAN","G1"
"481","TIMOR-LESTE","G1"
"491","TONGA","G1"
"501","US MINOR OUT. ISL.","G1"
"51","US VIRGIN ISLANDS","G1"
"521","UZBEKISTAN","G1"
"52","BRUNEI","G2"
"82","IRAQ","G2"
"104","BR. VIRGIN ISLAND","G2"
"1525","SLOVENIA","G2"
"1610","NAMIBIA","G2"
"2231","MALAWI","G2"
"10471","REUNION","G2"
"14453","MACAU","G2"
"21603","ESTONIA","G2"
"23565","SOUTH SUDAN","G2"
"32803","MOLDOVA","G2"
"9","VIETNAM","G3"
"48","LIBYA","G3"
"50","SAUDI ARABIA","G3"
"78","KUWAIT","G3"
"83","OMAN","G3"
"86","POLAND","G3"
"111","AZERBAIJAN","G3"
"115","PHILIPPINES","G3"
"145","SUDAN","G3"
"307","FAEROE ISLANDS","G3"
"313","HUNGARY","G3"
"1523","BARBADOS","G3"
"2357","BAHRAIN","G3"
"2476","ZAMBIA","G3"
"2787","PALESTINIAN TERRIT.","G3"
"6293","HONDURAS","G3"
"9648","LIBERIA","G3"
"11617","MYANMAR","G3"
"1","YEMEN","G4"
"2","UNITED ARAB EMIRATES","G4"
"3","GHANA","G4"
"34","INDONESIA","G4"
"79","IRAN","G4"
"89","URUGUAY","G4"
"268","CHAD","G4"
"518","TURKMENISTAN","G4"
"916","SYRIA","G4"
"977","TANZANIA","G4"
"1197","BANGLADESH","G4"
"2616","MAURITANIA","G4"
