"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level7"
"2","ALBANIA","level3"
"3","ALGERIA","level3"
"4","AMERICAN SAMOA","level4"
"5","ANDORRA","level3"
"6","ANGOLA","level3"
"7","ANTIGUA AND BARBUDA","level1"
"8","ARGENTINA","level3"
"9","ARMENIA","level3"
"10","ARUBA","level13"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level1"
"13","AZERBAIJAN","level3"
"14","BAHRAIN","level14"
"15","BANGLADESH","level15"
"16","BARBADOS","level3"
"17","BELARUS","level3"
"18","BELGIUM","level15"
"19","BELIZE","level7"
"20","BENIN","level10"
"21","BERMUDA","level1"
"22","BHUTAN","level7"
"23","BOLIVIA","level10"
"24","BOSNIA HERZEGOVINA","level7"
"25","BOTSWANA","level3"
"26","BR. VIRGIN ISLAND","level15"
"27","BRAZIL","level7"
"28","BRUNEI","level7"
"29","BULGARIA","level7"
"30","BURKINA FASO","level4"
"31","BURUNDI","level7"
"32","CAMBODIA","level11"
"33","CAMEROON","level4"
"34","CANADA","level3"
"35","CAPE VERDE","level7"
"36","CAYMAN ISLANDS","level13"
"37","CENTRAL AFRICAN REP","level7"
"38","CHAD","level4"
"39","CHILE","level14"
"40","CHINA","level4"
"41","COLOMBIA","level7"
"42","COMOROS","level7"
"43","CONGO","level3"
"44","COSTA RICA","level1"
"45","CROATIA","level1"
"46","CUBA","level1"
"47","CYPRUS","level8"
"48","CZECH REPUBLIC","level4"
"49","DEM. REP. CONGO","level7"
"50","DENMARK","level7"
"51","DJIBOUTI","level13"
"52","DOMINICA","level3"
"53","DOMINICAN REPUBLIC","level2"
"54","ECUADOR","level3"
"55","EGYPT","level13"
"56","EL SALVADOR","level7"
"57","EQUATORIAL GUINEA","level3"
"58","ERITREA","level7"
"59","ESTONIA","level7"
"60","ETHIOPIA","level3"
"61","FAEROE ISLANDS","level3"
"62","FIJI","level13"
"63","FINLAND","level3"
"64","FR. SOUTHERN TERRIT.","level3"
"65","FRENCH GUIANA","level4"
"66","FRENCH POLYNESIA","level3"
"67","GABON","level8"
"68","GEORGIA","level3"
"69","GERMANY","level4"
"70","GHANA","level7"
"71","GIBRALTAR","level7"
"72","GREECE","level7"
"73","GREENLAND","level3"
"74","GUADELOUPE","level14"
"75","GUATEMALA","level7"
"76","GUERNSEY","level3"
"77","GUINEA","level13"
"78","GUINEA-BISSAU","level13"
"79","GUYANA","level7"
"80","HAITI","level13"
"81","HONDURAS","level7"
"82","HONG KONG","level13"
"83","HUNGARY","level7"
"84","ICELAND","level7"
"85","INCONNU","level3"
"86","INDIA","level7"
"87","INDONESIA","level3"
"88","IRAN","level9"
"89","IRAQ","level13"
"90","IRELAND","level3"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level3"
"93","ITALY","level3"
"94","IVORY COAST","level6"
"95","JAMAICA","level11"
"96","JAPAN","level13"
"97","JERSEY","level14"
"98","JORDAN","level3"
"99","KAZAKHSTAN","level4"
"100","KENYA","level13"
"101","KOSOVO","level10"
"102","KUWAIT","level11"
"103","KYRGYZSTAN","level7"
"104","LAOS","level7"
"105","LATVIA","level8"
"106","LEBANON","level2"
"107","LESOTHO","level1"
"108","LIBERIA","level7"
"109","LIBYA","level12"
"110","LITHUANIA","level3"
"111","LUXEMBOURG","level1"
"112","MACAU","level7"
"113","MACEDONIA (FYROM)","level3"
"114","MADAGASCAR","level1"
"115","MALAWI","level7"
"116","MALAYSIA","level3"
"117","MALDIVES","level13"
"118","MALI","level4"
"119","MALTA","level13"
"120","MARTINIQUE","level8"
"121","MAURITANIA","level7"
"122","MAURITIUS","level7"
"123","MAYOTTE","level11"
"124","MEXICO","level9"
"125","MOLDOVA","level19"
"126","MONACO","level3"
"127","MONGOLIA","level2"
"128","MONTENEGRO","level16"
"129","MOROCCO","level13"
"130","MOZAMBIQUE","level1"
"131","MYANMAR","level14"
"132","NAMIBIA","level2"
"133","NEPAL","level13"
"134","NETHERLANDS","level10"
"135","NETHERLANDS ANTILLES","level7"
"136","NEW CALEDONIA","level12"
"137","NEW ZEALAND","level7"
"138","NICARAGUA","level2"
"139","NIGER","level7"
"140","NIGERIA","level3"
"141","NORTH KOREA","level12"
"142","NORWAY","level12"
"143","OMAN","level2"
"144","PAKISTAN","level11"
"145","PALESTINIAN TERRIT.","level2"
"146","PANAMA","level7"
"147","PAPUA NEW GUINEA","level3"
"148","PARAGUAY","level2"
"149","PERU","level2"
"150","PHILIPPINES","level7"
"151","PITCAIRN ISLANDS","level13"
"152","POLAND","level17"
"153","PORTUGAL","level3"
"154","PUERTO RICO","level12"
"155","QATAR","level4"
"156","REUNION","level3"
"157","ROMANIA","level7"
"158","RUSSIA","level13"
"159","RWANDA","level4"
"160","SAINT LUCIA","level7"
"161","SAMOA","level3"
"162","SAO TOME & PRINC.","level12"
"163","SAUDI ARABIA","level2"
"164","SENEGAL","level7"
"165","SERBIA","level13"
"166","SERBIA MONTENEGRO","level10"
"167","SEYCHELLES","level13"
"168","SIERRA LEONE","level1"
"169","SINGAPORE","level7"
"170","SLOVAKIA","level4"
"171","SLOVENIA","level4"
"172","SOLOMON ISLANDS","level3"
"173","SOMALIA","level3"
"174","SOUTH AFRICA","level16"
"175","SOUTH KOREA","level10"
"176","SOUTH SUDAN","level4"
"177","SPAIN","level1"
"178","SRI LANKA","level7"
"179","ST VINCENT & GREN.","level16"
"180","SUDAN","level4"
"181","SURINAME","level16"
"182","SWAZILAND","level7"
"183","SWEDEN","level3"
"184","SWITZERLAND","level12"
"185","SYRIA","level3"
"186","TAIWAN","level4"
"187","TAJIKISTAN","level3"
"188","TANZANIA","level7"
"189","THAILAND","level5"
"190","THE BAHAMAS","level7"
"191","THE GAMBIA","level3"
"192","TIMOR-LESTE","level4"
"193","TOGO","level12"
"194","TONGA","level16"
"195","TRINIDAD AND TOBAGO","level3"
"196","TUNISIA","level7"
"197","TURKEY","level13"
"198","TURKMENISTAN","level3"
"199","TURKS & CAICOS","level3"
"200","UGANDA","level16"
"201","UKRAINE","level6"
"202","UNITED ARAB EMIRATES","level3"
"203","UNITED KINGDOM","level6"
"204","URUGUAY","level3"
