"","pays_expat","group_pays_cout"
"110","AFGHANISTAN","G1"
"211","ALBANIA","G1"
"310","ANDORRA","G1"
"413","ANTIGUA AND BARBUDA","G1"
"510","ARMENIA","G1"
"6","ARUBA","G1"
"77","BELIZE","G1"
"8","BERMUDA","G1"
"9","BHUTAN","G1"
"101","BOTSWANA","G1"
"112","BURUNDI","G1"
"12","CAPE VERDE","G1"
"13","CAYMAN ISLANDS","G1"
"141","COMOROS","G1"
"15","DJIBOUTI","G1"
"16","DOMINICA","G1"
"17","EL SALVADOR","G1"
"18","ERITREA","G1"
"19","ESTONIA","G1"
"20","FAEROE ISLANDS","G1"
"212","FIJI","G1"
"221","FR. SOUTHERN TERRIT.","G1"
"231","FRENCH POLYNESIA","G1"
"241","GEORGIA","G1"
"252","GIBRALTAR","G1"
"261","GREENLAND","G1"
"27","GUERNSEY","G1"
"28","GUINEA-BISSAU","G1"
"291","GUYANA","G1"
"301","ICELAND","G1"
"31","ISLE OF MAN","G1"
"32","JAMAICA","G1"
"33","JERSEY","G1"
"34","KOSOVO","G1"
"35","KYRGYZSTAN","G1"
"361","LESOTHO","G1"
"37","LIBERIA","G1"
"38","MACAU","G1"
"39","MACEDONIA","G1"
"40","MALAWI","G1"
"41","MALDIVES","G1"
"42","MAYOTTE","G1"
"431","MONGOLIA","G1"
"441","NEPAL","G1"
"45","NETHERLANDS ANTILLES","G1"
"461","NORTH KOREA","G1"
"47","PALESTINIAN TERRIT.","G1"
"48","PAPUA NEW GUINEA","G1"
"49","PARAGUAY","G1"
"50","PITCAIRN ISLANDS","G1"
"51","PUERTO RICO","G1"
"52","REUNION","G1"
"53","RWANDA","G1"
"54","SAINT LUCIA","G1"
"551","SAMOA","G1"
"56","SAO TOME & PRINC.","G1"
"57","SERBIA MONTENEGRO","G1"
"581","SEYCHELLES","G1"
"59","SIERRA LEONE","G1"
"60","SLOVENIA","G1"
"61","SOLOMON ISLANDS","G1"
"62","SOMALIA","G1"
"631","SOUTH SUDAN","G1"
"641","ST VINCENT & GREN.","G1"
"65","SURINAME","G1"
"661","SWAZILAND","G1"
"67","TAJIKISTAN","G1"
"68","THE BAHAMAS","G1"
"691","THE GAMBIA","G1"
"701","TIMOR-LESTE","G1"
"711","TONGA","G1"
"72","TURKS & CAICOS","G1"
"731","US MINOR OUT. ISL.","G1"
"74","US VIRGIN ISLANDS","G1"
"751","ZAMBIA","G1"
"76","ZIMBABWE","G1"
"26","SAUDI ARABIA","G2"
"36","IRAQ","G2"
"44","CAMEROON","G2"
"46","BR. VIRGIN ISLAND","G2"
"63","SUDAN","G2"
"71","SRI LANKA","G2"
"87","LIBYA","G2"
"88","YEMEN","G2"
"92","BRUNEI","G2"
"115","NORWAY","G2"
"128","NEW ZEALAND","G2"
"210","PAKISTAN","G2"
"219","EQUATORIAL GUINEA","G2"
"220","KUWAIT","G2"
"276","OMAN","G2"
"417","JORDAN","G2"
"594","IRAN","G2"
"638","MONTENEGRO","G2"
"750","MYANMAR","G2"
"826","PERU","G2"
"961","SYRIA","G2"
"1164","MAURITANIA","G2"
"1316","BOLIVIA","G2"
"2044","MARTINIQUE","G2"
"2580","LITHUANIA","G2"
"4752","BANGLADESH","G2"
"8084","TOGO","G2"
"8507","HAITI","G2"
"9187","GUADELOUPE","G2"
"11084","BELARUS","G2"
"12533","MALTA","G2"
"12968","UGANDA","G2"
"4","INDONESIA","G3"
"5","MALAYSIA","G3"
"7","EGYPT","G3"
"10","MEXICO","G3"
"11","COLOMBIA","G3"
"22","QATAR","G3"
"43","PHILIPPINES","G3"
"64","INDIA","G3"
"70","KAZAKHSTAN","G3"
"75","TUNISIA","G3"
