"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level2"
"2","ALBANIA","level7"
"3","ALGERIA","level6"
"4","AMERICAN SAMOA","level3"
"5","ANDORRA","level6"
"6","ANGOLA","level7"
"7","ANTIGUA AND BARBUDA","level1"
"8","ARGENTINA","level6"
"9","ARMENIA","level2"
"10","ARUBA","level6"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level6"
"13","AZERBAIJAN","level6"
"14","BAHRAIN","level14"
"15","BANGLADESH","level16"
"16","BARBADOS","level2"
"17","BELARUS","level6"
"18","BELGIUM","level13"
"19","BELIZE","level10"
"20","BENIN","level11"
"21","BERMUDA","level6"
"22","BHUTAN","level2"
"23","BOLIVIA","level11"
"24","BOSNIA HERZEGOVINA","level10"
"25","BOTSWANA","level6"
"26","BR. VIRGIN ISLAND","level16"
"27","BRAZIL","level7"
"28","BRUNEI","level2"
"29","BULGARIA","level2"
"30","BURKINA FASO","level3"
"31","BURUNDI","level10"
"32","CAMBODIA","level12"
"33","CAMEROON","level3"
"34","CANADA","level2"
"35","CAPE VERDE","level2"
"36","CAYMAN ISLANDS","level6"
"37","CENTRAL AFRICAN REP","level10"
"38","CHAD","level3"
"39","CHILE","level14"
"40","CHINA","level3"
"41","COLOMBIA","level10"
"42","COMOROS","level10"
"43","CONGO","level2"
"44","COSTA RICA","level6"
"45","CROATIA","level6"
"46","CUBA","level1"
"47","CYPRUS","level8"
"48","CZECH REPUBLIC","level3"
"49","DEM. REP. CONGO","level10"
"50","DENMARK","level2"
"51","DJIBOUTI","level6"
"52","DOMINICA","level2"
"53","DOMINICAN REPUBLIC","level1"
"54","ECUADOR","level6"
"55","EGYPT","level6"
"56","EL SALVADOR","level2"
"57","EQUATORIAL GUINEA","level6"
"58","ERITREA","level3"
"59","ESTONIA","level2"
"60","ETHIOPIA","level6"
"61","FAEROE ISLANDS","level2"
"62","FIJI","level6"
"63","FINLAND","level6"
"64","FR. SOUTHERN TERRIT.","level7"
"65","FRENCH GUIANA","level3"
"66","FRENCH POLYNESIA","level2"
"67","GABON","level8"
"68","GEORGIA","level2"
"69","GERMANY","level3"
"70","GHANA","level10"
"71","GIBRALTAR","level10"
"72","GREECE","level10"
"73","GREENLAND","level2"
"74","GUADELOUPE","level14"
"75","GUATEMALA","level2"
"76","GUERNSEY","level6"
"77","GUINEA","level6"
"78","GUINEA-BISSAU","level6"
"79","GUYANA","level2"
"80","HAITI","level6"
"81","HONDURAS","level10"
"82","HONG KONG","level6"
"83","HUNGARY","level10"
"84","ICELAND","level10"
"85","INCONNU","level2"
"86","INDIA","level10"
"87","INDONESIA","level2"
"88","IRAN","level9"
"89","IRAQ","level6"
"90","IRELAND","level2"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level2"
"93","ITALY","level6"
"94","IVORY COAST","level5"
"95","JAMAICA","level12"
"96","JAPAN","level6"
"97","JERSEY","level14"
"98","JORDAN","level2"
"99","KAZAKHSTAN","level3"
"100","KENYA","level6"
"101","KOSOVO","level11"
"102","KUWAIT","level12"
"103","KYRGYZSTAN","level7"
"104","LAOS","level7"
"105","LATVIA","level8"
"106","LEBANON","level6"
"107","LESOTHO","level6"
"108","LIBERIA","level2"
"109","LIBYA","level13"
"110","LITHUANIA","level6"
"111","LUXEMBOURG","level1"
"112","MACAU","level2"
"113","MACEDONIA (FYROM)","level6"
"114","MADAGASCAR","level1"
"115","MALAWI","level2"
"116","MALAYSIA","level6"
"117","MALDIVES","level6"
"118","MALI","level3"
"119","MALTA","level6"
"120","MARTINIQUE","level8"
"121","MAURITANIA","level2"
"122","MAURITIUS","level10"
"123","MAYOTTE","level12"
"124","MEXICO","level9"
"125","MOLDOVA","level19"
"126","MONACO","level7"
"127","MONGOLIA","level6"
"128","MONTENEGRO","level15"
"129","MOROCCO","level6"
"130","MOZAMBIQUE","level1"
"131","MYANMAR","level14"
"132","NAMIBIA","level1"
"133","NEPAL","level6"
"134","NETHERLANDS","level11"
"135","NETHERLANDS ANTILLES","level2"
"136","NEW CALEDONIA","level7"
"137","NEW ZEALAND","level10"
"138","NICARAGUA","level6"
"139","NIGER","level10"
"140","NIGERIA","level2"
"141","NORTH KOREA","level13"
"142","NORWAY","level13"
"143","OMAN","level1"
"144","PAKISTAN","level12"
"145","PALESTINIAN TERRIT.","level6"
"146","PANAMA","level10"
"147","PAPUA NEW GUINEA","level6"
"148","PARAGUAY","level6"
"149","PERU","level6"
"150","PHILIPPINES","level2"
"151","PITCAIRN ISLANDS","level6"
"152","POLAND","level17"
"153","PORTUGAL","level6"
"154","PUERTO RICO","level13"
"155","QATAR","level3"
"156","REUNION","level6"
"157","ROMANIA","level10"
"158","RUSSIA","level6"
"159","RWANDA","level3"
"160","SAINT LUCIA","level10"
"161","SAMOA","level2"
"162","SAO TOME & PRINC.","level13"
"163","SAUDI ARABIA","level4"
"164","SENEGAL","level10"
"165","SERBIA","level6"
"166","SERBIA MONTENEGRO","level11"
"167","SEYCHELLES","level6"
"168","SIERRA LEONE","level1"
"169","SINGAPORE","level10"
"170","SLOVAKIA","level3"
"171","SLOVENIA","level3"
"172","SOLOMON ISLANDS","level7"
"173","SOMALIA","level6"
"174","SOUTH AFRICA","level15"
"175","SOUTH KOREA","level11"
"176","SOUTH SUDAN","level10"
"177","SPAIN","level1"
"178","SRI LANKA","level10"
"179","ST VINCENT & GREN.","level15"
"180","SUDAN","level3"
"181","SURINAME","level15"
"182","SWAZILAND","level2"
"183","SWEDEN","level6"
"184","SWITZERLAND","level13"
"185","SYRIA","level6"
"186","TAIWAN","level3"
"187","TAJIKISTAN","level2"
"188","TANZANIA","level2"
"189","THAILAND","level4"
"190","THE BAHAMAS","level2"
"191","THE GAMBIA","level6"
"192","TIMOR-LESTE","level3"
"193","TOGO","level13"
"194","TONGA","level15"
"195","TRINIDAD AND TOBAGO","level7"
"196","TUNISIA","level10"
"197","TURKEY","level6"
"198","TURKMENISTAN","level2"
"199","TURKS & CAICOS","level2"
"200","UGANDA","level15"
"201","UKRAINE","level5"
"202","UNITED ARAB EMIRATES","level6"
"203","UNITED KINGDOM","level5"
"204","URUGUAY","level6"
"205","US MINOR OUT. ISL.","level2"
"206","US VIRGIN ISLANDS","level5"
"207","USA","level5"
"208","UZBEKISTAN","level1"
"209","VANUATU","level18"
"210","VENEZUELA","level2"
"211","VIETNAM","level1"
"212","WALLIS AND FUTUNA","level16"
"213","YEMEN","level1"
"214","ZAMBIA","level7"
"215","ZIMBABWE","level1"
"216","ZZ_FRANCE","level6"
