"","pays_expat","group_pays_cout"
"110","ALBANIA","G1"
"210","AMERICAN SAMOA","G1"
"3","ANTIGUA AND BARBUDA","G1"
"410","ARUBA","G1"
"510","BELARUS","G1"
"63","BELIZE","G1"
"7","BHUTAN","G1"
"81","BOTSWANA","G1"
"91","CAPE VERDE","G1"
"102","CAYMAN ISLANDS","G1"
"11","COMOROS","G1"
"12","CROATIA","G1"
"131","DOMINICA","G1"
"141","EL SALVADOR","G1"
"151","ERITREA","G1"
"16","ESTONIA","G1"
"17","ETHIOPIA","G1"
"18","FAEROE ISLANDS","G1"
"19","FIJI","G1"
"20","FR. SOUTHERN TERRIT.","G1"
"21","GIBRALTAR","G1"
"22","GREENLAND","G1"
"23","GUINEA-BISSAU","G1"
"24","GUYANA","G1"
"25","ICELAND","G1"
"26","ISLE OF MAN","G1"
"271","JERSEY","G1"
"28","KOSOVO","G1"
"291","KYRGYZSTAN","G1"
"301","LAOS","G1"
"311","LESOTHO","G1"
"321","LITHUANIA","G1"
"33","MACEDONIA","G1"
"341","MALAWI","G1"
"35","MALDIVES","G1"
"36","MAYOTTE","G1"
"371","MOLDOVA","G1"
"381","MONTENEGRO","G1"
"39","NEPAL","G1"
"40","NICARAGUA","G1"
"41","NORTH KOREA","G1"
"42","PARAGUAY","G1"
"43","PITCAIRN ISLANDS","G1"
"44","RWANDA","G1"
"45","SAINT LUCIA","G1"
"461","SAMOA","G1"
"47","SERBIA MONTENEGRO","G1"
"48","SLOVENIA","G1"
"49","SOLOMON ISLANDS","G1"
"501","SOMALIA","G1"
"511","SOUTH SUDAN","G1"
"521","ST VINCENT & GREN.","G1"
"53","SURINAME","G1"
"54","SWAZILAND","G1"
"55","TAJIKISTAN","G1"
"56","THE GAMBIA","G1"
"57","TIMOR-LESTE","G1"
"58","TONGA","G1"
"59","US MINOR OUT. ISL.","G1"
"60","US VIRGIN ISLANDS","G1"
"61","UZBEKISTAN","G1"
"62","WALLIS AND FUTUNA","G1"
"113","PERU","G2"
"772","ZIMBABWE","G2"
"1401","ZAMBIA","G2"
"1539","COSTA RICA","G2"
"1710","JAMAICA","G2"
"13210","SEYCHELLES","G2"
"13989","GUATEMALA","G2"
"19010","SAO TOME & PRINC.","G2"
"101","PHILIPPINES","G3"
"132","SOUTH AFRICA","G3"
"226","SUDAN","G3"
"293","TRINIDAD AND TOBAGO","G3"
"359","URUGUAY","G3"
"542","COLOMBIA","G3"
"635","NEW ZEALAND","G3"
"1001","DOMINICAN REPUBLIC","G3"
"1450","CUBA","G3"
"2805","BRUNEI","G3"
"3502","Central African Republic","G3"
"7110","PUERTO RICO","G3"
"7400","MACAU","G3"
"9902","Bosnia and Herzegovina","G3"
"14850","LIBERIA","G3"
"16625","PALESTINIAN TERRIT.","G3"
"4","OMAN","G4"
"14","AUSTRALIA","G4"
"67","KUWAIT","G4"
"85","LIBYA","G4"
"175","NAMIBIA","G4"
"235","VIETNAM","G4"
