"","pays_expat","group_pays_cout"
"110","BELARUS","G1"
"2","BHUTAN","G1"
"3","DOMINICA","G1"
"4","FIJI","G1"
"5","FR. SOUTHERN TERRIT.","G1"
"61","GREENLAND","G1"
"71","GUINEA-BISSAU","G1"
"82","ISLE OF MAN","G1"
"9","KOSOVO","G1"
"101","KYRGYZSTAN","G1"
"111","MALDIVES","G1"
"12","MONTENEGRO","G1"
"13","PITCAIRN ISLANDS","G1"
"14","RWANDA","G1"
"151","SAINT LUCIA","G1"
"161","SAMOA","G1"
"171","SERBIA MONTENEGRO","G1"
"18","SOLOMON ISLANDS","G1"
"191","SOMALIA","G1"
"201","ST VINCENT & GREN.","G1"
"21","SWAZILAND","G1"
"22","TAJIKISTAN","G1"
"23","TIMOR-LESTE","G1"
"24","TONGA","G1"
"251","US MINOR OUT. ISL.","G1"
"261","US VIRGIN ISLANDS","G1"
"578","PHILIPPINES","G2"
"647","SRI LANKA","G2"
"6570","BANGLADESH","G2"
"8946","BURUNDI","G2"
"10054","COSTA RICA","G2"
"10400","JERSEY","G2"
"13642","CAYMAN ISLANDS","G2"
"13768","COMOROS","G2"
"19946","ERITREA","G2"
"20817","PAPUA NEW GUINEA","G2"
"21854","JAMAICA","G2"
"22014","GUYANA","G2"
"41691","SIERRA LEONE","G2"
"58460","BELIZE","G2"
"83389","PUERTO RICO","G2"
"525","BOLIVIA","G3"
"588","IRAQ","G3"
"598","URUGUAY","G3"
"4560","SYRIA","G3"
"5013","CROATIA","G3"
"6053","MADAGASCAR","G3"
"6063","TANZANIA","G3"
"6517","ICELAND","G3"
"6710","THE BAHAMAS","G3"
"6859","MARTINIQUE","G3"
"7793","SLOVENIA","G3"
"8149","LATVIA","G3"
"8615","ANDORRA","G3"
"10440","ARMENIA","G3"
"10524","CUBA","G3"
"10893","NICARAGUA","G3"
"11682","NEPAL","G3"
"11685","FRENCH GUIANA","G3"
"13675","GIBRALTAR","G3"
"21311","NORTH KOREA","G3"
"23651","MAYOTTE","G3"
"27831","PALESTINIAN TERRIT.","G3"
"28","MALAYSIA","G4"
"47","VIETNAM","G4"
"124","INDIA","G4"
"292","ARGENTINA","G4"
"418","BRUNEI","G4"
"444","OMAN","G4"
"549","PERU","G4"
"700","BAHRAIN","G4"
"718","MALTA","G4"
"760","LEBANON","G4"
"3090","MOZAMBIQUE","G4"
"5878","DEMOCRATIC REPUBLIC OF THE CONGO","G4"
"6154","MAURITIUS","G4"
"6393","PANAMA","G4"
"7705","DJIBOUTI","G4"
"8546","GEORGIA","G4"
"11776","GUATEMALA","G4"
"13493","CAMBODIA","G4"
"19041","MACEDONIA","G4"
"21272","LITHUANIA","G4"
