"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level9"
"2","ALBANIA","level5"
"3","ALGERIA","level3"
"4","AMERICAN SAMOA","level10"
"5","ANDORRA","level3"
"6","ANGOLA","level5"
"7","ANTIGUA AND BARBUDA","level2"
"8","ARGENTINA","level3"
"9","ARMENIA","level9"
"10","ARUBA","level3"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level2"
"13","AZERBAIJAN","level3"
"14","BAHRAIN","level15"
"15","BANGLADESH","level1"
"16","BARBADOS","level3"
"17","BELARUS","level3"
"18","BELGIUM","level11"
"19","BELIZE","level10"
"20","BENIN","level16"
"21","BERMUDA","level3"
"22","BHUTAN","level5"
"23","BOLIVIA","level11"
"24","BOSNIA HERZEGOVINA","level9"
"25","BOTSWANA","level3"
"26","BR. VIRGIN ISLAND","level6"
"27","BRAZIL","level5"
"28","BRUNEI","level9"
"29","BULGARIA","level9"
"30","BURKINA FASO","level10"
"31","BURUNDI","level9"
"32","CAMBODIA","level12"
"33","CAMEROON","level10"
"34","CANADA","level3"
"35","CAPE VERDE","level9"
"36","CAYMAN ISLANDS","level3"
"37","CENTRAL AFRICAN REP","level9"
"38","CHAD","level4"
"39","CHILE","level15"
"40","CHINA","level4"
"41","COLOMBIA","level9"
"42","COMOROS","level10"
"43","CONGO","level5"
"44","COSTA RICA","level3"
"45","CROATIA","level3"
"46","CUBA","level2"
"47","CYPRUS","level7"
"48","CZECH REPUBLIC","level4"
"49","DEM. REP. CONGO","level9"
"50","DENMARK","level9"
"51","DJIBOUTI","level3"
"52","DOMINICA","level3"
"53","DOMINICAN REPUBLIC","level2"
"54","ECUADOR","level3"
"55","EGYPT","level3"
"56","EL SALVADOR","level9"
"57","EQUATORIAL GUINEA","level3"
"58","ERITREA","level10"
"59","ESTONIA","level5"
"60","ETHIOPIA","level3"
"61","FAEROE ISLANDS","level9"
"62","FIJI","level3"
"63","FINLAND","level2"
"64","FR. SOUTHERN TERRIT.","level9"
"65","FRENCH GUIANA","level4"
"66","FRENCH POLYNESIA","level9"
"67","GABON","level7"
"68","GEORGIA","level5"
"69","GERMANY","level10"
"70","GHANA","level9"
"71","GIBRALTAR","level9"
"72","GREECE","level9"
"73","GREENLAND","level5"
"74","GUADELOUPE","level15"
"75","GUATEMALA","level3"
"76","GUERNSEY","level3"
"77","GUINEA","level3"
"78","GUINEA-BISSAU","level3"
"79","GUYANA","level9"
"80","HAITI","level3"
"81","HONDURAS","level10"
"82","HONG KONG","level3"
"83","HUNGARY","level9"
"84","ICELAND","level9"
"85","INCONNU","level3"
"86","INDIA","level9"
"87","INDONESIA","level5"
"88","IRAN","level13"
"89","IRAQ","level3"
"90","IRELAND","level5"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level3"
"93","ITALY","level3"
"94","IVORY COAST","level13"
"95","JAMAICA","level12"
"96","JAPAN","level2"
"97","JERSEY","level15"
"98","JORDAN","level9"
"99","KAZAKHSTAN","level10"
"100","KENYA","level3"
"101","KOSOVO","level16"
"102","KUWAIT","level12"
"103","KYRGYZSTAN","level5"
"104","LAOS","level5"
"105","LATVIA","level7"
"106","LEBANON","level14"
"107","LESOTHO","level3"
"108","LIBERIA","level9"
"109","LIBYA","level11"
"110","LITHUANIA","level3"
"111","LUXEMBOURG","level2"
"112","MACAU","level9"
"113","MACEDONIA (FYROM)","level3"
"114","MADAGASCAR","level2"
"115","MALAWI","level9"
"116","MALAYSIA","level1"
"117","MALDIVES","level3"
"118","MALI","level10"
"119","MALTA","level3"
"120","MARTINIQUE","level7"
"121","MAURITANIA","level9"
"122","MAURITIUS","level9"
"123","MAYOTTE","level12"
"124","MEXICO","level8"
"125","MOLDOVA","level19"
"126","MONACO","level9"
"127","MONGOLIA","level2"
"128","MONTENEGRO","level4"
"129","MOROCCO","level3"
"130","MOZAMBIQUE","level1"
"131","MYANMAR","level15"
"132","NAMIBIA","level2"
"133","NEPAL","level3"
"134","NETHERLANDS","level16"
"135","NETHERLANDS ANTILLES","level9"
"136","NEW CALEDONIA","level5"
"137","NEW ZEALAND","level9"
"138","NICARAGUA","level2"
"139","NIGER","level9"
"140","NIGERIA","level3"
"141","NORTH KOREA","level1"
"142","NORWAY","level1"
"143","OMAN","level2"
"144","PAKISTAN","level12"
"145","PALESTINIAN TERRIT.","level14"
"146","PANAMA","level5"
"147","PAPUA NEW GUINEA","level3"
"148","PARAGUAY","level2"
"149","PERU","level2"
"150","PHILIPPINES","level9"
"151","PITCAIRN ISLANDS","level3"
"152","POLAND","level17"
"153","PORTUGAL","level3"
"154","PUERTO RICO","level1"
"155","QATAR","level4"
"156","REUNION","level1"
"157","ROMANIA","level9"
"158","RUSSIA","level14"
"159","RWANDA","level10"
"160","SAINT LUCIA","level9"
"161","SAMOA","level5"
"162","SAO TOME & PRINC.","level11"
"163","SAUDI ARABIA","level14"
"164","SENEGAL","level9"
"165","SERBIA","level3"
"166","SERBIA MONTENEGRO","level16"
"167","SEYCHELLES","level3"
"168","SIERRA LEONE","level1"
"169","SINGAPORE","level10"
"170","SLOVAKIA","level10"
"171","SLOVENIA","level10"
"172","SOLOMON ISLANDS","level9"
"173","SOMALIA","level3"
"174","SOUTH AFRICA","level4"
"175","SOUTH KOREA","level16"
"176","SOUTH SUDAN","level10"
"177","SPAIN","level2"
"178","SRI LANKA","level9"
"179","ST VINCENT & GREN.","level4"
"180","SUDAN","level10"
"181","SURINAME","level4"
"182","SWAZILAND","level9"
"183","SWEDEN","level3"
"184","SWITZERLAND","level11"
"185","SYRIA","level3"
"186","TAIWAN","level10"
"187","TAJIKISTAN","level9"
"188","TANZANIA","level9"
"189","THAILAND","level1"
"190","THE BAHAMAS","level9"
"191","THE GAMBIA","level3"
"192","TIMOR-LESTE","level10"
"193","TOGO","level11"
"194","TONGA","level4"
"195","TRINIDAD AND TOBAGO","level9"
"196","TUNISIA","level9"
"197","TURKEY","level3"
"198","TURKMENISTAN","level3"
"199","TURKS & CAICOS","level9"
"200","UGANDA","level4"
"201","UKRAINE","level6"
"202","UNITED ARAB EMIRATES","level3"
"203","UNITED KINGDOM","level6"
"204","URUGUAY","level1"
"205","US MINOR OUT. ISL.","level5"
"206","US VIRGIN ISLANDS","level6"
"207","USA","level6"
"208","UZBEKISTAN","level2"
"209","VANUATU","level18"
"210","VENEZUELA","level9"
"211","VIETNAM","level2"
