"","pays_expat","group_pays_cout"
"110","AFGHANISTAN","G1"
"210","ALBANIA","G1"
"310","AMERICAN SAMOA","G1"
"410","ANDORRA","G1"
"5","ANTIGUA AND BARBUDA","G1"
"610","ARUBA","G1"
"74","BELARUS","G1"
"81","BERMUDA","G1"
"91","BHUTAN","G1"
"101","Bosnia and Herzegovina","G1"
"11","BOTSWANA","G1"
"122","BR. VIRGIN ISLAND","G1"
"131","CAPE VERDE","G1"
"14","CAYMAN ISLANDS","G1"
"15","COMOROS","G1"
"16","DOMINICA","G1"
"17","EL SALVADOR","G1"
"18","ERITREA","G1"
"19","ETHIOPIA","G1"
"20","FAEROE ISLANDS","G1"
"21","FIJI","G1"
"22","FR. SOUTHERN TERRIT.","G1"
"23","FRENCH GUIANA","G1"
"24","GEORGIA","G1"
"25","GIBRALTAR","G1"
"26","GREENLAND","G1"
"27","GUERNSEY","G1"
"28","GUINEA-BISSAU","G1"
"291","GUYANA","G1"
"30","HAITI","G1"
"31","ICELAND","G1"
"32","ISLE OF MAN","G1"
"33","JAMAICA","G1"
"34","KOSOVO","G1"
"35","KYRGYZSTAN","G1"
"36","LESOTHO","G1"
"37","MACEDONIA","G1"
"381","MALAWI","G1"
"39","MALDIVES","G1"
"40","MALTA","G1"
"41","MAYOTTE","G1"
"42","MOLDOVA","G1"
"43","NEPAL","G1"
"44","NICARAGUA","G1"
"45","NORTH KOREA","G1"
"46","PALESTINIAN TERRIT.","G1"
"47","PAPUA NEW GUINEA","G1"
"48","PARAGUAY","G1"
"49","PITCAIRN ISLANDS","G1"
"50","PUERTO RICO","G1"
"51","RWANDA","G1"
"52","SAINT LUCIA","G1"
"53","SAMOA","G1"
"54","SAO TOME & PRINC.","G1"
"55","SERBIA MONTENEGRO","G1"
"561","SEYCHELLES","G1"
"571","SIERRA LEONE","G1"
"58","SLOVENIA","G1"
"59","SOLOMON ISLANDS","G1"
"60","SOMALIA","G1"
"61","SOUTH SUDAN","G1"
"62","SRI LANKA","G1"
"63","ST VINCENT & GREN.","G1"
"641","SURINAME","G1"
"651","SWAZILAND","G1"
"66","TAJIKISTAN","G1"
"671","THE GAMBIA","G1"
"681","TIMOR-LESTE","G1"
"69","TONGA","G1"
"701","TURKS & CAICOS","G1"
"711","UGANDA","G1"
"721","US VIRGIN ISLANDS","G1"
"73","UZBEKISTAN","G1"
"65","ECUADOR","G2"
"104","COLOMBIA","G2"
"107","BOLIVIA","G2"
"121","NEW ZEALAND","G2"
"174","POLAND","G2"
"1290","DOMINICAN REPUBLIC","G2"
"1707","HONDURAS","G2"
"2272","LATVIA","G2"
"3899","MOZAMBIQUE","G2"
"5987","ESTONIA","G2"
"8907","COSTA RICA","G2"
"9112","MACAU","G2"
"10841","BELIZE","G2"
"13512","LITHUANIA","G2"
"15249","ARMENIA","G2"
"15419","MYANMAR","G2"
"2","MEXICO","G3"
"12","VENEZUELA","G3"
"68","TRINIDAD AND TOBAGO","G3"
"75","ARGENTINA","G3"
"149","THAILAND","G3"
"586","CYPRUS","G3"
"784","FINLAND","G3"
"8075","SYRIA","G3"
"9729","GUATEMALA","G3"
"15413","CUBA","G3"
"13","BRAZIL","G4"
"77","MALAYSIA","G4"
"85","BRUNEI","G4"
"97","SUDAN","G4"
"150","CHILE","G4"
"163","PERU","G4"
"269","NETHERLANDS","G4"
"543","TURKMENISTAN","G4"
"1267","BARBADOS","G4"
"6479","LIBERIA","G4"
"8700","US MINOR OUT. ISL.","G4"
"10","INDONESIA","G5"
"38","YEMEN","G5"
"76","URUGUAY","G5"
"555","TAIWAN","G5"
"580","CZECH REPUBLIC","G5"
"1033","THE BAHAMAS","G5"
"1162","UKRAINE","G5"
"1328","SERBIA","G5"
"2326","CAMBODIA","G5"
"3625","BAHRAIN","G5"
"3760","ZAMBIA","G5"
"3960","CHAD","G5"
"8685","IRAQ","G5"
"7","NORWAY","G6"
"9","SAUDI ARABIA","G6"
"56","KUWAIT","G6"
"78","ROMANIA","G6"
"87","SPAIN","G6"
"93","INCONNU","G6"
"100","USA","G6"
"118","CANADA","G6"
"135","SINGAPORE","G6"
"159","KAZAKHSTAN","G6"
"173","SLOVAKIA","G6"
"178","INDIA","G6"
"187","PORTUGAL","G6"
"264","SOUTH AFRICA","G6"
"884","MAURITIUS","G6"
"894","PANAMA","G6"
"2151","JORDAN","G6"
"2273","MONTENEGRO","G6"
"3146","CROATIA","G6"
"4478","EQUATORIAL GUINEA","G6"
"7015","GUINEA","G6"
"88","BELGIUM","G7"
"306","OMAN","G7"
"960","TUNISIA","G7"
"1296","NEW CALEDONIA","G7"
"1654","GHANA","G7"
"1750","MADAGASCAR","G7"
"2064","DENMARK","G7"
"15508","BURUNDI","G7"
"1","EGYPT","G8"
"4","UNITED ARAB EMIRATES","G8"
"57","ALGERIA","G8"
"70","PAKISTAN","G8"
"71","LIBYA","G8"
"72","HUNGARY","G8"
"92","ANGOLA","G8"
"138","QATAR","G8"
"546","HONG KONG","G8"
"798","MOROCCO","G8"
"954","IVORY COAST","G8"
"1695","MONGOLIA","G8"
"8388","MONACO","G8"
"10548","JERSEY","G8"
"13129","BANGLADESH","G8"
"8","VIETNAM","G9"
"29","CHINA","G9"
"67","PHILIPPINES","G9"
"145","RUSSIA","G9"
"158","JAPAN","G9"
"334","LEBANON","G9"
"466","GABON","G9"
"557","GREECE","G9"
"1074","WALLIS AND FUTUNA","G9"
"16455","NAMIBIA","G9"
"6","NIGERIA","G10"
"80","FRANCE","G10"
"99","AUSTRALIA","G10"
"185","GERMANY","G10"
"553","TURKEY","G10"
"868","NIGER","G10"
"1666","DJIBOUTI","G10"
"3817","NETHERLANDS ANTILLES","G10"
"4229","GUADELOUPE","G10"
"5276","AZERBAIJAN","G10"
"3","CAMEROON","G11"
"64","UNITED KINGDOM","G11"
"98","CONGO","G11"
"157","MALI","G11"
"366","ITALY","G11"
"554","SWITZERLAND","G11"
"964","SOUTH KOREA","G11"
"1045","FRENCH POLYNESIA","G11"
"3487","MAURITANIA","G11"
"4011","VANUATU","G11"
"4442","BULGARIA","G11"
"4701","MARTINIQUE","G11"
"6577","LAOS","G11"
"551","LUXEMBOURG","G12"
"811","REUNION","G12"
"830","ZIMBABWE","G12"
"1256","SENEGAL","G12"
"1759","Central African Republic","G12"
"1762","BURKINA FASO","G12"
"1880","IRAN","G12"
"3752","TOGO","G12"
"692","SWEDEN","G13"
"839","AUSTRIA","G13"
"1063","DEMOCRATIC REPUBLIC OF THE CONGO","G13"
