"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level2"
"2","ALBANIA","level8"
"3","ALGERIA","level7"
"4","AMERICAN SAMOA","level3"
"5","ANDORRA","level7"
"6","ANGOLA","level8"
"7","ANTIGUA AND BARBUDA","level1"
"8","ARGENTINA","level7"
"9","ARMENIA","level7"
"10","ARUBA","level7"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level7"
"13","AZERBAIJAN","level7"
"14","BAHRAIN","level1"
"15","BANGLADESH","level6"
"16","BARBADOS","level2"
"17","BELARUS","level7"
"18","BELGIUM","level14"
"19","BELIZE","level3"
"20","BENIN","level11"
"21","BERMUDA","level7"
"22","BHUTAN","level5"
"23","BOLIVIA","level11"
"24","BOSNIA HERZEGOVINA","level2"
"25","BOTSWANA","level7"
"26","BR. VIRGIN ISLAND","level6"
"27","BRAZIL","level8"
"28","BRUNEI","level2"
"29","BULGARIA","level2"
"30","BURKINA FASO","level15"
"31","BURUNDI","level5"
"32","CAMBODIA","level12"
"33","CAMEROON","level15"
"34","CANADA","level2"
"35","CAPE VERDE","level2"
"36","CAYMAN ISLANDS","level7"
"37","CENTRAL AFRICAN REP","level5"
"38","CHAD","level3"
"39","CHILE","level13"
"40","CHINA","level3"
"41","COLOMBIA","level5"
"42","COMOROS","level3"
"43","CONGO","level5"
"44","COSTA RICA","level7"
"45","CROATIA","level7"
"46","CUBA","level7"
"47","CYPRUS","level9"
"48","CZECH REPUBLIC","level3"
"49","DEM. REP. CONGO","level5"
"50","DENMARK","level2"
"51","DJIBOUTI","level7"
"52","DOMINICA","level2"
"53","DOMINICAN REPUBLIC","level1"
"54","ECUADOR","level1"
"55","EGYPT","level7"
"56","EL SALVADOR","level2"
"57","EQUATORIAL GUINEA","level1"
"58","ERITREA","level15"
"59","ESTONIA","level5"
"60","ETHIOPIA","level7"
"61","FAEROE ISLANDS","level5"
"62","FIJI","level7"
"63","FINLAND","level1"
"64","FR. SOUTHERN TERRIT.","level2"
"65","FRENCH GUIANA","level3"
"66","FRENCH POLYNESIA","level2"
"67","GABON","level9"
"68","GEORGIA","level5"
"69","GERMANY","level3"
"70","GHANA","level2"
"71","GIBRALTAR","level2"
"72","GREECE","level5"
"73","GREENLAND","level7"
"74","GUADELOUPE","level13"
"75","GUATEMALA","level2"
"76","GUERNSEY","level7"
"77","GUINEA","level7"
"78","GUINEA-BISSAU","level7"
"79","GUYANA","level2"
"80","HAITI","level7"
"81","HONDURAS","level3"
"82","HONG KONG","level7"
"83","HUNGARY","level5"
"84","ICELAND","level2"
"85","INCONNU","level7"
"86","INDIA","level5"
"87","INDONESIA","level5"
"88","IRAN","level10"
"89","IRAQ","level7"
"90","IRELAND","level5"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level7"
"93","ITALY","level7"
"94","IVORY COAST","level10"
"95","JAMAICA","level12"
"96","JAPAN","level7"
"97","JERSEY","level13"
"98","JORDAN","level2"
"99","KAZAKHSTAN","level3"
"100","KENYA","level7"
"101","KOSOVO","level11"
"102","KUWAIT","level12"
"103","KYRGYZSTAN","level5"
"104","LAOS","level5"
"105","LATVIA","level9"
"106","LEBANON","level7"
"107","LESOTHO","level7"
"108","LIBERIA","level2"
"109","LIBYA","level8"
"110","LITHUANIA","level5"
"111","LUXEMBOURG","level7"
"112","MACAU","level2"
"113","MACEDONIA (FYROM)","level7"
"114","MADAGASCAR","level1"
"115","MALAWI","level2"
"116","MALAYSIA","level1"
"117","MALDIVES","level7"
"118","MALI","level15"
"119","MALTA","level7"
"120","MARTINIQUE","level9"
"121","MAURITANIA","level2"
"122","MAURITIUS","level2"
"123","MAYOTTE","level12"
"124","MEXICO","level10"
"125","MOLDOVA","level19"
"126","MONACO","level2"
"127","MONGOLIA","level7"
"128","MONTENEGRO","level16"
"129","MOROCCO","level7"
"130","MOZAMBIQUE","level1"
"131","MYANMAR","level13"
"132","NAMIBIA","level1"
"133","NEPAL","level7"
"134","NETHERLANDS","level14"
"135","NETHERLANDS ANTILLES","level2"
"136","NEW CALEDONIA","level8"
"137","NEW ZEALAND","level5"
"138","NICARAGUA","level1"
"139","NIGER","level5"
"140","NIGERIA","level2"
"141","NORTH KOREA","level4"
"142","NORWAY","level4"
"143","OMAN","level1"
"144","PAKISTAN","level12"
"145","PALESTINIAN TERRIT.","level7"
"146","PANAMA","level3"
"147","PAPUA NEW GUINEA","level7"
"148","PARAGUAY","level1"
"149","PERU","level1"
"150","PHILIPPINES","level2"
"151","PITCAIRN ISLANDS","level7"
"152","POLAND","level17"
"153","PORTUGAL","level7"
"154","PUERTO RICO","level4"
"155","QATAR","level3"
"156","REUNION","level7"
"157","ROMANIA","level5"
"158","RUSSIA","level7"
"159","RWANDA","level3"
"160","SAINT LUCIA","level2"
"161","SAMOA","level5"
"162","SAO TOME & PRINC.","level4"
"163","SAUDI ARABIA","level4"
"164","SENEGAL","level5"
"165","SERBIA","level7"
"166","SERBIA MONTENEGRO","level11"
"167","SEYCHELLES","level7"
"168","SIERRA LEONE","level8"
"169","SINGAPORE","level3"
"170","SLOVAKIA","level3"
"171","SLOVENIA","level3"
"172","SOLOMON ISLANDS","level2"
"173","SOMALIA","level7"
"174","SOUTH AFRICA","level16"
"175","SOUTH KOREA","level14"
"176","SOUTH SUDAN","level3"
"177","SPAIN","level1"
"178","SRI LANKA","level5"
"179","ST VINCENT & GREN.","level16"
"180","SUDAN","level3"
"181","SURINAME","level16"
"182","SWAZILAND","level5"
"183","SWEDEN","level7"
"184","SWITZERLAND","level14"
"185","SYRIA","level7"
"186","TAIWAN","level3"
"187","TAJIKISTAN","level2"
"188","TANZANIA","level2"
"189","THAILAND","level4"
"190","THE BAHAMAS","level5"
"191","THE GAMBIA","level7"
"192","TIMOR-LESTE","level15"
"193","TOGO","level14"
"194","TONGA","level16"
"195","TRINIDAD AND TOBAGO","level2"
"196","TUNISIA","level5"
"197","TURKEY","level7"
"198","TURKMENISTAN","level5"
"199","TURKS & CAICOS","level2"
"200","UGANDA","level16"
"201","UKRAINE","level6"
"202","UNITED ARAB EMIRATES","level7"
"203","UNITED KINGDOM","level6"
"204","URUGUAY","level1"
"205","US MINOR OUT. ISL.","level5"
"206","US VIRGIN ISLANDS","level6"
"207","USA","level6"
"208","UZBEKISTAN","level1"
"209","VANUATU","level18"
"210","VENEZUELA","level2"
"211","VIETNAM","level1"
"212","WALLIS AND FUTUNA","level6"
"213","YEMEN","level1"
"214","ZAMBIA","level7"
"215","ZIMBABWE","level1"
"216","ZZ_FRANCE","level7"
