"","pays_expat","group_pays_cout"
"152","AFGHANISTAN","G1"
"210","ALBANIA","G1"
"310","AMERICAN SAMOA","G1"
"410","ANDORRA","G1"
"510","ANTIGUA AND BARBUDA","G1"
"6","ARMENIA","G1"
"7","ARUBA","G1"
"810","AZERBAIJAN","G1"
"910","BAHRAIN","G1"
"10","BANGLADESH","G1"
"1110","BARBADOS","G1"
"1210","BELARUS","G1"
"1310","BELIZE","G1"
"14","BENIN","G1"
"15","BERMUDA","G1"
"161","BHUTAN","G1"
"17","BOLIVIA","G1"
"18","Bosnia and Herzegovina","G1"
"191","BOTSWANA","G1"
"201","BR. VIRGIN ISLAND","G1"
"21","BRUNEI","G1"
"22","BULGARIA","G1"
"23","BURUNDI","G1"
"24","CAMBODIA","G1"
"25","CAMEROON","G1"
"261","CAPE VERDE","G1"
"27","CAYMAN ISLANDS","G1"
"281","Central African Republic","G1"
"291","CHAD","G1"
"30","CHILE","G1"
"31","COMOROS","G1"
"321","COSTA RICA","G1"
"331","CROATIA","G1"
"341","CUBA","G1"
"351","DEMOCRATIC REPUBLIC OF THE CONGO","G1"
"361","DJIBOUTI","G1"
"371","DOMINICA","G1"
"381","DOMINICAN REPUBLIC","G1"
"39","ECUADOR","G1"
"40","EGYPT","G1"
"411","EL SALVADOR","G1"
"421","EQUATORIAL GUINEA","G1"
"431","ERITREA","G1"
"44","ESTONIA","G1"
"45","ETHIOPIA","G1"
"46","FAEROE ISLANDS","G1"
"471","FIJI","G1"
"48","FR. SOUTHERN TERRIT.","G1"
"49","FRENCH GUIANA","G1"
"50","GEORGIA","G1"
"51","GHANA","G1"
"52","GIBRALTAR","G1"
"53","GREENLAND","G1"
"54","GUADELOUPE","G1"
"551","GUATEMALA","G1"
"56","GUERNSEY","G1"
"57","GUINEA","G1"
"58","GUINEA-BISSAU","G1"
"59","GUYANA","G1"
"60","HONDURAS","G1"
"61","HONG KONG","G1"
"62","HUNGARY","G1"
"63","ICELAND","G1"
"64","IRAN","G1"
"65","IRAQ","G1"
"66","IRELAND","G1"
"67","ISLE OF MAN","G1"
"68","JAMAICA","G1"
"69","JERSEY","G1"
"70","JORDAN","G1"
"711","KAZAKHSTAN","G1"
"72","KENYA","G1"
"73","KOSOVO","G1"
"74","KUWAIT","G1"
"751","KYRGYZSTAN","G1"
"76","LAOS","G1"
"77","LATVIA","G1"
"78","LESOTHO","G1"
"791","LIBERIA","G1"
"80","LIBYA","G1"
"81","LITHUANIA","G1"
"82","MACAU","G1"
"83","MACEDONIA","G1"
"84","MADAGASCAR","G1"
"85","MALAWI","G1"
"86","MALAYSIA","G1"
"871","MALDIVES","G1"
"88","MALTA","G1"
"89","MAURITANIA","G1"
"901","MAYOTTE","G1"
"91","MONACO","G1"
"92","MONGOLIA","G1"
"93","MONTENEGRO","G1"
"94","MOZAMBIQUE","G1"
"951","MYANMAR","G1"
"961","NAMIBIA","G1"
"971","NEPAL","G1"
"98","NETHERLANDS ANTILLES","G1"
"99","NEW ZEALAND","G1"
"100","NICARAGUA","G1"
"101","NIGER","G1"
"102","NORTH KOREA","G1"
"103","OMAN","G1"
"104","PAKISTAN","G1"
"105","PALESTINIAN TERRIT.","G1"
"106","PANAMA","G1"
"107","PAPUA NEW GUINEA","G1"
"108","PARAGUAY","G1"
"109","PERU","G1"
"110","PHILIPPINES","G1"
"111","PITCAIRN ISLANDS","G1"
"112","PUERTO RICO","G1"
"113","REUNION","G1"
"114","RWANDA","G1"
"115","SAINT LUCIA","G1"
"116","SAMOA","G1"
"117","SAO TOME & PRINC.","G1"
"118","SERBIA MONTENEGRO","G1"
"119","SEYCHELLES","G1"
"120","SIERRA LEONE","G1"
"121","SLOVENIA","G1"
"122","SOLOMON ISLANDS","G1"
"123","SOMALIA","G1"
"124","SOUTH SUDAN","G1"
"125","SRI LANKA","G1"
"126","ST VINCENT & GREN.","G1"
"127","SUDAN","G1"
"128","SURINAME","G1"
"129","SWAZILAND","G1"
"1301","SWEDEN","G1"
"131","SYRIA","G1"
"132","TAIWAN","G1"
"133","TAJIKISTAN","G1"
"134","TANZANIA","G1"
"135","THE BAHAMAS","G1"
"1361","THE GAMBIA","G1"
"137","TIMOR-LESTE","G1"
"138","TOGO","G1"
"139","TONGA","G1"
"140","TRINIDAD AND TOBAGO","G1"
"141","TURKMENISTAN","G1"
"142","TURKS & CAICOS","G1"
"143","UGANDA","G1"
"1441","US MINOR OUT. ISL.","G1"
"1451","US VIRGIN ISLANDS","G1"
"146","UZBEKISTAN","G1"
"147","VANUATU","G1"
"148","VIETNAM","G1"
"149","WALLIS AND FUTUNA","G1"
"150","ZAMBIA","G1"
"151","ZIMBABWE","G1"
"20","MAURITIUS","G2"
"34","NEW CALEDONIA","G2"
"253","GABON","G2"
"327","MOLDOVA","G2"
"332","HAITI","G2"
"336","UKRAINE","G2"
"42","NETHERLANDS","G3"
"90","GREECE","G3"
"95","AUSTRALIA","G3"
"136","CONGO","G3"
"178","FINLAND","G3"
"184","AUSTRIA","G3"
"297","URUGUAY","G3"
"360","DENMARK","G3"
"406","NORWAY","G3"
"415","CYPRUS","G3"
"423","SAUDI ARABIA","G3"
"9","BURKINA FASO","G4"
"19","SENEGAL","G4"
"38","THAILAND","G4"
"43","POLAND","G4"
"55","BRAZIL","G4"
"166","COLOMBIA","G4"
"292","ANGOLA","G4"
"444","LUXEMBOURG","G4"
"28","BELGIUM","G5"
"29","TUNISIA","G5"
"36","TURKEY","G5"
"145","CZECH REPUBLIC","G5"
"165","VENEZUELA","G5"
"41","YEMEN","G6"
"47","CANADA","G6"
"144","ISRAEL","G6"
"203","FRENCH POLYNESIA","G6"
"4","FRANCE","G7"
"11","IVORY COAST","G7"
"16","GERMANY","G7"
"79","SERBIA","G7"
"5","USA","G8"
"37","CHINA","G8"
"213","ARGENTINA","G8"
"226","INDONESIA","G8"
"8","INCONNU","G9"
"26","ROMANIA","G9"
"96","SOUTH AFRICA","G9"
"130","UNITED ARAB EMIRATES","G9"
"1","SPAIN","G10"
"3","NIGERIA","G11"
"13","MARTINIQUE","G11"
"32","MOROCCO","G11"
"33","UNITED KINGDOM","G11"
"35","RUSSIA","G12"
"412","QATAR","G12"
"75","ITALY","G13"
"97","SWITZERLAND","G13"
"12","LEBANON","G14"
"87","ALGERIA","G14"
"309","SLOVAKIA","G14"
"2","SOUTH KOREA","G15"
"71","INDIA","G15"
"155","JAPAN","G15"
"194","SINGAPORE","G15"
"198","MALI","G15"
"274","MEXICO","G15"
"302","PORTUGAL","G15"
