"","pays_expat","group_pays_cout"
"110","ARUBA","G1"
"2","DOMINICA","G1"
"31","FIJI","G1"
"41","FR. SOUTHERN TERRIT.","G1"
"53","GREENLAND","G1"
"61","GUINEA-BISSAU","G1"
"7","ISLE OF MAN","G1"
"8","KYRGYZSTAN","G1"
"9","PITCAIRN ISLANDS","G1"
"101","SAINT LUCIA","G1"
"111","SAMOA","G1"
"12","SOLOMON ISLANDS","G1"
"13","SOMALIA","G1"
"14","ST VINCENT & GREN.","G1"
"151","SWAZILAND","G1"
"16","TAJIKISTAN","G1"
"17","TIMOR-LESTE","G1"
"18","TONGA","G1"
"191","US VIRGIN ISLANDS","G1"
"1","YEMEN","G2"
"28","OMAN","G2"
"29","INDIA","G2"
"35","IRAN","G2"
"58","CONGO","G2"
"147","JORDAN","G2"
"209","SUDAN","G2"
"692","BRUNEI","G2"
"721","PAKISTAN","G2"
"914","PHILIPPINES","G2"
"1001","SRI LANKA","G2"
"1011","BOLIVIA","G2"
"9883","SYRIA","G2"
"10483","MADAGASCAR","G2"
"10593","AFGHANISTAN","G2"
"10603","DEMOCRATIC REPUBLIC OF THE CONGO","G2"
"10707","MAURITANIA","G2"
"10988","NIGER","G2"
"11316","MAURITIUS","G2"
"12693","BURKINA FASO","G2"
"13124","MARTINIQUE","G2"
"13321","BANGLADESH","G2"
"13607","NAMIBIA","G2"
"13848","LATVIA","G2"
"14496","SLOVENIA","G2"
"15244","BENIN","G2"
"15284","DJIBOUTI","G2"
"16008","GEORGIA","G2"
"16486","MONTENEGRO","G2"
"18404","BURUNDI","G2"
"22640","SEYCHELLES","G2"
"22948","Central African Republic","G2"
"23704","NICARAGUA","G2"
"26066","GUATEMALA","G2"
"26496","COMOROS","G2"
"28055","ERITREA","G2"
"28276","CAMBODIA","G2"
"28784","LAOS","G2"
"30072","UGANDA","G2"
"30537","LESOTHO","G2"
"30681","RWANDA","G2"
"31052","ALBANIA","G2"
"31679","MOLDOVA","G2"
"46651","MACEDONIA","G2"
"50715","PAPUA NEW GUINEA","G2"
"51925","LITHUANIA","G2"
"52948","GUYANA","G2"
"53057","BOTSWANA","G2"
"82702","SIERRA LEONE","G2"
"86249","PUERTO RICO","G2"
"88089","EL SALVADOR","G2"
"91330","CAPE VERDE","G2"
"92245","BHUTAN","G2"
"123149","BELIZE","G2"
"145366","SURINAME","G2"
"203306","ANTIGUA AND BARBUDA","G2"
"239861","MALDIVES","G2"
"5","SAUDI ARABIA","G3"
"10","EGYPT","G3"
"15","CAMEROON","G3"
"19","GHANA","G3"
"20","INDONESIA","G3"
"37","THAILAND","G3"
"38","ECUADOR","G3"
"39","MALAYSIA","G3"
"77","MOROCCO","G3"
"108","LIBYA","G3"
"158","GABON","G3"
"698","MALI","G3"
"752","TUNISIA","G3"
"791","PERU","G3"
"924","MYANMAR","G3"
"926","IRAQ","G3"
"941","BR. VIRGIN ISLAND","G3"
"942","POLAND","G3"
"1877","IVORY COAST","G3"
"7771","TAIWAN","G3"
"7832","BULGARIA","G3"
"9385","SENEGAL","G3"
"10699","REUNION","G3"
"11103","KENYA","G3"
"11131","TANZANIA","G3"
"11210","MONGOLIA","G3"
"11372","DOMINICAN REPUBLIC","G3"
"11742","HAITI","G3"
"12355","GUINEA","G3"
"12715","BARBADOS","G3"
"20227","GUADELOUPE","G3"
"20649","TOGO","G3"
"20738","CUBA","G3"
"21658","HONDURAS","G3"
"22571","ARMENIA","G3"
"22800","LIBERIA","G3"
"24416","JAMAICA","G3"
"24510","SERBIA MONTENEGRO","G3"
"24574","PALESTINIAN TERRIT.","G3"
"25152","NEPAL","G3"
"25858","FRENCH GUIANA","G3"
"29565","ZAMBIA","G3"
"36343","ICELAND","G3"
"52377","NORTH KOREA","G3"
"56548","AMERICAN SAMOA","G3"
"58670","MAYOTTE","G3"
"91457","SAO TOME & PRINC.","G3"
"122281","KOSOVO","G3"
"4","KAZAKHSTAN","G4"
"6","QATAR","G4"
"27","COLOMBIA","G4"
"30","VIETNAM","G4"
"32","VENEZUELA","G4"
"42","FRANCE","G4"
"44","ALGERIA","G4"
"45","NIGERIA","G4"
"51","TURKMENISTAN","G4"
"75","ANGOLA","G4"
"128","ARGENTINA","G4"
"229","KUWAIT","G4"
"696","ROMANIA","G4"
"716","INCONNU","G4"
"849","SOUTH AFRICA","G4"
"912","TRINIDAD AND TOBAGO","G4"
"1067","EQUATORIAL GUINEA","G4"
"1457","MOZAMBIQUE","G4"
"1724","JAPAN","G4"
"1856","CHAD","G4"
"8313","SOUTH KOREA","G4"
"9159","PANAMA","G4"
"10333","BAHRAIN","G4"
"10457","LUXEMBOURG","G4"
"11358","NEW CALEDONIA","G4"
"15355","WALLIS AND FUTUNA","G4"
"21883","BERMUDA","G4"
"28929","MALAWI","G4"
"31654","GIBRALTAR","G4"
"94039","US MINOR OUT. ISL.","G4"
"243182","SOUTH SUDAN","G4"
"11","MEXICO","G5"
"63","NORWAY","G5"
"381","SINGAPORE","G5"
"450","CANADA","G5"
"841","AZERBAIJAN","G5"
"907","URUGUAY","G5"
"937","NEW ZEALAND","G5"
"1157","LEBANON","G5"
"1253","BELGIUM","G5"
"1831","COSTA RICA","G5"
"2148","SLOVAKIA","G5"
"7536","CZECH REPUBLIC","G5"
"8549","CROATIA","G5"
"9103","SERBIA","G5"
"10678","VANUATU","G5"
"17495","ANDORRA","G5"
"18028","FRENCH POLYNESIA","G5"
"22505","JERSEY","G5"
"26644","NETHERLANDS ANTILLES","G5"
"36772","UZBEKISTAN","G5"
"108820","GUERNSEY","G5"
"3","UNITED ARAB EMIRATES","G6"
"22","CHINA","G6"
"46","AUSTRALIA","G6"
"239","ITALY","G6"
"1107","CHILE","G6"
"1216","HUNGARY","G6"
"1748","IRELAND","G6"
"2016","PORTUGAL","G6"
"7976","CYPRUS","G6"
"9242","SWEDEN","G6"
"13432","MACAU","G6"
"15853","ETHIOPIA","G6"
"19001","TURKS & CAICOS","G6"
"30116","THE GAMBIA","G6"
"174244","BELARUS","G6"
