"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level2"
"2","ALBANIA","level7"
"3","ALGERIA","level6"
"4","AMERICAN SAMOA","level3"
"5","ANDORRA","level2"
"6","ANGOLA","level14"
"7","ANTIGUA AND BARBUDA","level6"
"8","ARGENTINA","level2"
"9","ARMENIA","level2"
"10","ARUBA","level6"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level6"
"13","AZERBAIJAN","level6"
"14","BAHRAIN","level4"
"15","BANGLADESH","level15"
"16","BARBADOS","level2"
"17","BELARUS","level2"
"18","BELGIUM","level15"
"19","BELIZE","level3"
"20","BENIN","level11"
"21","BERMUDA","level6"
"22","BHUTAN","level2"
"23","BOLIVIA","level11"
"24","BOSNIA HERZEGOVINA","level10"
"25","BOTSWANA","level6"
"26","BR. VIRGIN ISLAND","level15"
"27","BRAZIL","level7"
"28","BRUNEI","level10"
"29","BULGARIA","level2"
"30","BURKINA FASO","level3"
"31","BURUNDI","level10"
"32","CAMBODIA","level12"
"33","CAMEROON","level3"
"34","CANADA","level2"
"35","CAPE VERDE","level2"
"36","CAYMAN ISLANDS","level6"
"37","CENTRAL AFRICAN REP","level2"
"38","CHAD","level3"
"39","CHILE","level4"
"40","CHINA","level3"
"41","COLOMBIA","level10"
"42","COMOROS","level3"
"43","CONGO","level2"
"44","COSTA RICA","level6"
"45","CROATIA","level6"
"46","CUBA","level1"
"47","CYPRUS","level8"
"48","CZECH REPUBLIC","level3"
"49","DEM. REP. CONGO","level10"
"50","DENMARK","level10"
"51","DJIBOUTI","level6"
"52","DOMINICA","level2"
"53","DOMINICAN REPUBLIC","level1"
"54","ECUADOR","level6"
"55","EGYPT","level6"
"56","EL SALVADOR","level2"
"57","EQUATORIAL GUINEA","level1"
"58","ERITREA","level3"
"59","ESTONIA","level10"
"60","ETHIOPIA","level2"
"61","FAEROE ISLANDS","level2"
"62","FIJI","level6"
"63","FINLAND","level1"
"64","FR. SOUTHERN TERRIT.","level2"
"65","FRENCH GUIANA","level3"
"66","FRENCH POLYNESIA","level2"
"67","GABON","level8"
"68","GEORGIA","level2"
"69","GERMANY","level3"
"70","GHANA","level10"
"71","GIBRALTAR","level10"
"72","GREECE","level10"
"73","GREENLAND","level2"
"74","GUADELOUPE","level4"
"75","GUATEMALA","level10"
"76","GUERNSEY","level2"
"77","GUINEA","level2"
"78","GUINEA-BISSAU","level6"
"79","GUYANA","level10"
"80","HAITI","level6"
"81","HONDURAS","level3"
"82","HONG KONG","level2"
"83","HUNGARY","level10"
"84","ICELAND","level10"
"85","INCONNU","level2"
"86","INDIA","level10"
"87","INDONESIA","level2"
"88","IRAN","level5"
"89","IRAQ","level6"
"90","IRELAND","level2"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level2"
"93","ITALY","level2"
"94","IVORY COAST","level5"
"95","JAMAICA","level12"
"96","JAPAN","level6"
"97","JERSEY","level4"
"98","JORDAN","level2"
"99","KAZAKHSTAN","level3"
"100","KENYA","level6"
"101","KOSOVO","level11"
"102","KUWAIT","level12"
"103","KYRGYZSTAN","level7"
"104","LAOS","level7"
"105","LATVIA","level8"
"106","LEBANON","level13"
"107","LESOTHO","level6"
"108","LIBERIA","level2"
"109","LIBYA","level14"
"110","LITHUANIA","level2"
"111","LUXEMBOURG","level1"
"112","MACAU","level10"
"113","MACEDONIA (FYROM)","level2"
"114","MADAGASCAR","level1"
"115","MALAWI","level10"
"116","MALAYSIA","level1"
"117","MALDIVES","level2"
"118","MALI","level3"
"119","MALTA","level2"
"120","MARTINIQUE","level8"
"121","MAURITANIA","level10"
"122","MAURITIUS","level10"
"123","MAYOTTE","level12"
"124","MEXICO","level9"
"125","MOLDOVA","level19"
"126","MONACO","level2"
"127","MONGOLIA","level13"
"128","MONTENEGRO","level16"
"129","MOROCCO","level2"
"130","MOZAMBIQUE","level1"
"131","MYANMAR","level4"
"132","NAMIBIA","level13"
"133","NEPAL","level6"
"134","NETHERLANDS","level11"
"135","NETHERLANDS ANTILLES","level10"
"136","NEW CALEDONIA","level14"
"137","NEW ZEALAND","level10"
"138","NICARAGUA","level1"
"139","NIGER","level7"
"140","NIGERIA","level2"
"141","NORTH KOREA","level7"
"142","NORWAY","level7"
"143","OMAN","level1"
"144","PAKISTAN","level12"
"145","PALESTINIAN TERRIT.","level13"
"146","PANAMA","level7"
"147","PAPUA NEW GUINEA","level2"
"148","PARAGUAY","level13"
"149","PERU","level1"
"150","PHILIPPINES","level2"
"151","PITCAIRN ISLANDS","level6"
"152","POLAND","level17"
"153","PORTUGAL","level6"
"154","PUERTO RICO","level7"
"155","QATAR","level3"
"156","REUNION","level6"
"157","ROMANIA","level10"
"158","RUSSIA","level6"
"159","RWANDA","level3"
"160","SAINT LUCIA","level10"
"161","SAMOA","level2"
"162","SAO TOME & PRINC.","level7"
"163","SAUDI ARABIA","level13"
"164","SENEGAL","level7"
"165","SERBIA","level6"
"166","SERBIA MONTENEGRO","level11"
"167","SEYCHELLES","level2"
"168","SIERRA LEONE","level1"
"169","SINGAPORE","level3"
"170","SLOVAKIA","level3"
"171","SLOVENIA","level3"
"172","SOLOMON ISLANDS","level2"
"173","SOMALIA","level6"
"174","SOUTH AFRICA","level16"
"175","SOUTH KOREA","level11"
"176","SOUTH SUDAN","level3"
"177","SPAIN","level1"
"178","SRI LANKA","level10"
"179","ST VINCENT & GREN.","level16"
"180","SUDAN","level3"
"181","SURINAME","level16"
"182","SWAZILAND","level7"
"183","SWEDEN","level2"
"184","SWITZERLAND","level11"
"185","SYRIA","level2"
"186","TAIWAN","level3"
"187","TAJIKISTAN","level2"
"188","TANZANIA","level10"
"189","THAILAND","level4"
"190","THE BAHAMAS","level7"
"191","THE GAMBIA","level2"
"192","TIMOR-LESTE","level3"
"193","TOGO","level11"
"194","TONGA","level16"
"195","TRINIDAD AND TOBAGO","level2"
"196","TUNISIA","level10"
"197","TURKEY","level6"
"198","TURKMENISTAN","level2"
"199","TURKS & CAICOS","level2"
"200","UGANDA","level16"
"201","UKRAINE","level5"
"202","UNITED ARAB EMIRATES","level6"
"203","UNITED KINGDOM","level5"
"204","URUGUAY","level6"
"205","US MINOR OUT. ISL.","level2"
"206","US VIRGIN ISLANDS","level5"
"207","USA","level5"
"208","UZBEKISTAN","level1"
"209","VANUATU","level18"
"210","VENEZUELA","level10"
"211","VIETNAM","level6"
"212","WALLIS AND FUTUNA","level15"
"213","YEMEN","level13"
"214","ZAMBIA","level2"
"215","ZIMBABWE","level1"
"216","ZZ_FRANCE","level2"
