"","pays_expat","group_pays_cout"
"19","DOMINICA","G1"
"21","ERITREA","G1"
"3","FIJI","G1"
"4","FR. SOUTHERN TERRIT.","G1"
"5","GREENLAND","G1"
"61","ISLE OF MAN","G1"
"72","KYRGYZSTAN","G1"
"8","PITCAIRN ISLANDS","G1"
"91","SAINT LUCIA","G1"
"10","SAMOA","G1"
"11","SOLOMON ISLANDS","G1"
"12","SOMALIA","G1"
"13","ST VINCENT & GREN.","G1"
"141","SWAZILAND","G1"
"15","TAJIKISTAN","G1"
"161","TIMOR-LESTE","G1"
"171","TONGA","G1"
"18","US VIRGIN ISLANDS","G1"
"1","SAUDI ARABIA","G2"
"2","YEMEN","G2"
"6","ECUADOR","G2"
"16","EGYPT","G2"
"25","GHANA","G2"
"38","OMAN","G2"
"39","INDIA","G2"
"40","VIETNAM","G2"
"49","ALGERIA","G2"
"55","MALAYSIA","G2"
"62","AUSTRALIA","G2"
"64","NORWAY","G2"
"71","TURKMENISTAN","G2"
"136","KUWAIT","G2"
"137","LIBYA","G2"
"155","SUDAN","G2"
"184","ARGENTINA","G2"
"604","ITALY","G2"
"888","ROMANIA","G2"
"889","MALI","G2"
"914","PAKISTAN","G2"
"1075","JORDAN","G2"
"1089","TUNISIA","G2"
"1200","NEW ZEALAND","G2"
"1222","TRINIDAD AND TOBAGO","G2"
"1225","PHILIPPINES","G2"
"1250","IRAQ","G2"
"1264","BR. VIRGIN ISLAND","G2"
"1281","POLAND","G2"
"1402","HUNGARY","G2"
"1516","EQUATORIAL GUINEA","G2"
"5246","FAEROE ISLANDS","G2"
"10577","CZECH REPUBLIC","G2"
"10737","GREECE","G2"
"10891","TAIWAN","G2"
"11936","CROATIA","G2"
"12149","SWEDEN","G2"
"14630","MADAGASCAR","G2"
"14787","DEMOCRATIC REPUBLIC OF THE CONGO","G2"
"14902","REUNION","G2"
"15488","TANZANIA","G2"
"15595","MONGOLIA","G2"
"15735","MAURITIUS","G2"
"17106","BANGLADESH","G2"
"17603","BARBADOS","G2"
"17872","FRENCH POLYNESIA","G2"
"18139","MARTINIQUE","G2"
"19095","LATVIA","G2"
"21410","SLOVENIA","G2"
"22070","GEORGIA","G2"
"22745","MONTENEGRO","G2"
"24084","ANDORRA","G2"
"30193","BERMUDA","G2"
"30196","ZAMBIA","G2"
"30994","JERSEY","G2"
"31201","SEYCHELLES","G2"
"33641","JAMAICA","G2"
"34651","NEPAL","G2"
"35523","LAOS","G2"
"35662","FRENCH GUIANA","G2"
"36773","NETHERLANDS ANTILLES","G2"
"39584","NORTH KOREA","G2"
"42232","THE GAMBIA","G2"
"42597","LITHUANIA","G2"
"42991","LESOTHO","G2"
"43170","RWANDA","G2"
"44316","GIBRALTAR","G2"
"44343","MOLDOVA","G2"
"70166","PAPUA NEW GUINEA","G2"
"73173","GUYANA","G2"
"73295","BOTSWANA","G2"
"83909","GUERNSEY","G2"
"86653","SAO TOME & PRINC.","G2"
"113088","ESTONIA","G2"
"120062","EL SALVADOR","G2"
"125963","BHUTAN","G2"
"128794","US MINOR OUT. ISL.","G2"
"129207","BELIZE","G2"
"137564","SURINAME","G2"
"166525","KOSOVO","G2"
"191198","CAPE VERDE","G2"
