"","pays_expat","group_pays_cout"
"110","ALBANIA","G1"
"2","ANDORRA","G1"
"3","ANTIGUA AND BARBUDA","G1"
"43","ARUBA","G1"
"51","BHUTAN","G1"
"61","COMOROS","G1"
"71","DOMINICA","G1"
"81","ERITREA","G1"
"91","FIJI","G1"
"101","FR. SOUTHERN TERRIT.","G1"
"11","GEORGIA","G1"
"121","GREENLAND","G1"
"13","GUINEA-BISSAU","G1"
"14","GUYANA","G1"
"15","ICELAND","G1"
"161","ISLE OF MAN","G1"
"171","JAMAICA","G1"
"18","KOSOVO","G1"
"191","KYRGYZSTAN","G1"
"20","LESOTHO","G1"
"211","MACEDONIA","G1"
"22","MALAWI","G1"
"232","MALDIVES","G1"
"24","MAYOTTE","G1"
"25","MONTENEGRO","G1"
"261","NETHERLANDS ANTILLES","G1"
"271","PITCAIRN ISLANDS","G1"
"28","SAINT LUCIA","G1"
"29","SAMOA","G1"
"30","SAO TOME & PRINC.","G1"
"311","SERBIA MONTENEGRO","G1"
"321","SEYCHELLES","G1"
"33","SIERRA LEONE","G1"
"34","SOLOMON ISLANDS","G1"
"35","SOMALIA","G1"
"36","ST VINCENT & GREN.","G1"
"37","SWAZILAND","G1"
"38","TAJIKISTAN","G1"
"39","TIMOR-LESTE","G1"
"401","TONGA","G1"
"41","US MINOR OUT. ISL.","G1"
"421","US VIRGIN ISLANDS","G1"
"120","PHILIPPINES","G2"
"2117","BANGLADESH","G2"
"8770","ZIMBABWE","G2"
"16073","NORTH KOREA","G2"
"22596","BELIZE","G2"
"26173","BELARUS","G2"
"26350","EL SALVADOR","G2"
"4","ECUADOR","G3"
"17","KUWAIT","G3"
"68","INDIA","G3"
"113","BOLIVIA","G3"
"240","URUGUAY","G3"
"251","PAKISTAN","G3"
"331","PERU","G3"
"660","JORDAN","G3"
"2057","UZBEKISTAN","G3"
"2800","MYANMAR","G3"
"3665","COSTA RICA","G3"
"4494","DOMINICAN REPUBLIC","G3"
"6244","ARMENIA","G3"
"7113","LITHUANIA","G3"
"7537","NICARAGUA","G3"
"9473","HONDURAS","G3"
"14679","PUERTO RICO","G3"
"21250","GUATEMALA","G3"
"5","MEXICO","G4"
"8","TURKMENISTAN","G4"
"42","LIBYA","G4"
"72","ARGENTINA","G4"
"136","HUNGARY","G4"
"140","THAILAND","G4"
"147","EGYPT","G4"
"198","POLAND","G4"
"384","ROMANIA","G4"
"390","TUNISIA","G4"
"488","SRI LANKA","G4"
"826","IRAQ","G4"
"1361","SLOVAKIA","G4"
"1876","PANAMA","G4"
"2409","BULGARIA","G4"
"2444","KENYA","G4"
"2883","BURUNDI","G4"
"4468","CAMBODIA","G4"
"7954","AFGHANISTAN","G4"
"8482","ESTONIA","G4"
"9043","LAOS","G4"
"9200","HAITI","G4"
"12","INDONESIA","G5"
"23","YEMEN","G5"
"26","OMAN","G5"
"27","VIETNAM","G5"
"93","BRUNEI","G5"
"94","MALAYSIA","G5"
"103","SAUDI ARABIA","G5"
"118","TRINIDAD AND TOBAGO","G5"
"143","AZERBAIJAN","G5"
"164","CHILE","G5"
"352","IRAN","G5"
"465","SUDAN","G5"
"664","TURKEY","G5"
"1572","UKRAINE","G5"
"1587","SYRIA","G5"
"1648","BAHRAIN","G5"
"1793","MONGOLIA","G5"
"1810","REUNION","G5"
"1850","MOZAMBIQUE","G5"
"2085","CROATIA","G5"
"3799","PALESTINIAN TERRIT.","G5"
"4298","MAURITANIA","G5"
"5227","LATVIA","G5"
"7617","PARAGUAY","G5"
"12605","TANZANIA","G5"
"26756","CAPE VERDE","G5"
"6","QATAR","G6"
"9","NIGERIA","G6"
"19","COLOMBIA","G6"
"75","NORWAY","G6"
"112","ALGERIA","G6"
"132","SOUTH AFRICA","G6"
"146","BR. VIRGIN ISLAND","G6"
"151","INCONNU","G6"
"373","EQUATORIAL GUINEA","G6"
"1291","TAIWAN","G6"
"1358","GREECE","G6"
"1377","SOUTH KOREA","G6"
"1665","CZECH REPUBLIC","G6"
"1807","MAURITIUS","G6"
"2166","NAMIBIA","G6"
"2427","BENIN","G6"
"3108","SERBIA","G6"
"3244","TOGO","G6"
"3592","DEMOCRATIC REPUBLIC OF THE CONGO","G6"
"7141","ZAMBIA","G6"
"9852","SURINAME","G6"
"12291","ETHIOPIA","G6"
"27407","SOUTH SUDAN","G6"
"1","UNITED ARAB EMIRATES","G7"
"16","ANGOLA","G7"
"31","CHINA","G7"
"48","KAZAKHSTAN","G7"
"153","DENMARK","G7"
"522","GHANA","G7"
"1431","SWEDEN","G7"
"2921","NIGER","G7"
"3300","MADAGASCAR","G7"
"6267","CUBA","G7"
"7917","GUADELOUPE","G7"
"9602","Central African Republic","G7"
"12104","UGANDA","G7"
"19704","MOLDOVA","G7"
"7","VENEZUELA","G8"
"21","BRAZIL","G8"
"169","CONGO","G8"
"190","NETHERLANDS","G8"
"1333","PORTUGAL","G8"
"1368","MOROCCO","G8"
"6311","BURKINA FASO","G8"
"10","FRANCE","G9"
"40","UNITED KINGDOM","G9"
"95","SPAIN","G9"
"100","RUSSIA","G9"
"1069","CAMEROON","G9"
"1709","SENEGAL","G9"
"2467","DJIBOUTI","G9"
"2779","NEW CALEDONIA","G9"
"4433","RWANDA","G9"
"7500","BOTSWANA","G9"
"19053","BERMUDA","G9"
"96","JAPAN","G10"
"167","FAEROE ISLANDS","G10"
"185","GERMANY","G10"
"220","NEW ZEALAND","G10"
"231","GABON","G10"
"276","SINGAPORE","G10"
"1031","CHAD","G10"
"4028","SLOVENIA","G10"
"11352","GUERNSEY","G10"
"15483","Bosnia and Herzegovina","G10"
"16191","JERSEY","G10"
"130","CANADA","G11"
"160","MALTA","G11"
"175","ITALY","G11"
"183","LEBANON","G11"
"973","AUSTRIA","G11"
"1281","HONG KONG","G11"
"2031","THE BAHAMAS","G11"
"3081","CYPRUS","G11"
"3171","ISRAEL","G11"
"5828","TURKS & CAICOS","G11"
"14207","WALLIS AND FUTUNA","G11"
"19520","NEPAL","G11"
"32","AUSTRALIA","G12"
"974","BELGIUM","G12"
"1705","VANUATU","G12"
"174","USA","G13"
"1252","IVORY COAST","G13"
"1288","LUXEMBOURG","G13"
"1670","FINLAND","G13"
"6930","FRENCH GUIANA","G13"
"408","IRELAND","G14"
"1279","SWITZERLAND","G14"
"1677","MONACO","G14"
"1977","GUINEA","G14"
"3490","FRENCH POLYNESIA","G14"
"15081","MACAU","G14"
"18892","THE GAMBIA","G14"
"2208","MALI","G15"
"3574","MARTINIQUE","G15"
"7659","GIBRALTAR","G15"
"7998","BARBADOS","G15"
"10252","PAPUA NEW GUINEA","G15"
"10610","LIBERIA","G15"
"11027","CAYMAN ISLANDS","G15"
"17567","AMERICAN SAMOA","G15"
