"","pays_expat","group_pays_cout"
"110","ALBANIA","G1"
"210","AMERICAN SAMOA","G1"
"310","ANTIGUA AND BARBUDA","G1"
"410","ARMENIA","G1"
"5","ARUBA","G1"
"6","BANGLADESH","G1"
"7","BELARUS","G1"
"8","BHUTAN","G1"
"9","BOTSWANA","G1"
"102","CAPE VERDE","G1"
"11","CAYMAN ISLANDS","G1"
"121","COMOROS","G1"
"131","DOMINICA","G1"
"14","ERITREA","G1"
"15","ESTONIA","G1"
"16","ETHIOPIA","G1"
"171","FAEROE ISLANDS","G1"
"18","FIJI","G1"
"19","FR. SOUTHERN TERRIT.","G1"
"20","GEORGIA","G1"
"21","GIBRALTAR","G1"
"22","GREENLAND","G1"
"23","GUINEA-BISSAU","G1"
"24","GUYANA","G1"
"25","ICELAND","G1"
"261","ISLE OF MAN","G1"
"27","JAMAICA","G1"
"28","JERSEY","G1"
"29","KOSOVO","G1"
"30","KYRGYZSTAN","G1"
"31","LAOS","G1"
"32","LESOTHO","G1"
"33","MACEDONIA","G1"
"34","MALAWI","G1"
"35","MALDIVES","G1"
"36","MARTINIQUE","G1"
"37","MAYOTTE","G1"
"38","MOLDOVA","G1"
"39","MONGOLIA","G1"
"40","MONTENEGRO","G1"
"411","NEPAL","G1"
"42","NETHERLANDS ANTILLES","G1"
"43","NICARAGUA","G1"
"44","NORTH KOREA","G1"
"45","PALESTINIAN TERRIT.","G1"
"46","PAPUA NEW GUINEA","G1"
"47","PITCAIRN ISLANDS","G1"
"48","RWANDA","G1"
"49","SAINT LUCIA","G1"
"50","SAMOA","G1"
"511","SAO TOME & PRINC.","G1"
"521","SERBIA MONTENEGRO","G1"
"531","SEYCHELLES","G1"
"541","SIERRA LEONE","G1"
"551","SLOVENIA","G1"
"56","SOLOMON ISLANDS","G1"
"571","SOMALIA","G1"
"58","SOUTH SUDAN","G1"
"591","ST VINCENT & GREN.","G1"
"601","SURINAME","G1"
"61","SWAZILAND","G1"
"621","TAJIKISTAN","G1"
"63","TIMOR-LESTE","G1"
"641","TONGA","G1"
"651","UGANDA","G1"
"66","US MINOR OUT. ISL.","G1"
"67","US VIRGIN ISLANDS","G1"
"68","UZBEKISTAN","G1"
"59","BR. VIRGIN ISLAND","G2"
"62","CAMEROON","G2"
"64","MOROCCO","G2"
"85","MALTA","G2"
"90","BOLIVIA","G2"
"157","YEMEN","G2"
"178","PHILIPPINES","G2"
"237","ARGENTINA","G2"
"437","MOZAMBIQUE","G2"
"599","CYPRUS","G2"
"812","EQUATORIAL GUINEA","G2"
"1138","BURUNDI","G2"
"1326","CUBA","G2"
"1609","BULGARIA","G2"
"1642","LATVIA","G2"
"1689","MAURITIUS","G2"
"2183","TURKMENISTAN","G2"
"2286","NIGER","G2"
"3019","SRI LANKA","G2"
"3584","TURKS & CAICOS","G2"
"4749","DJIBOUTI","G2"
"5251","DOMINICAN REPUBLIC","G2"
"5522","PARAGUAY","G2"
"6468","HAITI","G2"
