"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level3"
"2","ALBANIA","level6"
"3","ALGERIA","level12"
"4","AMERICAN SAMOA","level4"
"5","ANDORRA","level3"
"6","ANGOLA","level2"
"7","ANTIGUA AND BARBUDA","level2"
"8","ARGENTINA","level3"
"9","ARMENIA","level3"
"10","ARUBA","level12"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level2"
"13","AZERBAIJAN","level12"
"14","BAHRAIN","level1"
"15","BANGLADESH","level1"
"16","BARBADOS","level3"
"17","BELARUS","level3"
"18","BELGIUM","level11"
"19","BELIZE","level6"
"20","BENIN","level15"
"21","BERMUDA","level2"
"22","BHUTAN","level3"
"23","BOLIVIA","level6"
"24","BOSNIA HERZEGOVINA","level9"
"25","BOTSWANA","level12"
"26","BR. VIRGIN ISLAND","level5"
"27","BRAZIL","level6"
"28","BRUNEI","level3"
"29","BULGARIA","level3"
"30","BURKINA FASO","level4"
"31","BURUNDI","level9"
"32","CAMBODIA","level10"
"33","CAMEROON","level4"
"34","CANADA","level3"
"35","CAPE VERDE","level3"
"36","CAYMAN ISLANDS","level12"
"37","CENTRAL AFRICAN REP","level9"
"38","CHAD","level4"
"39","CHILE","level14"
"40","CHINA","level4"
"41","COLOMBIA","level9"
"42","COMOROS","level9"
"43","CONGO","level3"
"44","COSTA RICA","level2"
"45","CROATIA","level2"
"46","CUBA","level2"
"47","CYPRUS","level7"
"48","CZECH REPUBLIC","level4"
"49","DEM. REP. CONGO","level9"
"50","DENMARK","level9"
"51","DJIBOUTI","level12"
"52","DOMINICA","level3"
"53","DOMINICAN REPUBLIC","level2"
"54","ECUADOR","level2"
"55","EGYPT","level12"
"56","EL SALVADOR","level3"
"57","EQUATORIAL GUINEA","level2"
"58","ERITREA","level4"
"59","ESTONIA","level9"
"60","ETHIOPIA","level12"
"61","FAEROE ISLANDS","level3"
"62","FIJI","level12"
"63","FINLAND","level2"
"64","FR. SOUTHERN TERRIT.","level3"
"65","FRENCH GUIANA","level4"
"66","FRENCH POLYNESIA","level3"
"67","GABON","level7"
"68","GEORGIA","level3"
"69","GERMANY","level4"
"70","GHANA","level9"
"71","GIBRALTAR","level9"
"72","GREECE","level9"
"73","GREENLAND","level3"
"74","GUADELOUPE","level14"
"75","GUATEMALA","level3"
"76","GUERNSEY","level3"
"77","GUINEA","level3"
"78","GUINEA-BISSAU","level12"
"79","GUYANA","level3"
"80","HAITI","level12"
"81","HONDURAS","level6"
"82","HONG KONG","level12"
"83","HUNGARY","level9"
"84","ICELAND","level9"
"85","INCONNU","level3"
"86","INDIA","level9"
"87","INDONESIA","level3"
"88","IRAN","level8"
"89","IRAQ","level12"
"90","IRELAND","level3"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level3"
"93","ITALY","level3"
