"","pays_expat","group_pays_cout"
"111","ANTIGUA AND BARBUDA","G1"
"25","ARUBA","G1"
"33","BHUTAN","G1"
"41","DOMINICA","G1"
"5","ERITREA","G1"
"61","FIJI","G1"
"7","FR. SOUTHERN TERRIT.","G1"
"8","GREENLAND","G1"
"9","ISLE OF MAN","G1"
"10","KOSOVO","G1"
"112","KYRGYZSTAN","G1"
"12","MALDIVES","G1"
"13","PITCAIRN ISLANDS","G1"
"141","SAINT LUCIA","G1"
"15","SAMOA","G1"
"161","SERBIA MONTENEGRO","G1"
"17","SOLOMON ISLANDS","G1"
"181","SOMALIA","G1"
"19","ST VINCENT & GREN.","G1"
"20","SWAZILAND","G1"
"21","TAJIKISTAN","G1"
"221","TIMOR-LESTE","G1"
"231","TONGA","G1"
"24","US VIRGIN ISLANDS","G1"
"44","THAILAND","G2"
"663","MALI","G2"
"915","PHILIPPINES","G2"
"1136","SLOVAKIA","G2"
"3102","SRI LANKA","G2"
"10956","REUNION","G2"
"11226","NIGER","G2"
"11457","MONGOLIA","G2"
"12830","BARBADOS","G2"
"13167","CAYMAN ISLANDS","G2"
"13362","BANGLADESH","G2"
"13655","LITHUANIA","G2"
"13714","NAMIBIA","G2"
"15307","BENIN","G2"
"15376","GEORGIA","G2"
"16257","MONTENEGRO","G2"
"17929","BURUNDI","G2"
"18172","LAOS","G2"
"19614","GUADELOUPE","G2"
"20079","CUBA","G2"
"20114","MAURITANIA","G2"
"21056","ZAMBIA","G2"
"21617","SEYCHELLES","G2"
"21714","TOGO","G2"
"23070","JAMAICA","G2"
"23848","HONDURAS","G2"
"27679","CAMBODIA","G2"
"39031","LIBERIA","G2"
"45458","NETHERLANDS ANTILLES","G2"
"46382","RWANDA","G2"
"50052","LESOTHO","G2"
"51497","MAYOTTE","G2"
"61477","MACEDONIA","G2"
"65381","NORTH KOREA","G2"
"65681","GUYANA","G2"
"76915","CAPE VERDE","G2"
"78439","SOUTH SUDAN","G2"
"95474","ALBANIA","G2"
"102912","BELIZE","G2"
"116908","SAO TOME & PRINC.","G2"
"190908","GUINEA-BISSAU","G2"
"16","CAMEROON","G3"
"149","BRUNEI","G3"
"368","INDIA","G3"
"894","TUNISIA","G3"
"8250","TAIWAN","G3"
"9537","PANAMA","G3"
"9563","SERBIA","G3"
"9816","MYANMAR","G3"
"11554","MAURITIUS","G3"
"11611","DOMINICAN REPUBLIC","G3"
"12018","MADAGASCAR","G3"
"12124","BURKINA FASO","G3"
"13112","DEMOCRATIC REPUBLIC OF THE CONGO","G3"
"13799","LATVIA","G3"
"16361","COSTA RICA","G3"
"17787","HAITI","G3"
"18214","MARTINIQUE","G3"
"19360","MALAWI","G3"
"21847","Central African Republic","G3"
"24138","WALLIS AND FUTUNA","G3"
"24165","FRENCH GUIANA","G3"
"44764","PAPUA NEW GUINEA","G3"
"61666","SURINAME","G3"
"70136","UGANDA","G3"
"78590","US MINOR OUT. ISL.","G3"
"145481","BELARUS","G3"
"18","INDONESIA","G4"
"142","ARGENTINA","G4"
"612","ALGERIA","G4"
"909","TRINIDAD AND TOBAGO","G4"
"952","POLAND","G4"
"1023","SOUTH AFRICA","G4"
"8012","IVORY COAST","G4"
"8381","BULGARIA","G4"
"10935","VANUATU","G4"
"11354","KENYA","G4"
"12526","GUINEA","G4"
"18456","TURKS & CAICOS","G4"
"22488","NICARAGUA","G4"
"24664","COMOROS","G4"
"47061","PARAGUAY","G4"
"172058","EL SALVADOR","G4"
"1","YEMEN","G5"
"4","SAUDI ARABIA","G5"
"11","EGYPT","G5"
"32","VIETNAM","G5"
"45","ECUADOR","G5"
"46","MALAYSIA","G5"
"70","NIGERIA","G5"
"173","GABON","G5"
"175","GHANA","G5"
"205","ANGOLA","G5"
"708","JAPAN","G5"
"826","JORDAN","G5"
"841","PAKISTAN","G5"
"902","URUGUAY","G5"
"953","BR. VIRGIN ISLAND","G5"
"985","FAEROE ISLANDS","G5"
"1267","MOROCCO","G5"
"2025","CHAD","G5"
"8402","CZECH REPUBLIC","G5"
"8936","CROATIA","G5"
"10929","SENEGAL","G5"
"11595","NEW CALEDONIA","G5"
"90629","GUATEMALA","G5"
"22","CHINA","G6"
"68","FRANCE","G6"
"101","CONGO","G6"
"125","CANADA","G6"
"182","OMAN","G6"
"342","TURKMENISTAN","G6"
"364","SUDAN","G6"
"679","ROMANIA","G6"
"776","INCONNU","G6"
"907","SINGAPORE","G6"
"934","NETHERLANDS","G6"
"1048","HUNGARY","G6"
"1144","EQUATORIAL GUINEA","G6"
"1354","BELGIUM","G6"
"1706","UKRAINE","G6"
"8442","CYPRUS","G6"
"8720","SOUTH KOREA","G6"
"12949","UZBEKISTAN","G6"
"13011","FRENCH POLYNESIA","G6"
"15145","DJIBOUTI","G6"
"23184","PALESTINIAN TERRIT.","G6"
"24161","NEPAL","G6"
"46600","BOTSWANA","G6"
"52036","GUERNSEY","G6"
"70398","SIERRA LEONE","G6"
"3","KAZAKHSTAN","G7"
"14","MEXICO","G7"
"23","USA","G7"
"30","COLOMBIA","G7"
"40","VENEZUELA","G7"
"42","IRAN","G7"
"67","UNITED KINGDOM","G7"
"109","LIBYA","G7"
"703","AZERBAIJAN","G7"
"778","PERU","G7"
