"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level2"
"2","ALBANIA","level7"
"3","ALGERIA","level6"
"4","AMERICAN SAMOA","level11"
"5","ANDORRA","level6"
"6","ANGOLA","level7"
"7","ANTIGUA AND BARBUDA","level1"
"8","ARGENTINA","level2"
"9","ARMENIA","level2"
"10","ARUBA","level6"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level6"
"13","AZERBAIJAN","level6"
"14","BAHRAIN","level15"
"15","BANGLADESH","level1"
"16","BARBADOS","level2"
"17","BELARUS","level6"
"18","BELGIUM","level16"
"19","BELIZE","level11"
"20","BENIN","level12"
"21","BERMUDA","level6"
"22","BHUTAN","level2"
"23","BOLIVIA","level12"
"24","BOSNIA HERZEGOVINA","level10"
"25","BOTSWANA","level6"
"26","BR. VIRGIN ISLAND","level4"
"27","BRAZIL","level7"
"28","BRUNEI","level10"
"29","BULGARIA","level2"
"30","BURKINA FASO","level11"
"31","BURUNDI","level11"
"32","CAMBODIA","level13"
"33","CAMEROON","level11"
"34","CANADA","level2"
"35","CAPE VERDE","level2"
"36","CAYMAN ISLANDS","level6"
"37","CENTRAL AFRICAN REP","level2"
"38","CHAD","level3"
"39","CHILE","level15"
"40","CHINA","level3"
"41","COLOMBIA","level2"
"42","COMOROS","level11"
"43","CONGO","level2"
"44","COSTA RICA","level6"
"45","CROATIA","level6"
"46","CUBA","level6"
"47","CYPRUS","level8"
"48","CZECH REPUBLIC","level3"
"49","DEM. REP. CONGO","level11"
"50","DENMARK","level10"
"51","DJIBOUTI","level6"
"52","DOMINICA","level2"
"53","DOMINICAN REPUBLIC","level1"
"54","ECUADOR","level6"
"55","EGYPT","level6"
"56","EL SALVADOR","level10"
"57","EQUATORIAL GUINEA","level6"
"58","ERITREA","level11"
"59","ESTONIA","level2"
"60","ETHIOPIA","level6"
"61","FAEROE ISLANDS","level2"
"62","FIJI","level6"
"63","FINLAND","level6"
"64","FR. SOUTHERN TERRIT.","level2"
"65","FRENCH GUIANA","level3"
"66","FRENCH POLYNESIA","level2"
"67","GABON","level8"
"68","GEORGIA","level2"
"69","GERMANY","level11"
"70","GHANA","level10"
"71","GIBRALTAR","level10"
"72","GREECE","level11"
"73","GREENLAND","level2"
"74","GUADELOUPE","level15"
"75","GUATEMALA","level10"
"76","GUERNSEY","level2"
"77","GUINEA","level6"
"78","GUINEA-BISSAU","level6"
"79","GUYANA","level10"
"80","HAITI","level6"
"81","HONDURAS","level11"
"82","HONG KONG","level6"
"83","HUNGARY","level10"
"84","ICELAND","level10"
"85","INCONNU","level2"
"86","INDIA","level11"
"87","INDONESIA","level2"
"88","IRAN","level9"
"89","IRAQ","level6"
"90","IRELAND","level2"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level2"
"93","ITALY","level2"
"94","IVORY COAST","level5"
"95","JAMAICA","level13"
"96","JAPAN","level6"
"97","JERSEY","level15"
"98","JORDAN","level2"
"99","KAZAKHSTAN","level11"
"100","KENYA","level6"
"101","KOSOVO","level12"
"102","KUWAIT","level13"
"103","KYRGYZSTAN","level7"
"104","LAOS","level7"
"105","LATVIA","level8"
"106","LEBANON","level14"
"107","LESOTHO","level6"
"108","LIBERIA","level10"
"109","LIBYA","level7"
"110","LITHUANIA","level2"
"111","LUXEMBOURG","level6"
"112","MACAU","level10"
"113","MACEDONIA (FYROM)","level6"
"114","MADAGASCAR","level6"
"115","MALAWI","level10"
"116","MALAYSIA","level6"
"117","MALDIVES","level6"
"118","MALI","level11"
"119","MALTA","level6"
"120","MARTINIQUE","level8"
"121","MAURITANIA","level10"
"122","MAURITIUS","level10"
"123","MAYOTTE","level13"
"124","MEXICO","level9"
"125","MOLDOVA","level19"
"126","MONACO","level2"
"127","MONGOLIA","level1"
"128","MONTENEGRO","level3"
"129","MOROCCO","level6"
"130","MOZAMBIQUE","level1"
"131","MYANMAR","level15"
"132","NAMIBIA","level1"
"133","NEPAL","level6"
"134","NETHERLANDS","level16"
"135","NETHERLANDS ANTILLES","level10"
"136","NEW CALEDONIA","level7"
"137","NEW ZEALAND","level2"
"138","NICARAGUA","level1"
"139","NIGER","level2"
"140","NIGERIA","level2"
"141","NORTH KOREA","level7"
"142","NORWAY","level7"
"143","OMAN","level1"
"144","PAKISTAN","level13"
"145","PALESTINIAN TERRIT.","level14"
"146","PANAMA","level7"
"147","PAPUA NEW GUINEA","level2"
"148","PARAGUAY","level1"
"149","PERU","level1"
"150","PHILIPPINES","level10"
"151","PITCAIRN ISLANDS","level6"
"152","POLAND","level17"
"153","PORTUGAL","level6"
"154","PUERTO RICO","level7"
"155","QATAR","level3"
"156","REUNION","level7"
"157","ROMANIA","level11"
"158","RUSSIA","level14"
"159","RWANDA","level11"
"160","SAINT LUCIA","level10"
"161","SAMOA","level2"
"162","SAO TOME & PRINC.","level7"
"163","SAUDI ARABIA","level14"
"164","SENEGAL","level2"
"165","SERBIA","level6"
"166","SERBIA MONTENEGRO","level12"
"167","SEYCHELLES","level6"
"168","SIERRA LEONE","level6"
"169","SINGAPORE","level11"
"170","SLOVAKIA","level11"
"171","SLOVENIA","level11"
"172","SOLOMON ISLANDS","level2"
"173","SOMALIA","level6"
"174","SOUTH AFRICA","level3"
"175","SOUTH KOREA","level16"
"176","SOUTH SUDAN","level11"
"177","SPAIN","level6"
"178","SRI LANKA","level2"
"179","ST VINCENT & GREN.","level3"
"180","SUDAN","level11"
"181","SURINAME","level3"
"182","SWAZILAND","level2"
"183","SWEDEN","level2"
"184","SWITZERLAND","level16"
"185","SYRIA","level2"
"186","TAIWAN","level11"
"187","TAJIKISTAN","level2"
"188","TANZANIA","level10"
"189","THAILAND","level4"
"190","THE BAHAMAS","level2"
"191","THE GAMBIA","level6"
"192","TIMOR-LESTE","level11"
"193","TOGO","level16"
"194","TONGA","level3"
"195","TRINIDAD AND TOBAGO","level2"
"196","TUNISIA","level10"
"197","TURKEY","level6"
"198","TURKMENISTAN","level2"
"199","TURKS & CAICOS","level2"
"200","UGANDA","level3"
"201","UKRAINE","level5"
"202","UNITED ARAB EMIRATES","level6"
"203","UNITED KINGDOM","level5"
"204","URUGUAY","level6"
"205","US MINOR OUT. ISL.","level2"
"206","US VIRGIN ISLANDS","level4"
"207","USA","level5"
"208","UZBEKISTAN","level1"
"209","VANUATU","level18"
"210","VENEZUELA","level10"
"211","VIETNAM","level6"
"212","WALLIS AND FUTUNA","level4"
"213","YEMEN","level1"
"214","ZAMBIA","level2"
"215","ZIMBABWE","level1"
"216","ZZ_FRANCE","level2"
