"","pays_expat","group_pays_cout"
"110","AMERICAN SAMOA","G1"
"2","ARUBA","G1"
"3","BELARUS","G1"
"4","BERMUDA","G1"
"51","BHUTAN","G1"
"6","BOLIVIA","G1"
"71","Bosnia and Herzegovina","G1"
"81","BR. VIRGIN ISLAND","G1"
"9","CAPE VERDE","G1"
"101","DOMINICA","G1"
"11","EL SALVADOR","G1"
"12","ESTONIA","G1"
"13","FAEROE ISLANDS","G1"
"14","FIJI","G1"
"15","FR. SOUTHERN TERRIT.","G1"
"161","GREENLAND","G1"
"17","GUATEMALA","G1"
"18","GUERNSEY","G1"
"19","GUINEA-BISSAU","G1"
"20","ISLE OF MAN","G1"
"21","KOSOVO","G1"
"22","KYRGYZSTAN","G1"
"231","LITHUANIA","G1"
"241","MACAU","G1"
"25","MALDIVES","G1"
"26","MOLDOVA","G1"
"27","MONTENEGRO","G1"
"28","PITCAIRN ISLANDS","G1"
"29","PUERTO RICO","G1"
"30","RWANDA","G1"
"31","SAINT LUCIA","G1"
"322","SAMOA","G1"
"331","SAO TOME & PRINC.","G1"
"34","SERBIA MONTENEGRO","G1"
"35","SLOVENIA","G1"
"36","SOLOMON ISLANDS","G1"
"371","SOMALIA","G1"
"38","SOUTH SUDAN","G1"
"39","ST VINCENT & GREN.","G1"
"40","SURINAME","G1"
"41","SWAZILAND","G1"
"421","TAJIKISTAN","G1"
"43","TIMOR-LESTE","G1"
"44","TONGA","G1"
"451","TRINIDAD AND TOBAGO","G1"
"46","TURKS & CAICOS","G1"
"47","US MINOR OUT. ISL.","G1"
"48","US VIRGIN ISLANDS","G1"
"49","ZIMBABWE","G1"
"665","SLOVAKIA","G2"
"806","ICELAND","G2"
"1028","UZBEKISTAN","G2"
"3417","NEPAL","G2"
"3803","PHILIPPINES","G2"
"3891","CAMBODIA","G2"
"5274","PANAMA","G2"
"5968","ERITREA","G2"
"6664","NEW ZEALAND","G2"
"6744","GUYANA","G2"
"6764","PARAGUAY","G2"
"7237","LESOTHO","G2"
"7356","BANGLADESH","G2"
"8671","PALESTINIAN TERRIT.","G2"
"8953","NETHERLANDS ANTILLES","G2"
"12296","SIERRA LEONE","G2"
"16570","SEYCHELLES","G2"
"228","HONG KONG","G3"
"438","THAILAND","G3"
"532","SUDAN","G3"
"1026","LEBANON","G3"
"1266","NAMIBIA","G3"
"2815","CUBA","G3"
"2828","TOGO","G3"
"3419","FRENCH GUIANA","G3"
"3642","MYANMAR","G3"
"3771","THE GAMBIA","G3"
"3999","COMOROS","G3"
"6297","ZAMBIA","G3"
"16401","BELIZE","G3"
"23","COLOMBIA","G4"
"112","SINGAPORE","G4"
"116","HUNGARY","G4"
"163","MEXICO","G4"
"187","TUNISIA","G4"
"222","INDIA","G4"
"243","UNITED ARAB EMIRATES","G4"
"287","CANADA","G4"
"338","ARGENTINA","G4"
"440","MADAGASCAR","G4"
"524","MAURITIUS","G4"
"529","CHILE","G4"
"720","KAZAKHSTAN","G4"
"1555","KENYA","G4"
"1734","KUWAIT","G4"
"2045","ECUADOR","G4"
"2604","ETHIOPIA","G4"
"2632","MONGOLIA","G4"
