"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level3"
"2","ALBANIA","level8"
"3","ALGERIA","level7"
"4","AMERICAN SAMOA","level11"
"5","ANDORRA","level7"
"6","ANGOLA","level8"
"7","ANTIGUA AND BARBUDA","level2"
"8","ARGENTINA","level3"
"9","ARMENIA","level3"
"10","ARUBA","level7"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level2"
"13","AZERBAIJAN","level7"
"14","BAHRAIN","level1"
"15","BANGLADESH","level16"
"16","BARBADOS","level3"
"17","BELARUS","level7"
"18","BELGIUM","level15"
"19","BELIZE","level11"
"20","BENIN","level12"
"21","BERMUDA","level7"
"22","BHUTAN","level3"
"23","BOLIVIA","level12"
"24","BOSNIA HERZEGOVINA","level3"
"25","BOTSWANA","level7"
"26","BR. VIRGIN ISLAND","level16"
"27","BRAZIL","level8"
"28","BRUNEI","level3"
"29","BULGARIA","level3"
"30","BURKINA FASO","level11"
"31","BURUNDI","level3"
"32","CAMBODIA","level13"
"33","CAMEROON","level11"
"34","CANADA","level3"
"35","CAPE VERDE","level3"
"36","CAYMAN ISLANDS","level7"
"37","CENTRAL AFRICAN REP","level3"
"38","CHAD","level4"
"39","CHILE","level14"
"40","CHINA","level4"
"41","COLOMBIA","level3"
"42","COMOROS","level11"
"43","CONGO","level3"
"44","COSTA RICA","level2"
"45","CROATIA","level2"
"46","CUBA","level2"
"47","CYPRUS","level9"
"48","CZECH REPUBLIC","level4"
"49","DEM. REP. CONGO","level3"
"50","DENMARK","level3"
"51","DJIBOUTI","level7"
"52","DOMINICA","level3"
"53","DOMINICAN REPUBLIC","level2"
"54","ECUADOR","level2"
"55","EGYPT","level7"
"56","EL SALVADOR","level3"
"57","EQUATORIAL GUINEA","level2"
"58","ERITREA","level11"
"59","ESTONIA","level3"
"60","ETHIOPIA","level7"
"61","FAEROE ISLANDS","level3"
"62","FIJI","level7"
"63","FINLAND","level2"
"64","FR. SOUTHERN TERRIT.","level3"
"65","FRENCH GUIANA","level4"
